,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
26477,26478,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-10-05,3150.0,0.3
26478,26479,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-11-05,3100.0,1.1
26479,26480,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-12-05,3150.0,1.8
26480,26481,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-05-17,3150.0,0.8
26481,26482,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-05-19,3450.0,2.5
26482,26483,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-05-21,3250.0,3.0
26483,26484,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-05-22,3350.0,7.0
26484,26485,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-05-30,3275.0,1.0
26485,26486,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-05-31,3225.0,1.1
26486,26487,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-06-13,3200.0,0.3
26487,26488,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-06-20,3400.0,0.8
26488,26489,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-06-21,3500.0,1.2
26489,26490,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-02-07,3500.0,0.7
26490,26491,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-03-07,3150.0,1.6
26491,26492,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-04-07,3300.0,0.2
26492,26493,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-07-28,3900.0,0.9
26493,26494,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-03-08,4200.0,0.8
26494,26495,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-06-08,4200.0,0.3
26495,26496,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-06-09,4300.0,0.8
26496,26497,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-07-09,4300.0,0.5
26497,26498,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Gangakhed,2012-12-09,4400.0,2.5
26498,26499,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Jintur,2012-02-01,3395.0,0.9
26499,26500,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Jintur,2012-03-01,3075.0,0.8
26500,26501,Arhar (Tur/Red Gram),Maharashtra,Parbhani,Jintur,2012-04-01,3125.0,13.1
