,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
27724,27725,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-01,2700.0,0.2
27725,27726,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-04-01,3000.0,0.2
27726,27727,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-01-14,3200.0,0.7
27727,27728,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-01-16,3350.0,3.5
27728,27729,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-01-17,3300.0,3.0
27729,27730,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-01-18,3400.0,5.0
27730,27731,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-01-27,3350.0,12.0
27731,27732,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-01-28,3250.0,13.5
27732,27733,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-01-30,3300.0,15.0
27733,27734,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-01-31,3100.0,15.3
27734,27735,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-01-02,3200.0,10.7
27735,27736,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-10-02,3200.0,39.0
27736,27737,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-02-13,3300.0,55.5
27737,27738,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-02-15,3200.0,20.0
27738,27739,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-02-22,3300.0,58.0
27739,27740,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-02-24,3250.0,50.0
27740,27741,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-02-25,3300.0,52.5
27741,27742,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-02-27,3300.0,44.5
27742,27743,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-02-28,3250.0,38.5
27743,27744,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-02-29,3250.0,48.5
27744,27745,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-02-03,3150.0,40.0
27745,27746,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-03,3150.0,44.0
27746,27747,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-05-03,3100.0,35.0
27747,27748,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-12-03,3150.0,28.5
27748,27749,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-13,3200.0,34.0
27749,27750,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-14,3200.0,22.4
27750,27751,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-16,3200.0,45.8
27751,27752,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-17,3200.0,52.5
27752,27753,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-19,3100.0,38.3
27753,27754,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-20,3100.0,41.5
27754,27755,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-21,3100.0,29.0
27755,27756,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-23,3110.0,24.7
27756,27757,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-24,3100.0,21.8
27757,27758,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-26,3200.0,27.8
27758,27759,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-27,3200.0,23.2
27759,27760,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-03-28,3200.0,37.0
27760,27761,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-09-04,3100.0,30.7
27761,27762,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-10-04,3250.0,35.2
27762,27763,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-11-04,3100.0,39.4
27763,27764,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-04-13,3200.0,47.1
27764,27765,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-04-17,3300.0,24.3
27765,27766,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-04-18,3300.0,17.0
27766,27767,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-04-20,3400.0,21.4
27767,27768,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-04-21,3350.0,24.5
27768,27769,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-04-23,3350.0,19.5
27769,27770,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-04-25,3350.0,22.8
27770,27771,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-04-27,3350.0,17.0
27771,27772,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-04-28,3350.0,11.9
27772,27773,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-02-05,3400.0,14.3
27773,27774,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-04-05,3450.0,44.5
27774,27775,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-05-05,3450.0,26.9
27775,27776,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-07-05,3600.0,20.0
27776,27777,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-08-05,3800.0,28.0
27777,27778,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-09-05,3850.0,21.7
27778,27779,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-11-05,3700.0,34.4
27779,27780,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-12-05,3600.0,15.0
27780,27781,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-05-14,3600.0,13.0
27781,27782,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-05-15,3600.0,10.0
27782,27783,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-05-16,3550.0,14.9
27783,27784,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-05-18,3500.0,13.0
27784,27785,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-05-19,3550.0,8.0
27785,27786,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-05-21,3600.0,16.1
27786,27787,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-05-22,3600.0,14.5
27787,27788,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-05-23,3750.0,17.8
27788,27789,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-05-25,3750.0,18.5
27789,27790,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-05-26,3700.0,16.1
27790,27791,Arhar (Tur/Red Gram),Maharashtra,Wardha,Arvi,2012-01-06,3550.0,18.0
