,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
113163,113164,Black Gram (Urd Beans),Orissa,Koraput,Koraput,2012-01-05,4500.0,3.0
113164,113165,Black Gram (Urd Beans),Orissa,Koraput,Koraput,2012-11-25,5000.0,2.0
113165,113166,Black Gram (Urd Beans),Orissa,Koraput,Koraput,2012-11-28,5100.0,14.0
113166,113167,Black Gram (Urd Beans),Orissa,Koraput,Koraput,2012-11-29,4900.0,115.0
113167,113168,Black Gram (Urd Beans),Orissa,Koraput,Koraput,2012-01-12,3800.0,140.0
113168,113169,Black Gram (Urd Beans),Orissa,Koraput,Koraput,2012-02-12,3500.0,24.0
113169,113170,Black Gram (Urd Beans),Orissa,Koraput,Koraput,2012-03-12,3700.0,20.0
113170,113171,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2012-03-21,4500.0,2.0
113171,113172,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2012-09-04,4200.0,10.0
113172,113173,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2012-10-04,5500.0,6.0
113173,113174,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2012-11-04,4300.0,12.0
113174,113175,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2012-12-04,4300.0,13.0
113175,113176,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2012-04-05,4500.0,3.0
113176,113177,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2012-04-12,5100.0,13.0
113177,113178,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2012-07-12,3600.0,30.0
113178,113179,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2012-12-12,3900.0,60.0
113179,113180,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2012-12-14,3900.0,28.0
272967,272968,Black Gram (Urd Beans),Orissa,Koraput,Koraput,2013-12-19,4100.0,10.0
272968,272969,Black Gram (Urd Beans),Orissa,Koraput,Koraput,2013-12-25,3580.0,16.0
272969,272970,Black Gram (Urd Beans),Orissa,Koraput,Koraput,2013-12-30,3700.0,15.0
272970,272971,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2013-01-28,4800.0,15.0
272971,272972,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2013-12-19,4300.0,10.0
272972,272973,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2013-12-20,3900.0,16.0
272973,272974,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2013-12-21,4200.0,24.0
272974,272975,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2013-12-25,4000.0,14.0
272975,272976,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2013-12-27,4100.0,56.0
272976,272977,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2013-12-28,3800.0,4.0
272977,272978,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2013-12-30,3800.0,10.0
272978,272979,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2013-12-31,3800.0,15.0
420059,420060,Black Gram (Urd Beans),Orissa,Koraput,Koraput,2014-04-01,4000.0,6.0
420060,420061,Black Gram (Urd Beans),Orissa,Koraput,Koraput,2014-05-01,3900.0,15.0
420061,420062,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2014-02-01,4200.0,25.0
420062,420063,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2014-03-01,4000.0,52.0
420063,420064,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2014-04-01,4100.0,40.0
420064,420065,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2014-06-01,4100.0,6.0
420065,420066,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2014-08-01,3850.0,20.0
420066,420067,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2014-09-01,3800.0,48.0
420067,420068,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2014-11-01,4100.0,16.0
420068,420069,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2014-01-13,4000.0,26.0
420069,420070,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2014-02-14,4500.0,20.0
420070,420071,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2014-02-15,4000.0,14.0
420071,420072,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2014-04-15,5200.0,24.0
602498,602499,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2015-12-01,5100.0,160.0
602499,602500,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2015-01-14,4900.0,40.0
849673,849674,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2016-12-27,5800.0,18.0
1100355,1100356,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2017-09-01,5300.0,16.0
1100356,1100357,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2017-01-17,4700.0,15.0
1100357,1100358,Black Gram (Urd Beans),Orissa,Koraput,Koraput(Semilguda),2017-02-24,6300.0,15.0
