,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
272980,272981,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-10-16,3500.0,1.2
272981,272982,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-10-17,3500.0,1.6
272982,272983,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-10-18,3500.0,1.6
272983,272984,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-10-21,3500.0,1.6
272984,272985,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-10-22,3800.0,1.0
272985,272986,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-10-24,3500.0,1.0
272986,272987,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-10-25,3500.0,1.6
272987,272988,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-10-27,4000.0,1.0
272988,272989,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-10-28,4000.0,1.2
272989,272990,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-10-29,4200.0,1.7
272990,272991,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-01-11,4000.0,1.6
272991,272992,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-03-11,3500.0,1.2
272992,272993,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-04-11,4000.0,1.0
272993,272994,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-05-11,4000.0,1.1
272994,272995,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-08-11,3500.0,3.0
272995,272996,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-10-11,4600.0,1.6
272996,272997,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-11-11,4500.0,1.4
272997,272998,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-12-11,3500.0,3.0
272998,272999,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-11-13,3500.0,3.5
272999,273000,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-11-18,4000.0,2.5
273000,273001,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-11-19,3500.0,2.0
273001,273002,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-11-20,4000.0,3.0
273002,273003,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-02-12,4200.0,2.5
273003,273004,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-05-12,3500.0,3.5
273004,273005,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-08-12,3500.0,3.0
273005,273006,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-09-12,3500.0,1.5
273006,273007,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-12-18,4000.0,5.0
273007,273008,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-12-25,4500.0,2.5
273008,273009,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-12-26,4000.0,2.0
273009,273010,Black Gram (Urd Beans),Orissa,Nuapada,Khariar,2013-12-27,4000.0,3.0
273010,273011,Black Gram (Urd Beans),Orissa,Nuapada,Khariar Road,2013-01-16,4000.0,1.2
273011,273012,Black Gram (Urd Beans),Orissa,Nuapada,Khariar Road,2013-01-17,4000.0,1.2
273012,273013,Black Gram (Urd Beans),Orissa,Nuapada,Khariar Road,2013-01-18,4000.0,1.0
