,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
29936,29937,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-02-13,3000.0,5.0
29937,29938,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-02-16,3000.0,8.1
29938,29939,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-02-20,3200.0,5.0
29939,29940,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-02-28,3200.0,4.5
29940,29941,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-01-03,2500.0,4.0
29941,29942,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-05-03,2500.0,4.0
29942,29943,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-10-04,3000.0,8.0
29943,29944,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-11-04,3000.0,8.0
29944,29945,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-04-14,3000.0,8.5
29945,29946,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-04-17,3000.0,8.0
29946,29947,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-04-19,3200.0,6.5
29947,29948,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-04-21,3000.0,6.0
29948,29949,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-04-25,3000.0,8.5
29949,29950,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-04-28,3000.0,7.0
29950,29951,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-01-05,3000.0,7.5
29951,29952,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-04-05,3000.0,6.0
29952,29953,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-08-05,3000.0,7.0
29953,29954,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-10-05,3000.0,6.0
29954,29955,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-11-05,3000.0,6.5
29955,29956,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-05-17,3200.0,5.0
29956,29957,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-05-21,3300.0,5.0
29957,29958,Arhar (Tur/Red Gram),Orissa,Rayagada,Rayagada,2012-05-24,3300.0,7.0
