,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
505590,505591,Arhar (Tur/Red Gram),Punjab,Amritsar,Amritsar,2015-02-12,13500.0,0.0
505591,505592,Arhar (Tur/Red Gram),Punjab,Amritsar,Amritsar,2015-04-12,13500.0,0.0
505592,505593,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-08-11,5800.0,1.0
505593,505594,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-09-11,5500.0,1.0
505594,505595,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-10-11,5000.0,1.0
505595,505596,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-11,5000.0,1.0
505596,505597,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-11,4800.0,1.0
505597,505598,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-13,4800.0,1.0
505598,505599,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-14,5000.0,1.0
505599,505600,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-15,5000.0,1.0
505600,505601,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-16,6000.0,1.0
505601,505602,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-17,6000.0,1.0
505602,505603,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-18,6000.0,1.0
505603,505604,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-19,6500.0,1.0
505604,505605,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-20,6000.0,1.0
505605,505606,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-21,6000.0,1.0
505606,505607,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-22,6500.0,1.0
505607,505608,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-23,6000.0,1.0
505608,505609,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-24,6500.0,1.0
505609,505610,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-25,6200.0,1.0
505610,505611,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-26,6000.0,1.0
505611,505612,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-27,6400.0,1.0
505612,505613,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-28,6000.0,1.0
505613,505614,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-29,5800.0,1.0
505614,505615,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-30,6500.0,1.0
505615,505616,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-02-12,6500.0,1.0
505616,505617,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-03-12,6500.0,1.0
505617,505618,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-04-12,6500.0,1.0
505618,505619,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-05-12,6500.0,1.0
505619,505620,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-06-12,6700.0,1.0
505620,505621,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-07-12,6500.0,1.0
505621,505622,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-08-12,6000.0,1.0
505622,505623,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-09-12,6000.0,1.0
505623,505624,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-10-12,6800.0,1.0
505624,505625,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-11-12,6500.0,1.0
505625,505626,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-12,6500.0,0.0
505626,505627,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-13,6000.0,1.0
505627,505628,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-14,6500.0,1.0
505628,505629,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-15,6500.0,1.0
505629,505630,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-16,6000.0,1.0
505630,505631,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-19,6500.0,1.0
505631,505632,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-20,6000.0,1.0
505632,505633,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-21,6000.0,1.0
505633,505634,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-22,6500.0,1.0
505634,505635,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-23,6000.0,1.0
505635,505636,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-24,6500.0,1.0
505636,505637,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-27,8000.0,1.0
505637,505638,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-28,8000.0,1.0
505638,505639,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-29,7800.0,1.0
505639,505640,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-30,9000.0,1.0
505640,505641,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2015-12-31,8000.0,1.0
603076,603077,Black Gram (Urd Beans),Punjab,Amritsar,Ajnala,2015-12-23,7000.0,0.0
603077,603078,Black Gram (Urd Beans),Punjab,Amritsar,Amritsar,2015-02-12,5900.0,0.0
603078,603079,Black Gram (Urd Beans),Punjab,Amritsar,Amritsar,2015-04-12,6200.0,0.0
642361,642362,Green Gram (Moong),Punjab,Amritsar,Amritsar,2015-03-12,6450.0,0.0
642362,642363,Green Gram (Moong),Punjab,Amritsar,Amritsar,2015-04-12,6750.0,0.0
642363,642364,Green Gram (Moong),Punjab,Amritsar,Majitha,2015-05-11,1175.0,0.0
672904,672905,Lentil(Masur),Punjab,Amritsar,Ajnala,2015-12-23,11000.0,0.0
727009,727010,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-01,9000.0,1.0
727010,727011,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-01,8000.0,1.0
727011,727012,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-01,8000.0,1.0
727012,727013,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-04-01,8500.0,1.0
727013,727014,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-06-01,8000.0,1.0
727014,727015,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-07-01,8000.0,1.0
727015,727016,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-08-01,8000.0,1.0
727016,727017,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-09-01,8700.0,1.0
727017,727018,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-10-01,8000.0,1.0
727018,727019,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-11-01,8000.0,1.0
727019,727020,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-12-01,7000.0,1.0
727020,727021,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-13,8000.0,1.0
727021,727022,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-14,8000.0,1.0
727022,727023,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-15,8000.0,1.0
727023,727024,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-16,8000.0,1.0
727024,727025,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-17,9000.0,1.0
727025,727026,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-18,8000.0,1.0
727026,727027,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-19,9500.0,1.0
727027,727028,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-20,7500.0,1.0
727028,727029,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-21,8000.0,1.01
727029,727030,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-22,9000.0,1.0
727030,727031,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-23,8000.0,1.0
727031,727032,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-25,8000.0,1.0
727032,727033,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-26,8000.0,1.0
727033,727034,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-27,8000.0,1.0
727034,727035,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-01-31,9000.0,1.0
727035,727036,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-08-02,9000.0,1.0
727036,727037,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-10-02,8000.0,1.0
727037,727038,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-11-02,8000.0,1.0
727038,727039,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-12-02,8000.0,1.0
727039,727040,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-13,9000.0,1.0
727040,727041,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-14,8000.0,1.0
727041,727042,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-15,9000.0,1.0
727042,727043,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-16,9000.0,1.0
727043,727044,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-17,8000.0,1.0
727044,727045,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-19,9000.0,1.0
727045,727046,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-20,8000.0,1.0
727046,727047,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-21,9000.0,1.0
727047,727048,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-22,9000.0,1.0
727048,727049,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-23,9000.0,1.0
727049,727050,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-24,9000.0,1.0
727050,727051,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-25,9000.0,1.0
727051,727052,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-26,9000.0,1.0
727052,727053,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-27,9000.0,1.0
727053,727054,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-28,9000.0,1.0
727054,727055,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-02-29,9000.0,1.0
727055,727056,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-03,9000.0,1.0
727056,727057,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-04-03,9000.0,1.0
727057,727058,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-05-03,9000.0,1.0
727058,727059,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-06-03,9000.0,1.0
727059,727060,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-07-03,9000.0,1.0
727060,727061,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-09-03,9000.0,1.0
727061,727062,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-10-03,9000.0,1.0
727062,727063,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-11-03,9000.0,1.0
727063,727064,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-12-03,9000.0,1.0
727064,727065,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-13,9000.0,1.0
727065,727066,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-14,9000.0,1.0
727066,727067,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-15,9000.0,1.0
727067,727068,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-16,9000.0,1.0
727068,727069,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-17,9000.0,1.0
727069,727070,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-18,9000.0,1.0
727070,727071,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-19,9000.0,1.0
727071,727072,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-20,9000.0,1.0
727072,727073,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-21,9000.0,1.0
727073,727074,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-22,9000.0,1.0
727074,727075,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-23,9000.0,1.0
727075,727076,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-24,9000.0,1.0
727076,727077,Arhar (Tur/Red Gram),Punjab,Amritsar,Chogawan,2016-03-25,9000.0,1.0
