,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
505680,505681,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-04-11,8500.0,0.0
505681,505682,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-05-11,15000.0,0.0
505682,505683,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-07-11,15000.0,0.0
505683,505684,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-10-11,15000.0,0.0
505684,505685,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-11-13,15000.0,0.0
505685,505686,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-11-17,15000.0,0.0
505686,505687,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-11-18,15000.0,0.0
505687,505688,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-11-19,15000.0,0.0
505688,505689,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-11-21,15000.0,0.0
505689,505690,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-11-24,15000.0,0.0
505690,505691,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-11-26,15000.0,0.0
505691,505692,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-11-27,15000.0,0.0
505692,505693,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-11-29,15000.0,0.0
505693,505694,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-11-30,15000.0,0.0
505694,505695,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-01-12,15000.0,0.0
505695,505696,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-02-12,15000.0,0.0
505696,505697,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-04-12,15000.0,0.0
505697,505698,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-07-12,15000.0,0.0
505698,505699,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-08-12,15000.0,0.0
505699,505700,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-10-12,15000.0,0.0
505700,505701,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-11-12,15000.0,0.0
505701,505702,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-14,15000.0,0.0
505702,505703,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-15,15000.0,0.0
505703,505704,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-16,15000.0,0.0
505704,505705,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-17,15000.0,0.0
505705,505706,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-18,15000.0,0.0
505706,505707,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-19,15000.0,0.0
505707,505708,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-21,15000.0,0.0
505708,505709,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-22,15000.0,0.0
505709,505710,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-23,15000.0,0.0
505710,505711,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-25,15000.0,0.0
505711,505712,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-26,15000.0,0.0
505712,505713,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-27,15000.0,0.0
505713,505714,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-28,15000.0,0.0
505714,505715,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-30,15000.0,0.0
505715,505716,Arhar (Tur/Red Gram),Punjab,Bhatinda,Bhucho,2015-12-31,15000.0,0.0
505716,505717,Arhar (Tur/Red Gram),Punjab,Bhatinda,Sangat,2015-11-24,18000.0,1.0
547998,547999,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-04-11,6600.0,0.0
547999,548000,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-05-11,6600.0,0.0
548000,548001,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-09-11,6600.0,0.0
548001,548002,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-10-11,6600.0,0.0
548002,548003,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-11-13,6600.0,0.0
548003,548004,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-11-17,6600.0,0.0
548004,548005,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-11-18,6600.0,0.0
548005,548006,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-11-19,6600.0,0.0
548006,548007,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-11-21,6600.0,0.0
548007,548008,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-11-24,6600.0,0.0
548008,548009,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-11-26,6600.0,0.0
548009,548010,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-11-27,6600.0,0.0
548010,548011,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-11-29,6500.0,0.0
548011,548012,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-11-30,6600.0,0.0
548012,548013,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-01-12,6600.0,0.0
548013,548014,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-02-12,6600.0,0.0
548014,548015,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-04-12,6600.0,0.0
548015,548016,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-07-12,6600.0,0.0
548016,548017,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-08-12,6600.0,0.0
548017,548018,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-10-12,6600.0,0.0
548018,548019,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-11-12,6600.0,0.0
548019,548020,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-14,6600.0,0.0
548020,548021,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-15,6600.0,0.0
548021,548022,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-16,6600.0,0.0
548022,548023,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-17,6600.0,0.0
548023,548024,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-18,6600.0,0.0
548024,548025,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-19,6600.0,0.0
548025,548026,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-21,6600.0,0.0
548026,548027,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-22,6600.0,0.0
548027,548028,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-23,6600.0,0.0
548028,548029,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-25,6600.0,0.0
548029,548030,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-26,6600.0,0.0
548030,548031,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-27,6600.0,0.0
548031,548032,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-28,6600.0,0.0
548032,548033,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-30,6600.0,0.0
548033,548034,Bengal Gram(Gram),Punjab,Bhatinda,Bhucho,2015-12-31,6600.0,0.0
603079,603080,Black Gram (Urd Beans),Punjab,Bhatinda,Sangat,2015-07-12,13500.0,1.0
642382,642383,Green Gram (Moong),Punjab,Bhatinda,Raman,2015-12-14,8000.0,0.5
642383,642384,Green Gram (Moong),Punjab,Bhatinda,Raman,2015-12-17,8150.0,0.3
642384,642385,Green Gram (Moong),Punjab,Bhatinda,Raman,2015-12-19,8100.0,0.4
642385,642386,Green Gram (Moong),Punjab,Bhatinda,Raman,2015-12-26,8300.0,0.4
672905,672906,Lentil(Masur),Punjab,Bhatinda,Bhucho,2015-04-11,8500.0,0.0
672906,672907,Lentil(Masur),Punjab,Bhatinda,Bhucho,2015-05-11,8500.0,0.0
672907,672908,Lentil(Masur),Punjab,Bhatinda,Bhucho,2015-07-11,8000.0,0.0
