,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
505877,505878,Arhar (Tur/Red Gram),Punjab,Muktsar,Giddarbaha,2015-09-11,14000.0,0.0
505878,505879,Arhar (Tur/Red Gram),Punjab,Muktsar,Giddarbaha,2015-11-17,14000.0,0.0
505879,505880,Arhar (Tur/Red Gram),Punjab,Muktsar,Giddarbaha,2015-11-18,14000.0,0.0
505880,505881,Arhar (Tur/Red Gram),Punjab,Muktsar,Giddarbaha,2015-11-21,18500.0,0.1
505881,505882,Arhar (Tur/Red Gram),Punjab,Muktsar,Giddarbaha,2015-11-23,14500.0,0.0
505882,505883,Arhar (Tur/Red Gram),Punjab,Muktsar,Giddarbaha,2015-11-24,14000.0,0.0
505883,505884,Arhar (Tur/Red Gram),Punjab,Muktsar,Giddarbaha,2015-11-28,900.0,0.0
505884,505885,Arhar (Tur/Red Gram),Punjab,Muktsar,Malout,2015-11-19,19500.0,0.1
505885,505886,Arhar (Tur/Red Gram),Punjab,Muktsar,Malout,2015-11-20,18700.0,0.1
505886,505887,Arhar (Tur/Red Gram),Punjab,Muktsar,Malout,2015-11-21,18500.0,0.1
505887,505888,Arhar (Tur/Red Gram),Punjab,Muktsar,Malout,2015-11-23,19500.0,0.1
505888,505889,Arhar (Tur/Red Gram),Punjab,Muktsar,Malout,2015-11-24,19600.0,0.1
505889,505890,Arhar (Tur/Red Gram),Punjab,Muktsar,Malout,2015-11-26,19000.0,0.1
505890,505891,Arhar (Tur/Red Gram),Punjab,Muktsar,Malout,2015-11-30,19800.0,0.1
505891,505892,Arhar (Tur/Red Gram),Punjab,Muktsar,Malout,2015-12-14,19800.0,0.1
505892,505893,Arhar (Tur/Red Gram),Punjab,Muktsar,Malout,2015-12-19,19500.0,0.1
505893,505894,Arhar (Tur/Red Gram),Punjab,Muktsar,Malout,2015-12-25,19200.0,0.1
548127,548128,Bengal Gram(Gram),Punjab,Muktsar,Giddarbaha,2015-09-11,6000.0,0.0
548128,548129,Bengal Gram(Gram),Punjab,Muktsar,Giddarbaha,2015-11-19,8000.0,0.0
548129,548130,Bengal Gram(Gram),Punjab,Muktsar,Giddarbaha,2015-11-21,6500.0,2.0
548130,548131,Bengal Gram(Gram),Punjab,Muktsar,Giddarbaha,2015-11-23,6500.0,2.0
548131,548132,Bengal Gram(Gram),Punjab,Muktsar,Giddarbaha,2015-11-24,6800.0,2.0
548132,548133,Bengal Gram(Gram),Punjab,Muktsar,Giddarbaha,2015-04-12,6500.0,0.0
548133,548134,Bengal Gram(Gram),Punjab,Muktsar,Giddarbaha,2015-07-12,6200.0,0.2
548134,548135,Bengal Gram(Gram),Punjab,Muktsar,Giddarbaha,2015-08-12,7000.0,0.1
548135,548136,Bengal Gram(Gram),Punjab,Muktsar,Giddarbaha,2015-10-12,6000.0,0.1
548136,548137,Bengal Gram(Gram),Punjab,Muktsar,Giddarbaha,2015-12-14,6000.0,0.1
548137,548138,Bengal Gram(Gram),Punjab,Muktsar,Muktsar,2015-07-11,8500.0,0.5
548138,548139,Bengal Gram(Gram),Punjab,Muktsar,Muktsar,2015-09-11,7500.0,1.0
548139,548140,Bengal Gram(Gram),Punjab,Muktsar,Muktsar,2015-10-11,8000.0,0.4
548140,548141,Bengal Gram(Gram),Punjab,Muktsar,Muktsar,2015-12-11,6800.0,0.5
548141,548142,Bengal Gram(Gram),Punjab,Muktsar,Muktsar,2015-11-13,6700.0,0.4
548142,548143,Bengal Gram(Gram),Punjab,Muktsar,Muktsar,2015-11-14,6850.0,0.3
548143,548144,Bengal Gram(Gram),Punjab,Muktsar,Muktsar,2015-11-15,6800.0,0.3
548144,548145,Bengal Gram(Gram),Punjab,Muktsar,Muktsar,2015-11-16,7000.0,0.4
