,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
506057,506058,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-05-11,17000.0,0.0
506058,506059,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-09-11,17000.0,0.0
506059,506060,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-10-11,18000.0,0.0
506060,506061,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-11-13,19000.0,0.0
506061,506062,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-11-16,18000.0,0.0
506062,506063,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-11-17,19000.0,0.0
506063,506064,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-11-18,15500.0,0.0
506064,506065,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-11-19,17000.0,0.0
506065,506066,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-11-20,16500.0,0.0
506066,506067,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-11-23,16000.0,0.0
506067,506068,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-11-24,15000.0,0.0
506068,506069,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-11-26,16000.0,0.0
506069,506070,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-11-30,17000.0,0.0
506070,506071,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-01-12,13000.0,0.0
506071,506072,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-02-12,13000.0,0.0
506072,506073,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-03-12,13500.0,0.0
506073,506074,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-07-12,14000.0,0.0
506074,506075,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-08-12,13000.0,0.0
506075,506076,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-09-12,13000.0,0.0
506076,506077,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-10-12,13000.0,0.0
506077,506078,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-11-12,13000.0,0.0
506078,506079,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-12-14,13000.0,0.0
506079,506080,Arhar (Tur/Red Gram),Punjab,Tarntaran,Tarantaran,2015-12-21,12500.0,0.0
673377,673378,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-05-11,9800.0,0.0
673378,673379,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-09-11,9500.0,0.0
673379,673380,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-10-11,9500.0,0.0
673380,673381,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-11-13,9500.0,0.0
673381,673382,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-11-16,9500.0,0.0
673382,673383,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-11-17,9200.0,0.0
673383,673384,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-11-18,9000.0,0.0
673384,673385,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-11-19,8500.0,0.0
673385,673386,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-11-20,8000.0,0.0
673386,673387,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-11-23,9000.0,0.0
673387,673388,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-11-24,8500.0,0.0
673388,673389,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-11-26,8500.0,0.0
673389,673390,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-11-30,8500.0,0.0
673390,673391,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-01-12,8500.0,0.0
673391,673392,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-02-12,8500.0,0.0
673392,673393,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-03-12,8500.0,0.0
673393,673394,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-07-12,8500.0,0.0
673394,673395,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-08-12,8200.0,0.0
673395,673396,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-09-12,8200.0,0.0
673396,673397,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-10-12,8200.0,0.0
673397,673398,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-11-12,8200.0,0.0
673398,673399,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-12-14,8500.0,0.0
673399,673400,Lentil(Masur),Punjab,Tarntaran,Tarantaran,2015-12-21,8200.0,0.0
