,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
30062,30063,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-02,5260.0,30.0
30063,30064,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-03-02,5260.0,27.0
30064,30065,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-06-02,5450.0,21.0
30065,30066,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-14,5540.0,26.0
30066,30067,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-15,5540.0,27.0
30067,30068,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-16,5640.0,26.0
30068,30069,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-17,5640.0,27.0
30069,30070,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-18,5670.0,34.0
30070,30071,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-20,5680.0,25.5
30071,30072,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-21,5680.0,25.5
30072,30073,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-23,5680.0,30.0
30073,30074,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-24,5670.0,26.0
30074,30075,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-27,5670.0,28.0
30075,30076,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-29,5680.0,25.0
30076,30077,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-01-03,5640.0,29.0
30077,30078,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-02-03,5150.0,30.0
30078,30079,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-03-03,5250.0,26.5
30079,30080,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-05-03,5270.0,30.0
30080,30081,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-06-03,5270.0,32.0
30081,30082,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-07-03,5360.0,26.0
30082,30083,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-12-03,5275.0,25.0
30083,30084,Arhar (Tur/Red Gram),Rajasthan,Ajmer,Bijay Nagar,2012-03-13,5750.0,22.0
