,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
30446,30447,Arhar (Tur/Red Gram),Rajasthan,Bundi,Bundi,2012-02-14,1951.0,0.1
30447,30448,Arhar (Tur/Red Gram),Rajasthan,Bundi,Bundi,2012-09-05,2268.0,0.2
30448,30449,Arhar (Tur/Red Gram),Rajasthan,Bundi,Bundi,2012-11-05,2090.0,0.1
30449,30450,Arhar (Tur/Red Gram),Rajasthan,Bundi,Bundi,2012-05-25,2251.0,0.6
30450,30451,Arhar (Tur/Red Gram),Rajasthan,Bundi,Bundi,2012-05-29,2398.0,2.0
30451,30452,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-06-04,2800.0,0.7
30452,30453,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-04-16,2500.0,0.6
30453,30454,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-04-17,2421.0,0.4
30454,30455,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-04-18,2435.0,1.1
30455,30456,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-04-19,2528.0,2.6
30456,30457,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-04-20,2538.0,2.4
30457,30458,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-04-22,2600.0,1.3
30458,30459,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-04-27,2550.0,0.9
30459,30460,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-04-28,2525.0,4.1
30460,30461,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-04-30,2525.0,4.1
30461,30462,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-02-05,2571.0,2.0
30462,30463,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-03-05,2570.0,2.1
30463,30464,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-04-05,2580.0,3.8
30464,30465,Arhar (Tur/Red Gram),Rajasthan,Bundi,Sumerganj,2012-05-05,2731.0,2.9
