,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
73173,73174,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-01,2990.0,35.0
73174,73175,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-09-01,3280.0,2.0
73175,73176,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-01-16,3281.0,2.0
73176,73177,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-01-18,3061.0,26.0
73177,73178,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-01-25,2866.0,2.0
73178,73179,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-01-30,2950.0,3.0
73179,73180,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-01-31,2953.0,1.0
73180,73181,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-01-02,3101.0,2.0
73181,73182,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-02-13,3300.0,1.0
73182,73183,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-02-15,3401.0,6.0
73183,73184,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-02-28,3600.0,3.0
73184,73185,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-05-03,3301.0,1.0
73185,73186,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-12-03,3400.0,1.0
73186,73187,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-03-21,3450.0,4.0
73187,73188,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-04,3300.0,1.0
73188,73189,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-13,3500.0,30.0
73189,73190,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-14,3503.0,6.0
73190,73191,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-16,3535.0,8.0
73191,73192,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-17,3521.0,64.0
73192,73193,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-18,3492.0,39.0
73193,73194,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-19,3512.0,110.0
73194,73195,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-20,3527.0,77.0
73195,73196,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-21,3528.0,60.0
73196,73197,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-23,3522.0,51.0
73197,73198,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-24,3470.0,36.0
73198,73199,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-25,3463.0,81.0
73199,73200,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-26,3451.0,16.0
73200,73201,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-27,3585.0,98.0
73201,73202,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-28,3578.0,128.0
73202,73203,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-30,3643.0,52.0
73203,73204,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-01-05,3600.0,62.0
73204,73205,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-02-05,3961.0,40.0
73205,73206,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-03-05,4168.0,22.0
73206,73207,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-04-05,4082.0,48.0
73207,73208,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-05-05,4172.0,25.0
73208,73209,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-07-05,4100.0,24.0
73209,73210,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-08-05,4160.0,21.0
73210,73211,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-09-05,4275.0,25.0
73211,73212,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-10-05,4375.0,63.0
73212,73213,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-12-05,4050.0,4.0
73213,73214,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-05-14,4211.0,87.0
73214,73215,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-05-15,4300.0,50.0
73215,73216,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-05-16,4222.0,40.0
73216,73217,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-05-17,4270.0,20.0
73217,73218,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-05-18,4251.0,26.0
73218,73219,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-05-19,4259.0,56.0
73219,73220,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-05-21,4135.0,39.0
73220,73221,Bengal Gram(Gram),Rajasthan,Hanumangarh,Goluwala,2012-05-22,4133.0,72.0
