,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
74988,74989,Bengal Gram(Gram),Rajasthan,Jhunjunu,Chirwa,2012-06-22,4000.0,2.0
74989,74990,Bengal Gram(Gram),Rajasthan,Jhunjunu,Chirwa,2012-09-07,4250.0,2.5
74990,74991,Bengal Gram(Gram),Rajasthan,Jhunjunu,Chirwa,2012-07-25,4800.0,2.0
74991,74992,Bengal Gram(Gram),Rajasthan,Jhunjunu,Chirwa,2012-12-13,3900.0,1.0
74992,74993,Bengal Gram(Gram),Rajasthan,Jhunjunu,Chirwa,2012-12-14,3850.0,0.8
74993,74994,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-07-04,3200.0,2.3
74994,74995,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-09-04,3200.0,6.4
74995,74996,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-10-04,3325.0,14.4
74996,74997,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-11-04,3400.0,13.1
74997,74998,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-12-04,3400.0,20.6
74998,74999,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-13,3400.0,12.9
74999,75000,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-14,3401.0,10.7
75000,75001,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-16,3450.0,20.8
75001,75002,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-17,3460.0,17.6
75002,75003,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-18,3440.0,12.5
75003,75004,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-19,3500.0,26.5
75004,75005,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-20,3500.0,10.0
75005,75006,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-21,3470.0,20.6
75006,75007,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-23,3500.0,18.9
75007,75008,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-24,3465.0,11.9
75008,75009,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-25,3500.0,9.5
75009,75010,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-26,3470.0,7.0
75010,75011,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-28,3500.0,5.8
75011,75012,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-30,3500.0,18.5
75012,75013,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-01-05,3525.0,15.2
75013,75014,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-02-05,3600.0,11.6
75014,75015,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-03-05,3800.0,19.5
75015,75016,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-05,4000.0,19.5
75016,75017,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-05,3900.0,9.0
75017,75018,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-07-05,4000.0,9.5
75018,75019,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-09-05,4200.0,10.8
75019,75020,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-10-05,4135.0,1.0
75020,75021,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-11-05,4200.0,3.5
75021,75022,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-12-05,4200.0,3.5
75022,75023,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-14,4200.0,11.5
75023,75024,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-15,4190.0,4.0
75024,75025,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-16,4171.0,6.0
75025,75026,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-17,4200.0,10.9
75026,75027,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-18,4200.0,2.6
75027,75028,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-19,4150.0,2.6
75028,75029,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-21,4150.0,3.5
75029,75030,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-22,4100.0,4.5
75030,75031,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-23,4025.0,1.3
75031,75032,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-24,4000.0,1.5
75032,75033,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-25,4000.0,3.0
75033,75034,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-26,4000.0,3.5
75034,75035,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-28,4000.0,3.2
75035,75036,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-29,4000.0,3.5
75036,75037,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-30,4100.0,4.0
75037,75038,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-31,4200.0,2.4
75038,75039,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-01-06,4100.0,7.2
75039,75040,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-02-06,4000.0,1.0
75040,75041,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-06,3950.0,14.2
75041,75042,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-06,3950.0,2.5
75042,75043,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-06,3900.0,6.9
75043,75044,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-07-06,4100.0,6.8
75044,75045,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-09-06,3950.0,2.0
75045,75046,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-11-06,4000.0,9.2
75046,75047,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-12-06,4000.0,3.5
75047,75048,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-13,4000.0,9.0
75048,75049,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-14,3950.0,9.0
75049,75050,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-16,3900.0,6.6
75050,75051,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-18,3950.0,6.5
75051,75052,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-19,3950.0,6.5
75052,75053,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-20,3950.0,2.6
75053,75054,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-21,3975.0,13.5
75054,75055,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-22,4000.0,12.0
75055,75056,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-23,4000.0,5.4
75056,75057,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-25,4000.0,9.8
75057,75058,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-26,4100.0,19.0
75058,75059,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-27,4100.0,12.9
75059,75060,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-28,4050.0,8.3
75060,75061,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-29,4175.0,8.3
75061,75062,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-30,4150.0,5.8
75062,75063,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-02-07,4200.0,7.9
75063,75064,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-03-07,4100.0,6.3
75064,75065,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-04-07,4200.0,3.2
75065,75066,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-05-07,4250.0,16.1
75066,75067,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-06-07,4300.0,6.0
75067,75068,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-07-07,4300.0,11.5
75068,75069,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-09-07,4400.0,11.0
75069,75070,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-10-07,4350.0,10.5
75070,75071,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-11-07,4350.0,6.4
75071,75072,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-12-07,4400.0,4.2
75072,75073,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-07-14,4500.0,10.0
75073,75074,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-07-16,4450.0,6.5
75074,75075,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-07-17,4600.0,7.0
75075,75076,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-07-18,4550.0,6.0
75076,75077,Bengal Gram(Gram),Rajasthan,Jhunjunu,Jhunjhunu,2012-07-19,4600.0,2.0
