,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
75239,75240,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-04-01,2900.0,1.0
75240,75241,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-01-19,3000.0,5.7
75241,75242,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-02-16,3250.0,1.2
75242,75243,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-04-03,3250.0,0.1
75243,75244,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-03-21,3450.0,3.5
75244,75245,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-03-23,3450.0,6.0
75245,75246,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-04-26,3400.0,25.6
75246,75247,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-04-27,3400.0,27.7
75247,75248,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-01-05,3650.0,1.0
75248,75249,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-02-05,3650.0,1.5
75249,75250,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-04-05,3700.0,0.8
75250,75251,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-10-05,4000.0,0.8
75251,75252,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-05-13,4050.0,3.8
75252,75253,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-05-15,4000.0,0.5
75253,75254,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-05-17,4050.0,1.0
75254,75255,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-05-29,3950.0,0.5
75255,75256,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-05-30,3900.0,28.5
75256,75257,Bengal Gram(Gram),Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),2012-05-31,3950.0,10.0
