,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
75576,75577,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-03-01,2850.0,0.7
75577,75578,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-04-01,2856.0,2.5
75578,75579,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-05-01,2852.0,1.1
75579,75580,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-06-01,2886.0,1.5
75580,75581,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-07-01,2900.0,1.1
75581,75582,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-09-01,2860.0,0.8
75582,75583,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-10-01,2790.0,0.1
75583,75584,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-11-01,2900.0,1.0
75584,75585,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-12-01,2865.0,0.6
75585,75586,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-01-13,2851.0,1.0
75586,75587,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-01-16,2801.0,0.2
75587,75588,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-01-18,2790.0,0.2
75588,75589,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-01-19,2882.0,1.5
75589,75590,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-01-20,2751.0,1.0
75590,75591,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-01-21,2700.0,0.8
75591,75592,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-01-24,2901.0,0.5
75592,75593,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-01-25,2811.0,1.4
75593,75594,Bengal Gram(Gram),Rajasthan,Kota,Ramaganj Mandi,2012-01-31,2871.0,0.6
