,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
117879,117880,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-01-25,2700.0,0.2
117880,117881,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-02-13,3421.0,0.1
117881,117882,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-02-15,3421.0,0.1
117882,117883,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-05-28,3054.0,0.3
117883,117884,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-05-30,3020.0,0.2
117884,117885,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-04-06,1759.0,1.0
117885,117886,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-06-06,2719.0,1.0
117886,117887,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-11-06,2509.0,0.3
117887,117888,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-06-13,2809.0,1.0
117888,117889,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-06-14,3190.0,0.2
117889,117890,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-06-18,0.0,0.1
117890,117891,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-06-19,1950.0,0.1
117891,117892,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-06-21,2900.0,0.1
117892,117893,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-02-07,1800.0,0.1
117893,117894,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-03-07,2889.0,0.3
117894,117895,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-04-07,3309.0,0.3
117895,117896,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-05-07,3129.0,0.1
117896,117897,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-07-17,3109.0,0.1
117897,117898,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-07-23,3339.0,0.16
117898,117899,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-07-25,3140.0,0.2
117899,117900,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-07-26,3219.0,0.1
117900,117901,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-07-30,1810.0,0.1
117901,117902,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-07-08,3450.0,0.1
117902,117903,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-08-08,2289.0,0.4
117903,117904,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-08-23,3059.0,0.2
117904,117905,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Cuddalore,2012-10-22,2600.0,0.2
117905,117906,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-05-07,3866.0,0.2
117906,117907,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-06-07,3960.0,0.1
117907,117908,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-07,4050.0,0.2
117908,117909,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-10-07,3955.0,0.4
117909,117910,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-17,3795.0,0.35
117910,117911,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-23,3554.0,0.5
117911,117912,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-25,0.0,0.5
117912,117913,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-30,3900.0,0.2
117913,117914,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-31,4163.0,0.1
117914,117915,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-01-08,4160.0,0.1
117915,117916,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-03-08,3740.0,0.3
117916,117917,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-07-08,3966.0,0.2
117917,117918,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-08,3989.0,0.1
117918,117919,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-13,4034.0,0.4
117919,117920,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-21,3520.0,0.1
117920,117921,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-22,4080.0,0.4
117921,117922,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-23,3900.0,0.1
117922,117923,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-27,3309.0,0.2
117923,117924,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-08-30,4000.0,0.1
117924,117925,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-03-09,3900.0,0.1
117925,117926,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-05-09,3360.0,0.1
117926,117927,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-13,3700.0,0.2
117927,117928,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Kurinchipadi,2012-09-24,3570.0,0.1
117928,117929,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Panruti,2012-05-01,3805.0,0.1
117929,117930,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Panruti,2012-06-01,3660.0,0.1
117930,117931,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Panruti,2012-09-01,3485.0,1.5
117931,117932,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Panruti,2012-11-01,3789.0,2.5
117932,117933,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Panruti,2012-12-01,3969.0,3.0
117933,117934,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Panruti,2012-01-18,3854.0,0.1
117934,117935,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Panruti,2012-01-19,3594.0,0.2
117935,117936,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Panruti,2012-01-20,3374.0,6.0
117936,117937,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Panruti,2012-01-23,3734.0,7.0
117937,117938,Black Gram (Urd Beans),Tamil Nadu,Cuddalore,Panruti,2012-01-24,2984.0,17.0
