,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
854395,854396,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-03-17,9200.0,0.0
854396,854397,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-03-18,9200.0,0.0
854397,854398,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-03-21,9500.0,0.0
854398,854399,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-03-22,9500.0,0.0
854399,854400,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-03-23,9500.0,0.0
854400,854401,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-03-24,9500.0,0.0
854401,854402,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-03-25,9500.0,0.0
854402,854403,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-03-30,5700.0,0.0
854403,854404,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-04-04,9600.0,0.0
854404,854405,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-05-04,9650.0,0.0
854405,854406,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-06-04,9700.0,0.0
854406,854407,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-07-04,9720.0,0.0
854407,854408,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-08-04,9720.0,0.0
854408,854409,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-11-04,9850.0,0.0
854409,854410,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-12-04,9870.0,0.0
854410,854411,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-04-13,9850.0,0.0
854411,854412,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-04-15,9850.0,0.0
854412,854413,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-04-18,9870.0,0.0
854413,854414,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-04-19,9850.0,0.0
854414,854415,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-04-20,9870.0,0.0
854415,854416,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-04-21,9920.0,0.0
854416,854417,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-04-22,9900.0,0.0
854417,854418,Black Gram (Urd Beans),Tamil Nadu,Nagapattinam,Kuttulam,2016-04-25,9920.0,0.0
