,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
855933,855934,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-17,12500.0,0.0
855934,855935,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-18,12500.0,0.0
855935,855936,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-19,12500.0,0.0
855936,855937,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-20,12500.0,0.0
855937,855938,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-21,12500.0,0.0
855938,855939,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-23,13000.0,0.0
855939,855940,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-24,13000.0,0.0
855940,855941,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-25,13000.0,0.0
855941,855942,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-26,13000.0,0.0
855942,855943,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-27,13000.0,0.0
855943,855944,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-28,13000.0,0.0
855944,855945,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-30,13000.0,0.0
855945,855946,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-05-31,13000.0,0.0
855946,855947,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-01-06,13000.0,0.0
855947,855948,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-02-06,13000.0,0.0
855948,855949,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-03-06,13000.0,0.0
855949,855950,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-04-06,13000.0,0.0
855950,855951,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-06-06,13000.0,0.0
855951,855952,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-07-06,13000.0,0.0
855952,855953,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-08-06,13000.0,0.0
855953,855954,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-09-06,13000.0,0.0
855954,855955,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-10-06,13000.0,0.0
855955,855956,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-11-06,13000.0,0.0
855956,855957,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-06-13,13000.0,0.0
855957,855958,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-06-14,13000.0,0.0
855958,855959,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Koradacheri,2016-06-15,13000.0,0.0
855959,855960,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-17,12500.0,0.0
855960,855961,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-18,12500.0,0.0
855961,855962,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-19,12500.0,0.0
855962,855963,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-20,12500.0,0.0
855963,855964,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-21,12500.0,0.0
855964,855965,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-23,13000.0,0.0
855965,855966,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-24,13000.0,0.0
855966,855967,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-25,13000.0,0.0
855967,855968,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-26,13000.0,0.0
855968,855969,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-27,13000.0,0.0
855969,855970,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-28,13000.0,0.0
855970,855971,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-30,13000.0,0.0
855971,855972,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-05-31,13000.0,0.0
855972,855973,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-01-06,13000.0,0.0
855973,855974,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-02-06,13000.0,0.0
855974,855975,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-03-06,13000.0,0.0
855975,855976,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-04-06,13000.0,0.0
855976,855977,Black Gram (Urd Beans),Tamil Nadu,Thiruvarur,Kudavasal,2016-06-06,13000.0,0.0
