,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
77104,77105,Bengal Gram(Gram),Telangana,Adilabad,Kagaznagar,2012-04-18,1950.0,10.0
120265,120266,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-06-10,2800.0,0.0
120266,120267,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-08-10,2700.0,0.1
120267,120268,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-10-16,4300.0,0.0
120268,120269,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-10-17,4300.0,3.6
120269,120270,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-10-18,4300.0,7.6
120270,120271,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-10-19,4300.0,27.4
120271,120272,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-10-20,4300.0,39.2
120272,120273,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-10-25,4300.0,50.5
120273,120274,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-10-26,4300.0,0.0
120274,120275,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-10-29,4300.0,0.0
120275,120276,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-10-30,4300.0,40.5
120276,120277,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-10-31,4300.0,50.2
120277,120278,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-01-11,4300.0,31.0
120278,120279,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-02-11,4300.0,85.5
120279,120280,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-03-11,4300.0,84.7
120280,120281,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-05-11,4300.0,67.3
120281,120282,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-06-11,4300.0,40.0
120282,120283,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-07-11,4300.0,68.4
120283,120284,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-08-11,4300.0,63.8
120284,120285,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-09-11,4300.0,77.2
120285,120286,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-10-11,4300.0,101.1
120286,120287,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-12-11,4300.0,0.0
120287,120288,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-11-14,4300.0,0.0
120288,120289,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-11-15,4300.0,0.0
120289,120290,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-11-17,4300.0,76.5
120290,120291,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-11-19,4300.0,76.0
120291,120292,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-11-20,4300.0,78.2
120292,120293,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-11-21,4300.0,88.1
120293,120294,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-11-22,4300.0,22.0
120294,120295,Black Gram (Urd Beans),Telangana,Adilabad,Bhainsa,2012-11-23,4300.0,88.1
