,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
77105,77106,Bengal Gram(Gram),Telangana,Karimnagar,Karimnagar,2012-02-14,3220.0,0.4
77106,77107,Bengal Gram(Gram),Telangana,Karimnagar,Karimnagar,2012-03-27,3910.0,0.3
77107,77108,Bengal Gram(Gram),Telangana,Karimnagar,Karimnagar,2012-03-30,3845.0,0.2
77108,77109,Bengal Gram(Gram),Telangana,Karimnagar,Karimnagar,2012-02-04,3551.0,0.2
77109,77110,Bengal Gram(Gram),Telangana,Karimnagar,Karimnagar,2012-03-04,3775.0,0.6
77110,77111,Bengal Gram(Gram),Telangana,Karimnagar,Karimnagar,2012-04-04,3490.0,0.2
77111,77112,Bengal Gram(Gram),Telangana,Karimnagar,Karimnagar,2012-04-16,3600.0,0.1
77112,77113,Bengal Gram(Gram),Telangana,Karimnagar,Karimnagar,2012-03-05,3850.0,0.2
120300,120301,Black Gram (Urd Beans),Telangana,Karimnagar,Karimnagar,2012-02-25,4190.0,0.1
154132,154133,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-03-14,4251.0,0.2
154133,154134,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-11-06,3290.0,0.6
154134,154135,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-06-13,3350.0,0.7
154135,154136,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-06-14,4000.0,0.1
154136,154137,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-06-15,4400.0,0.1
154137,154138,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-06-16,3990.0,0.3
154138,154139,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-06-21,3329.0,0.5
154139,154140,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-12-09,3375.0,0.3
154140,154141,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-09-13,3251.0,0.1
154141,154142,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-09-18,4399.0,0.6
154142,154143,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-09-21,3900.0,0.4
154143,154144,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-09-24,4900.0,0.2
154144,154145,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-04-10,3702.0,0.6
154145,154146,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-05-10,3680.0,0.2
154146,154147,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-08-10,4050.0,0.2
154147,154148,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-11-10,3681.0,0.5
154148,154149,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-10-17,4800.0,0.2
154149,154150,Green Gram (Moong),Telangana,Karimnagar,Choppadandi,2012-12-20,4799.0,0.1
154150,154151,Green Gram (Moong),Telangana,Karimnagar,Jagtial,2012-01-31,3500.0,0.2
