,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
77167,77168,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-01,3650.0,1.4
77168,77169,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-03-01,3602.0,0.7
77169,77170,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-04-01,3650.0,1.4
77170,77171,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-01,3637.0,1.2
77171,77172,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-06-01,3657.0,5.5
77172,77173,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-07-01,3515.0,3.5
77173,77174,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-09-01,3560.0,11.6
77174,77175,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-10-01,3522.0,8.3
77175,77176,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-11-01,3482.0,6.1
77176,77177,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-12-01,3430.0,7.0
77177,77178,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-13,3412.0,7.4
77178,77179,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-14,3412.0,0.0
77179,77180,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-15,3412.0,0.0
77180,77181,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-16,3412.0,0.0
77181,77182,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-17,3307.0,7.2
77182,77183,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-18,3250.0,5.9
77183,77184,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-19,3100.0,6.2
77184,77185,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-20,3004.0,11.9
77185,77186,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-21,3125.0,5.4
77186,77187,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-22,3125.0,0.0
77187,77188,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-23,3125.0,0.0
77188,77189,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-24,3100.0,5.3
77189,77190,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-25,3135.0,7.6
77190,77191,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-28,3130.0,7.2
77191,77192,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-31,3220.0,6.4
77192,77193,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-02,3220.0,13.3
77193,77194,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-02,3195.0,7.5
77194,77195,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-03-02,3305.0,10.9
77195,77196,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-04-02,3222.0,1.3
77196,77197,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-02,3222.0,1.3
77197,77198,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-06-02,3285.0,4.7
77198,77199,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-07-02,3285.0,0.0
77199,77200,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-08-02,3300.0,3.4
77200,77201,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-09-02,3300.0,6.0
77201,77202,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-10-02,3500.0,4.7
77202,77203,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-11-02,3455.0,2.3
77203,77204,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-12-02,3455.0,0.0
77204,77205,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-13,3455.0,0.0
77205,77206,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-14,3350.0,3.2
77206,77207,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-15,3350.0,0.0
77207,77208,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-16,3407.0,2.9
77208,77209,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-17,3555.0,4.8
77209,77210,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-18,3525.0,1.5
77210,77211,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-22,3572.0,0.7
77211,77212,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-23,3525.0,1.9
77212,77213,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-24,3572.0,3.6
77213,77214,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-25,3625.0,1.9
77214,77215,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-26,3625.0,0.0
77215,77216,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-27,3482.0,1.6
77216,77217,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-03,3545.0,0.4
77217,77218,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-03,3439.0,0.5
77218,77219,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-03-03,3500.0,0.1
77219,77220,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-04-03,2850.0,0.0
77220,77221,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-03,2850.0,2.5
77221,77222,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-06-03,3190.0,0.8
77222,77223,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-07-03,3180.0,0.8
77223,77224,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-12-03,3550.0,0.5
77224,77225,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-03-14,3706.0,0.2
77225,77226,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-03-16,3650.0,0.2
77226,77227,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-04,3958.0,0.0
77227,77228,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-04,3958.0,0.0
77228,77229,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-09-04,3958.0,0.4
77229,77230,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-04-13,3902.0,0.6
77230,77231,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-14,4549.0,0.3
77231,77232,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-15,4549.0,0.0
77232,77233,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-16,4549.0,0.0
77233,77234,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-17,4549.0,0.0
77234,77235,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-18,4549.0,0.0
77235,77236,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-19,4549.0,0.0
77236,77237,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-20,4549.0,0.0
77237,77238,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-21,4549.0,0.0
77238,77239,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-22,4549.0,0.0
77239,77240,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-23,4549.0,0.0
77240,77241,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-24,4549.0,0.0
77241,77242,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-25,4549.0,0.0
77242,77243,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-26,4549.0,0.0
77243,77244,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-27,4549.0,0.0
77244,77245,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-28,4549.0,0.0
77245,77246,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-29,4549.0,0.0
77246,77247,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-30,4549.0,0.0
77247,77248,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-05-31,4549.0,0.0
77248,77249,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-01-06,4549.0,0.0
77249,77250,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-02-06,4549.0,0.0
77250,77251,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-09-07,3958.0,0.4
77251,77252,Bengal Gram(Gram),Telangana,Medak,Zaheerabad,2012-07-13,3902.0,0.6
120333,120334,Black Gram (Urd Beans),Telangana,Medak,Zaheerabad,2012-03-09,3600.0,0.1
