,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
121201,121202,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-01-08,4180.0,3.0
121202,121203,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-03-08,4240.0,2.5
121203,121204,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-04-08,4380.0,2.0
121204,121205,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-06-08,4525.0,3.0
121205,121206,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-07-08,4560.0,2.5
121206,121207,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-08,4580.0,2.0
121207,121208,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-08,4590.0,3.0
121208,121209,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-16,5150.0,4.0
121209,121210,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-17,5090.0,4.0
121210,121211,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-18,5060.0,5.0
121211,121212,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-21,5050.0,5.0
121212,121213,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-22,5015.0,4.0
121213,121214,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-23,5020.0,3.0
121214,121215,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-24,5010.0,3.0
121215,121216,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-25,5020.0,4.0
121216,121217,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-29,5030.0,2.5
121217,121218,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-30,5050.0,2.5
121218,121219,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-31,5080.0,3.0
121219,121220,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-01-09,5075.0,4.0
121220,121221,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-03-09,5080.0,3.5
121221,121222,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-04-09,5045.0,3.0
121222,121223,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-05-09,5025.0,4.0
121223,121224,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-06-09,5030.0,5.0
121224,121225,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-07-09,5040.0,3.0
121225,121226,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-09,5045.0,2.0
121226,121227,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-10-09,5050.0,2.5
121227,121228,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-11-09,5030.0,4.0
121228,121229,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-12-09,5040.0,5.0
121229,121230,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-13,5060.0,2.0
121230,121231,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-14,5050.0,4.0
121231,121232,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-15,4980.0,3.0
121232,121233,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-17,4970.0,5.0
121233,121234,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-18,4975.0,2.0
121234,121235,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-19,4965.0,4.0
121235,121236,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-20,4960.0,3.0
121236,121237,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-21,4950.0,3.0
121237,121238,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-24,4940.0,2.0
121238,121239,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-25,4925.0,3.0
121239,121240,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-26,4930.0,4.0
121240,121241,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-27,4915.0,4.0
121241,121242,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-28,4925.0,3.0
121242,121243,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-09-29,4940.0,6.0
121243,121244,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-01-10,4880.0,5.0
121244,121245,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-03-10,4890.0,6.0
121245,121246,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-04-10,4850.0,4.0
121246,121247,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-05-10,4810.0,3.0
121247,121248,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-06-10,4780.0,2.5
121248,121249,Black Gram (Urd Beans),Uttar Pradesh,Badaun,Badayoun,2012-08-10,4780.0,2.5
