,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
78997,78998,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-01,3750.0,4.0
78998,78999,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-07-01,3780.0,4.0
78999,79000,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-09-01,3775.0,2.9
79000,79001,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-10-01,3775.0,6.0
79001,79002,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-11-01,3775.0,4.5
79002,79003,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-12-01,3775.0,9.0
79003,79004,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-13,3775.0,7.0
79004,79005,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-16,3770.0,5.5
79005,79006,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-17,3770.0,6.0
79006,79007,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-18,3770.0,5.5
79007,79008,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-19,3770.0,6.0
79008,79009,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-20,3770.0,5.0
79009,79010,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-21,3770.0,5.2
79010,79011,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-23,3760.0,9.0
79011,79012,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-24,3760.0,8.0
79012,79013,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-25,3760.0,5.5
79013,79014,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-27,3760.0,4.5
79014,79015,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-28,3760.0,9.0
79015,79016,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-30,3760.0,6.0
79016,79017,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-31,3760.0,9.0
79017,79018,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-02,3760.0,9.0
79018,79019,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-02,3765.0,6.0
79019,79020,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-03-02,3765.0,7.0
79020,79021,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-04-02,3765.0,4.8
79021,79022,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-06-02,3770.0,5.5
79022,79023,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-07-02,3770.0,6.0
79023,79024,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-08-02,3770.0,5.2
79024,79025,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-09-02,3770.0,4.5
79025,79026,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-10-02,3770.0,3.6
79026,79027,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-13,3760.0,8.0
79027,79028,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-14,3760.0,5.5
79028,79029,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-15,3760.0,5.8
79029,79030,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-16,3760.0,7.5
79030,79031,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-17,3760.0,6.5
79031,79032,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-18,3760.0,5.6
79032,79033,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-20,3770.0,4.8
79033,79034,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-21,3770.0,4.8
79034,79035,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-22,3770.0,6.0
79035,79036,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-23,3750.0,7.0
79036,79037,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-24,3750.0,9.0
79037,79038,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-25,3825.0,6.0
79038,79039,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-27,3825.0,7.0
79039,79040,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-28,3850.0,5.2
79040,79041,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-29,3850.0,11.0
79041,79042,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-01-03,3850.0,7.0
79042,79043,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-02-03,3850.0,6.0
79043,79044,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-03-03,3850.0,7.0
79044,79045,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-05-03,3860.0,5.0
79045,79046,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-06-03,3860.0,3.0
79046,79047,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-07-03,3860.0,9.0
79047,79048,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-09-03,3860.0,10.0
79048,79049,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-10-03,3880.0,6.0
79049,79050,Bengal Gram(Gram),Uttar Pradesh,Ballia,Ballia,2012-03-13,3875.0,8.0
