,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
389709,389710,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-09-16,3425.0,3.5
389710,389711,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-09-18,3430.0,2.0
389711,389712,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-09-19,3440.0,2.0
389712,389713,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-09-22,3460.0,3.5
389713,389714,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-09-23,3465.0,3.0
389714,389715,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-09-24,3465.0,3.0
389715,389716,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-09-25,3480.0,3.5
389716,389717,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-09-26,3485.0,3.0
389717,389718,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-09-27,3480.0,3.5
389718,389719,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-09-29,3490.0,4.0
389719,389720,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-11-24,3515.0,2.0
389720,389721,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-11-25,3515.0,2.5
389721,389722,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-09-12,3460.0,3.0
389722,389723,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-10-12,3475.0,2.5
389723,389724,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-11-12,3470.0,20.0
389724,389725,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-12-12,3470.0,2.0
389725,389726,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-12-13,3470.0,2.0
389726,389727,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-12-15,3465.0,2.5
389727,389728,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-12-16,3475.0,2.0
389728,389729,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-12-17,3480.0,15.0
389729,389730,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-12-18,3490.0,1.0
389730,389731,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-12-19,3475.0,1.5
389731,389732,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-12-20,3480.0,1.5
389732,389733,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-12-22,3475.0,2.0
389733,389734,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-12-23,3475.0,3.0
389734,389735,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-12-24,3480.0,2.5
389735,389736,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2014-12-25,3485.0,2.0
562859,562860,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-07-01,3525.0,2.0
562860,562861,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-12-01,3525.0,2.0
562861,562862,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-01-13,3535.0,3.5
562862,562863,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-01-14,3535.0,4.5
562863,562864,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-02,3615.0,2.0
562864,562865,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-07-02,3625.0,2.0
562865,562866,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-09-02,3475.0,3.5
562866,562867,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-10-02,3625.0,3.0
562867,562868,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-11-02,3620.0,2.5
562868,562869,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-12-02,3625.0,2.0
562869,562870,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-13,3625.0,2.0
562870,562871,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-14,3620.0,3.0
562871,562872,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-16,3625.0,2.5
562872,562873,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-17,3620.0,2.5
562873,562874,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-20,3630.0,2.0
562874,562875,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-25,3635.0,2.5
562875,562876,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-26,3247.5,0.0
562876,562877,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-27,3645.0,5.5
562877,562878,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-28,3635.0,3.0
562878,562879,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-03,3650.0,3.0
562879,562880,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-03,3640.0,2.5
562880,562881,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-03,3660.0,2.5
562881,562882,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-03,3645.0,3.0
562882,562883,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-07-03,3645.0,3.0
562883,562884,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-09-03,3640.0,2.0
562884,562885,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-10-03,3635.0,2.5
562885,562886,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-11-03,3625.0,3.0
562886,562887,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-12-03,3620.0,3.0
562887,562888,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-13,3625.0,3.0
562888,562889,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-14,3625.0,2.0
562889,562890,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-16,3620.0,3.0
562890,562891,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-17,3600.0,3.5
562891,562892,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-18,3610.0,3.0
562892,562893,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-19,3600.0,3.5
562893,562894,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-20,3590.0,3.5
562894,562895,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-21,3615.0,3.0
562895,562896,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-23,3590.0,3.5
562896,562897,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-24,3595.0,3.0
562897,562898,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-25,3590.0,3.5
562898,562899,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-26,3585.0,3.0
562899,562900,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-27,3580.0,3.5
562900,562901,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-30,3580.0,2.5
562901,562902,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-01-04,4300.0,2.5
562902,562903,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-04,3575.0,20.0
562903,562904,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-04,3570.0,2.5
562904,562905,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-04,3575.0,3.5
562905,562906,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-07-04,3575.0,3.5
562906,562907,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-08-04,3570.0,4.0
562907,562908,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-09-04,3575.0,4.5
562908,562909,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-10-04,3570.0,4.0
562909,562910,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-13,3575.0,4.5
562910,562911,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-14,3575.0,4.0
562911,562912,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-15,3570.0,4.5
562912,562913,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-16,3575.0,4.0
562913,562914,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-17,3580.0,3.5
562914,562915,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-18,3575.0,4.0
562915,562916,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-21,3580.0,3.5
562916,562917,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-22,3585.0,4.0
562917,562918,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-23,3580.0,4.5
562918,562919,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-25,3585.0,4.5
562919,562920,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-27,3590.0,5.0
562920,562921,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-28,3650.0,4.0
562921,562922,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-01-05,3730.0,4.0
562922,562923,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-05,3735.0,4.5
562923,562924,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-05,1455.0,180.0
562924,562925,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-05,3735.0,5.0
562925,562926,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-05,3750.0,4.5
562926,562927,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-08-05,3910.0,3.5
562927,562928,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-09-05,3925.0,2.0
562928,562929,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-11-05,3950.0,3.0
562929,562930,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-12-05,4000.0,3.5
562930,562931,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-14,4100.0,3.0
562931,562932,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-15,4250.0,1.5
562932,562933,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-16,4285.0,2.0
562933,562934,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-18,4275.0,2.5
562934,562935,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-19,4280.0,2.0
562935,562936,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-20,4285.0,2.5
562936,562937,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-21,4280.0,2.0
562937,562938,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-22,4350.0,3.0
562938,562939,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-23,4380.0,3.5
562939,562940,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-25,4450.0,3.0
562940,562941,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-26,4490.0,3.5
562941,562942,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-27,4500.0,3.0
562942,562943,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-28,4515.0,3.5
562943,562944,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-29,4525.0,3.0
562944,562945,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-01-06,3665.0,4.5
562945,562946,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-02-06,4745.0,3.0
562946,562947,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-03-06,4760.0,3.5
562947,562948,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-04-06,4770.0,3.0
562948,562949,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-05-06,4800.0,2.5
562949,562950,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-06,4825.0,2.5
562950,562951,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-08-06,4835.0,3.0
562951,562952,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-09-06,4850.0,2.5
562952,562953,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-10-06,4875.0,3.5
562953,562954,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-11-06,4880.0,3.0
562954,562955,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-12-06,4885.0,3.5
562955,562956,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-13,4895.0,4.0
562956,562957,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-15,4900.0,35.0
562957,562958,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-16,4910.0,3.0
562958,562959,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-17,4915.0,3.5
562959,562960,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-18,4925.0,3.0
562960,562961,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-19,4930.0,4.0
562961,562962,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-20,4950.0,3.0
562962,562963,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-22,4900.0,4.0
562963,562964,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-23,4920.0,3.5
562964,562965,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-24,4985.0,3.5
562965,562966,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-25,4980.0,3.5
562966,562967,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-26,5010.0,3.5
562967,562968,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-27,5020.0,3.0
562968,562969,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-06-29,5025.0,3.5
562969,562970,Bengal Gram(Gram),Uttar Pradesh,Deoria,Devariya,2015-01-07,5040.0,3.0
