,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
389736,389737,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-05-03,3450.0,1.2
389737,389738,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-06-03,3460.0,1.0
389738,389739,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-07-03,3450.0,0.8
389739,389740,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-08-03,3440.0,1.0
389740,389741,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-09-03,3430.0,0.9
389741,389742,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-10-03,3440.0,0.8
389742,389743,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-12-03,3460.0,1.2
389743,389744,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-13,3450.0,1.0
389744,389745,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-14,3460.0,0.8
389745,389746,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-15,3450.0,1.2
389746,389747,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-16,3460.0,1.0
389747,389748,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-19,3440.0,0.6
389748,389749,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-20,3450.0,0.5
389749,389750,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-21,3440.0,0.8
389750,389751,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-22,3450.0,1.0
389751,389752,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-23,3460.0,0.8
389752,389753,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-24,3470.0,0.6
389753,389754,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-26,3450.0,1.2
389754,389755,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-27,3460.0,0.8
389755,389756,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-28,3450.0,1.0
389756,389757,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-29,3430.0,1.5
389757,389758,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-30,3440.0,1.8
389758,389759,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-31,3420.0,1.6
389759,389760,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-02-04,3430.0,1.5
389760,389761,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-03-04,3420.0,1.6
389761,389762,Bengal Gram(Gram),Uttar Pradesh,Etah,Etah,2014-04-04,3430.0,1.5
