,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
82091,82092,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-01-03,3575.0,9.0
82092,82093,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-02-03,3650.0,12.0
82093,82094,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-03,3700.0,8.0
82094,82095,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-04-03,3650.0,5.0
82095,82096,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-05-03,3680.0,9.0
82096,82097,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-07-03,3640.0,7.0
82097,82098,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-08-03,3600.0,8.0
82098,82099,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-09-03,3600.0,8.0
82099,82100,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-10-03,3680.0,4.0
82100,82101,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-11-03,3660.0,5.0
82101,82102,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-12-03,3650.0,6.0
82102,82103,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-14,3680.0,9.0
82103,82104,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-15,3670.0,5.0
82104,82105,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-16,3675.0,4.0
82105,82106,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-17,3650.0,6.0
82106,82107,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-18,3660.0,5.0
82107,82108,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-19,3670.0,4.0
82108,82109,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-21,3650.0,6.0
82109,82110,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-22,3700.0,5.0
82110,82111,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-23,3750.0,4.0
82111,82112,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-25,3760.0,9.0
82112,82113,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-26,3780.0,6.0
82113,82114,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-28,3740.0,8.0
82114,82115,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-29,3750.0,6.0
82115,82116,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-03-30,3800.0,5.0
82116,82117,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-01-04,3750.0,6.0
82117,82118,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-02-04,3780.0,5.0
82118,82119,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-04-04,3750.0,7.0
82119,82120,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-05-04,3730.0,8.0
82120,82121,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-06-04,3740.0,6.0
82121,82122,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-07-04,3750.0,5.0
82122,82123,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-08-04,3770.0,4.0
82123,82124,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-09-04,3760.0,8.0
82124,82125,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-11-04,3750.0,9.0
82125,82126,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-12-04,3760.0,8.0
82126,82127,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-04-13,3750.0,15.0
82127,82128,Bengal Gram(Gram),Uttar Pradesh,Ghaziabad,Ghaziabad,2012-04-14,3800.0,8.0
