,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
392902,392903,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-08-08,3630.0,1.5
392903,392904,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-09-08,3600.0,2.0
392904,392905,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-11-08,3600.0,3.0
392905,392906,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-12-08,3600.0,3.5
392906,392907,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-08-13,3570.0,4.5
392907,392908,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-08-14,3570.0,5.0
392908,392909,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-08-16,3570.0,5.5
392909,392910,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-08-20,3570.0,7.3
392910,392911,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-08-21,3575.0,2.0
392911,392912,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-08-22,3575.0,3.0
392912,392913,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-08-23,3575.0,3.6
392913,392914,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-08-25,3575.0,4.0
392914,392915,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-08-26,3570.0,4.5
392915,392916,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-08-27,3570.0,5.0
392916,392917,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-08-29,3570.0,6.0
392917,392918,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-01-09,3570.0,8.0
392918,392919,Bengal Gram(Gram),Uttar Pradesh,Ghazipur,Gazipur,2014-02-09,3580.0,2.5
