,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
85285,85286,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-07-09,5325.0,0.5
85286,85287,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-10-09,5290.0,1.0
85287,85288,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-11-09,5260.0,0.3
85288,85289,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-12-09,5250.0,0.6
85289,85290,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-13,5250.0,1.0
85290,85291,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-15,5250.0,1.0
85291,85292,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-17,5255.0,0.3
85292,85293,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-18,5255.0,0.4
85293,85294,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-19,5260.0,0.8
85294,85295,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-20,5260.0,1.5
85295,85296,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-21,5265.0,0.5
85296,85297,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-22,5275.0,0.6
85297,85298,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-24,5280.0,1.0
85298,85299,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-25,5275.0,0.5
85299,85300,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-26,5280.0,0.7
85300,85301,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-28,5265.0,0.5
85301,85302,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-09-29,5265.0,1.0
85302,85303,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-01-10,5275.0,2.0
85303,85304,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-03-10,5275.0,1.0
85304,85305,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-04-10,5280.0,1.5
85305,85306,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-05-10,5280.0,1.0
85306,85307,Bengal Gram(Gram),Uttar Pradesh,Maharajganj,Gadaura,2012-06-10,5260.0,1.0
