,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
35166,35167,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-10-10,3900.0,0.4
35167,35168,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-11-10,3850.0,0.6
35168,35169,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-12-10,3820.0,0.9
35169,35170,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-10-13,3900.0,0.5
35170,35171,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-10-19,4080.0,0.4
35171,35172,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-10-20,4060.0,0.5
35172,35173,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-10-24,4000.0,1.2
35173,35174,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-10-27,3950.0,0.8
35174,35175,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-10-29,3975.0,0.4
35175,35176,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-10-31,3980.0,0.3
35176,35177,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-01-11,3950.0,0.4
35177,35178,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-02-11,3960.0,0.5
35178,35179,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-05-11,3975.0,0.6
35179,35180,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-07-11,4000.0,0.4
35180,35181,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-08-11,4000.0,0.5
35181,35182,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-09-11,3980.0,0.8
35182,35183,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-10-11,4050.0,0.8
35183,35184,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-11-11,4080.0,0.5
35184,35185,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-12-11,4150.0,0.4
35185,35186,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-11-16,4200.0,0.7
35186,35187,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-11-19,4250.0,0.5
35187,35188,Arhar (Tur/Red Gram),Uttar Pradesh,Muradabad,Muradabad,2012-11-23,4275.0,0.4
86446,86447,Bengal Gram(Gram),Uttar Pradesh,Muradabad,Chandausi,2012-01-10,4900.0,2.0
86447,86448,Bengal Gram(Gram),Uttar Pradesh,Muradabad,Chandausi,2012-02-10,4900.0,3.0
86448,86449,Bengal Gram(Gram),Uttar Pradesh,Muradabad,Chandausi,2012-03-10,4900.0,2.0
86449,86450,Bengal Gram(Gram),Uttar Pradesh,Muradabad,Chandausi,2012-04-10,4880.0,4.0
86450,86451,Bengal Gram(Gram),Uttar Pradesh,Muradabad,Chandausi,2012-05-10,4850.0,6.0
86451,86452,Bengal Gram(Gram),Uttar Pradesh,Muradabad,Chandausi,2012-06-10,4800.0,9.0
86452,86453,Bengal Gram(Gram),Uttar Pradesh,Muradabad,Chandausi,2012-08-10,4800.0,8.0
86453,86454,Bengal Gram(Gram),Uttar Pradesh,Muradabad,Chandausi,2012-09-10,4800.0,7.0
86454,86455,Bengal Gram(Gram),Uttar Pradesh,Muradabad,Chandausi,2012-10-10,4800.0,9.0
86455,86456,Bengal Gram(Gram),Uttar Pradesh,Muradabad,Chandausi,2012-11-10,4800.0,12.0
