,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
35374,35375,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-08-30,6250.0,2.8
35375,35376,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-09,6250.0,3.5
35376,35377,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-21,6250.0,3.0
35377,35378,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-23,6250.0,2.8
35378,35379,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-24,6250.0,2.5
35379,35380,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-25,6250.0,3.0
35380,35381,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-26,6250.0,3.2
35381,35382,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-27,6250.0,3.0
35382,35383,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-28,6250.0,4.5
35383,35384,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-10,6250.0,4.0
35384,35385,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-04-10,6250.0,3.0
35385,35386,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-05-10,6250.0,3.2
35386,35387,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-09-10,6250.0,3.5
35387,35388,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-10,6250.0,2.5
35388,35389,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-12-10,6250.0,2.0
35389,35390,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-14,6200.0,2.0
35390,35391,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-15,6200.0,2.0
35391,35392,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-17,6200.0,1.5
35392,35393,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-19,6200.0,1.5
35393,35394,Arhar (Tur/Red Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-11-11,6650.0,1.2
86608,86609,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-02-01,3750.0,2.2
86609,86610,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-04-01,3750.0,2.0
86610,86611,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-10-01,3750.0,2.5
86611,86612,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-12-01,3700.0,3.0
86612,86613,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-13,3800.0,3.0
86613,86614,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-17,3800.0,2.5
86614,86615,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-18,3850.0,2.5
86615,86616,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-19,3800.0,3.0
86616,86617,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-20,3850.0,2.5
86617,86618,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-22,3850.0,3.0
86618,86619,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-23,3850.0,3.0
86619,86620,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-24,3850.0,2.0
86620,86621,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-25,3850.0,3.0
86621,86622,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-29,3850.0,2.2
86622,86623,Bengal Gram(Gram),Uttar Pradesh,Pratapgarh,Pratapgarh,2012-01-30,3850.0,2.0
