,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
87005,87006,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-01-03,3425.0,2.6
87006,87007,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-02-03,3425.0,3.2
87007,87008,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-04-03,3435.0,2.8
87008,87009,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-05-03,3435.0,3.2
87009,87010,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-09-03,3440.0,2.0
87010,87011,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-10-03,3440.0,2.0
87011,87012,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-11-03,3420.0,2.5
87012,87013,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-12-03,3425.0,4.0
87013,87014,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-13,3410.0,3.2
87014,87015,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-15,3430.0,3.0
87015,87016,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-16,3430.0,2.0
87016,87017,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-17,3435.0,2.5
87017,87018,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-18,3435.0,3.0
87018,87019,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-19,3435.0,1.5
87019,87020,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-20,3440.0,1.8
87020,87021,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-22,3550.0,3.0
87021,87022,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-23,3650.0,2.5
87022,87023,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-24,3670.0,3.0
87023,87024,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-25,3680.0,2.0
87024,87025,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-26,3680.0,2.0
87025,87026,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-27,3750.0,1.5
87026,87027,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-29,3760.0,2.5
87027,87028,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-30,3760.0,2.5
87028,87029,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-31,3765.0,2.0
87029,87030,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-01-04,3775.0,1.5
87030,87031,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-02-04,3785.0,2.5
87031,87032,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-03-04,3795.0,3.0
87032,87033,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-05-04,3850.0,2.5
87033,87034,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-06-04,3860.0,2.0
87034,87035,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-07-04,3870.0,2.0
87035,87036,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-08-04,3880.0,3.0
87036,87037,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-09-04,3885.0,2.5
87037,87038,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-10-04,3890.0,3.5
87038,87039,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-12-04,3890.0,4.0
87039,87040,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-04-13,3895.0,5.0
87040,87041,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-04-14,3925.0,4.0
87041,87042,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-04-15,4000.0,3.0
87042,87043,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-04-16,4025.0,2.0
87043,87044,Bengal Gram(Gram),Uttar Pradesh,Rampur,Rampur,2012-04-17,4025.0,3.0
