,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
1062819,1062820,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-09-21,6200.0,9.0
1062820,1062821,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-09-23,6250.0,0.0
1062821,1062822,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-09-24,6250.0,0.0
1062822,1062823,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-09-25,6250.0,10.0
1062823,1062824,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-09-26,6250.0,0.0
1062824,1062825,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-09-27,6250.0,0.0
1062825,1062826,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-09-28,6250.0,10.0
1062826,1062827,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-03-10,6250.0,0.0
1062827,1062828,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-04-10,6250.0,6.0
1062828,1062829,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-07-10,6250.0,0.0
1062829,1062830,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-10-10,6250.0,12.0
1062830,1062831,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-11-10,6250.0,0.0
1062831,1062832,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-12-10,6250.0,0.0
1062832,1062833,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-10-14,6275.0,0.0
1062833,1062834,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-10-16,6275.0,0.0
1062834,1062835,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-10-17,6300.0,0.0
1062835,1062836,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-10-23,6300.0,0.0
1062836,1062837,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-10-24,6325.0,0.0
1062837,1062838,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-10-25,6300.0,0.0
1062838,1062839,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-10-28,6325.0,0.0
1062839,1062840,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-10-30,6300.0,10.0
1062840,1062841,Bengal Gram(Gram),Uttar Pradesh,Sant Kabir Nagar,Khalilabad,2017-01-11,6300.0,0.0
