,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
87253,87254,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-01-13,3490.0,0.5
87254,87255,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-01-16,3500.0,0.4
87255,87256,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-01-19,3530.0,0.3
87256,87257,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-01-20,3530.0,0.2
87257,87258,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-01-24,3550.0,0.3
87258,87259,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-01-05,3690.0,0.2
87259,87260,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-04-05,3670.0,0.2
87260,87261,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-07-05,3650.0,0.1
87261,87262,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-08-05,3650.0,0.1
87262,87263,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-09-05,3660.0,0.2
87263,87264,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-10-05,3665.0,0.2
87264,87265,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-13,3665.0,0.2
87265,87266,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-14,3665.0,0.2
87266,87267,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-15,3570.0,0.4
87267,87268,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-16,3670.0,0.3
87268,87269,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-17,3675.0,0.7
87269,87270,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-18,3680.0,0.2
87270,87271,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-20,3680.0,0.1
87271,87272,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-21,3685.0,0.2
87272,87273,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-22,3680.0,0.8
87273,87274,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-23,3680.0,0.3
87274,87275,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-24,3690.0,0.4
87275,87276,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-25,3690.0,0.2
87276,87277,Bengal Gram(Gram),Uttar Pradesh,Shahjahanpur,Tilhar,2012-05-29,3700.0,0.1
