,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
87310,87311,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-06-01,3760.0,0.5
87311,87312,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-10-01,3800.0,0.8
87312,87313,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-11-01,3800.0,0.7
87313,87314,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-13,3800.0,0.8
87314,87315,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-14,3800.0,0.7
87315,87316,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-17,3800.0,0.5
87316,87317,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-19,3800.0,0.7
87317,87318,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-20,3800.0,0.7
87318,87319,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-23,3800.0,0.4
87319,87320,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-24,3800.0,0.5
87320,87321,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-25,3800.0,0.6
87321,87322,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-27,3800.0,0.6
87322,87323,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-28,3800.0,1.0
87323,87324,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-30,3800.0,0.6
87324,87325,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-31,3800.0,0.6
87325,87326,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-01-02,3800.0,0.5
87326,87327,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-02-02,3800.0,0.7
87327,87328,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-10-02,3800.0,0.5
87328,87329,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-11-02,3800.0,0.7
87329,87330,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-02-13,3800.0,0.6
87330,87331,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-02-17,3800.0,0.5
87331,87332,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-02-18,3800.0,0.4
87332,87333,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-02-20,3800.0,0.7
87333,87334,Bengal Gram(Gram),Uttar Pradesh,Sitapur,Sitapur,2012-02-21,3800.0,0.5
