,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
87608,87609,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-03-01,3900.0,10.0
87609,87610,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-07-01,3950.0,1.5
87610,87611,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-10-01,4000.0,2.0
87611,87612,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-01-14,3800.0,3.0
87612,87613,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-01-17,3800.0,3.0
87613,87614,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-01-24,3900.0,3.0
87614,87615,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-01-28,3950.0,4.0
87615,87616,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-01-31,3800.0,3.5
87616,87617,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-04-02,3950.0,2.5
87617,87618,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-03-03,4000.0,3.0
87618,87619,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-10-03,3950.0,3.5
87619,87620,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-03-13,3950.0,3.0
87620,87621,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-03-17,3850.0,2.0
87621,87622,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-03-20,3800.0,3.0
87622,87623,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-03-24,3900.0,3.0
87623,87624,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-03-27,3900.0,3.5
87624,87625,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-03-31,3950.0,4.0
87625,87626,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-03-04,4000.0,2.0
87626,87627,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-07-04,3900.0,4.0
87627,87628,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-10-04,3800.0,2.5
87628,87629,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-04-14,3700.0,2.5
87629,87630,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-04-17,3850.0,4.0
87630,87631,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-04-21,3600.0,2.0
87631,87632,Bengal Gram(Gram),Uttar Pradesh,Sultanpur,Sultanpur,2012-04-24,3700.0,2.5
