,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
36427,36428,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Dehradoon,2012-12-27,6000.0,2.0
36428,36429,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-03-01,4250.0,1.8
36429,36430,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-09-01,4040.0,1.2
36430,36431,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-01-17,3540.0,0.8
36431,36432,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-01-20,4941.0,2.2
36432,36433,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-01-23,4250.0,5.7
36433,36434,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-01-24,4298.0,5.7
36434,36435,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-01-25,5222.0,3.5
36435,36436,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-01-27,4300.0,3.0
36436,36437,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-01-29,4272.0,2.2
36437,36438,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-01-02,5000.0,3.8
36438,36439,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-03-02,4850.0,2.0
36439,36440,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-10-02,5255.0,4.1
36440,36441,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-11-02,3260.0,0.3
36441,36442,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-02-13,5002.0,2.3
36442,36443,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-02-15,4300.0,2.7
36443,36444,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-02-18,4300.0,4.1
36444,36445,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-02-19,4200.0,5.1
36445,36446,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-02-24,4900.0,1.5
36446,36447,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-02-25,4250.0,4.6
36447,36448,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-02-26,4100.0,4.7
36448,36449,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-01-03,4065.0,4.0
36449,36450,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-05-03,4000.0,2.5
36450,36451,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-07-03,2000.0,1.9
36451,36452,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-12-03,4722.0,1.5
36452,36453,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-03-18,5020.0,6.0
36453,36454,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-03-19,4137.0,2.8
36454,36455,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-03-20,4250.0,5.0
36455,36456,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-03-21,4050.0,0.6
36456,36457,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-03-24,4650.0,15.1
36457,36458,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-03-27,4210.0,3.0
36458,36459,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-03-30,5200.0,6.2
36459,36460,Arhar (Tur/Red Gram),Uttrakhand,Dehradoon,Rishikesh,2012-03-04,5082.0,2.8
