,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
36551,36552,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-11-08,6000.0,0.6
36552,36553,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-08-13,6000.0,0.2
36553,36554,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-08-24,6000.0,0.2
36554,36555,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-08-25,6000.0,0.2
36555,36556,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-13,5750.0,0.2
36556,36557,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-15,6000.0,0.2
36557,36558,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-17,6000.0,0.4
36558,36559,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-21,6000.0,0.2
36559,36560,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-27,6000.0,0.2
36560,36561,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-10-10,6000.0,0.1
36561,36562,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-10-18,6100.0,0.4
36562,36563,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-10-23,6000.0,0.2
36563,36564,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-10-26,6000.0,0.1
36564,36565,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-10-28,6000.0,0.3
36565,36566,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-01-11,6000.0,0.2
36566,36567,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-11,6000.0,0.2
36567,36568,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-11-19,6250.0,0.2
36568,36569,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-11-26,6000.0,0.2
36569,36570,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-11-30,6000.0,0.5
36570,36571,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-08-12,6000.0,0.5
36571,36572,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-11-12,6000.0,0.7
36572,36573,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-12-20,6000.0,0.3
36573,36574,Arhar (Tur/Red Gram),Uttrakhand,UdhamSinghNagar,Sitarganj,2012-02-29,6000.0,0.1
88605,88606,Bengal Gram(Gram),Uttrakhand,UdhamSinghNagar,Khateema,2012-10-18,5500.0,0.3
124721,124722,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-08,4750.0,1.3
124722,124723,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-12-08,5500.0,0.5
124723,124724,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-08-23,5500.0,0.5
124724,124725,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-08-24,5500.0,0.4
124725,124726,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-08-25,5500.0,0.4
124726,124727,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-08-26,0.0,0.1
124727,124728,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-08-27,5500.0,0.4
124728,124729,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-08-28,5000.0,0.2
124729,124730,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-08-30,4800.0,0.4
124730,124731,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-13,0.0,0.4
124731,124732,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-15,5500.0,0.3
124732,124733,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-17,5750.0,0.2
124733,124734,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-21,5500.0,0.4
124734,124735,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-25,6000.0,0.2
124735,124736,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-09-27,5500.0,0.3
124736,124737,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-05-10,5500.0,0.2
124737,124738,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-10-10,5500.0,0.2
124738,124739,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-10-13,6000.0,0.2
124739,124740,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-10-14,5500.0,0.2
124740,124741,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-10-21,5500.0,0.2
124741,124742,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-10-24,6500.0,0.2
124742,124743,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-10-25,5500.0,0.4
124743,124744,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-01-11,5750.0,0.2
124744,124745,Black Gram (Urd Beans),Uttrakhand,UdhamSinghNagar,Khateema,2012-05-11,6000.0,0.3
