,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
197114,197115,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-04-05,6800.0,3.1
197115,197116,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-05,6600.0,3.0
197116,197117,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-08-05,6800.0,3.1
197117,197118,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-09-05,6800.0,3.2
197118,197119,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-11-05,6800.0,3.1
197119,197120,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-13,6800.0,3.0
197120,197121,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-14,6800.0,3.0
197121,197122,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-15,6800.0,3.1
197122,197123,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-16,6800.0,3.2
197123,197124,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-17,6800.0,3.3
197124,197125,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-18,6800.0,3.3
197125,197126,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-20,6900.0,3.2
197126,197127,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-21,6900.0,3.1
197127,197128,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-22,6950.0,3.3
197128,197129,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-24,6950.0,3.1
197129,197130,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-25,6950.0,3.0
197130,197131,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-27,6950.0,3.3
197131,197132,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-28,6950.0,3.1
197132,197133,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-29,6900.0,3.2
197133,197134,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-31,6850.0,3.5
197134,197135,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-01-06,6900.0,3.5
197135,197136,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-02-06,6900.0,3.1
197136,197137,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-03-06,6900.0,3.2
197137,197138,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-04-06,6850.0,3.5
197138,197139,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-06,6850.0,3.2
197139,197140,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-06,6850.0,3.5
197140,197141,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-06,6850.0,3.5
197141,197142,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-08-06,6850.0,3.2
197142,197143,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-09-06,6850.0,3.6
197143,197144,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-11-06,6900.0,3.5
197144,197145,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-14,6900.0,3.6
197145,197146,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-15,6900.0,3.5
197146,197147,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-16,6900.0,3.5
197147,197148,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-20,6900.0,3.5
197148,197149,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-21,6900.0,3.4
197149,197150,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-22,6900.0,3.6
197150,197151,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-24,6900.0,3.5
197151,197152,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-25,6850.0,3.6
197152,197153,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-26,6950.0,3.4
197153,197154,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-27,6950.0,3.5
197154,197155,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-28,6950.0,3.6
197155,197156,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-01-07,6900.0,3.5
197156,197157,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-02-07,6900.0,3.4
197157,197158,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-03-07,6900.0,3.5
197158,197159,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-04-07,6900.0,3.5
197159,197160,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-07,6900.0,3.5
197160,197161,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-07,6900.0,3.6
197161,197162,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-08-07,6900.0,3.6
197162,197163,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-09-07,6900.0,3.6
197163,197164,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-10-07,6900.0,3.7
197164,197165,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-11-07,6900.0,3.5
197165,197166,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-12-07,6900.0,3.6
197166,197167,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-13,6900.0,3.6
197167,197168,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-15,6900.0,3.5
197168,197169,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-16,6900.0,3.5
197169,197170,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-17,6900.0,3.5
197170,197171,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-18,6900.0,3.5
197171,197172,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-19,6900.0,3.4
197172,197173,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-20,6900.0,3.5
197173,197174,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-22,6900.0,3.5
197174,197175,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-23,6900.0,3.4
197175,197176,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-24,6900.0,3.5
197176,197177,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-25,6900.0,3.5
197177,197178,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-26,6900.0,3.4
197178,197179,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-31,6900.0,3.6
197179,197180,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-01-08,6850.0,3.5
197180,197181,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-02-08,6900.0,3.5
197181,197182,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-05-08,6900.0,3.5
197182,197183,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-06-08,6900.0,3.4
197183,197184,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-07-08,6900.0,3.4
197184,197185,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-08-08,6900.0,3.5
197185,197186,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-09-08,6850.0,3.4
197186,197187,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-10-08,6900.0,3.5
197187,197188,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-11-08,6850.0,3.5
197188,197189,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-12-08,6600.0,3.5
197189,197190,Arhar (Tur/Red Gram),West Bengal,Burdwan,Asansol,2013-08-13,6600.0,3.4
