,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Amreli,2015-12-10,4155.0,18.6,28.0,clear
1,Groundnut,Rajula,2015-12-10,3633.0,1.5,28.0,clear
2,Groundnut,Savarkundla,2015-12-10,4354.0,165.0,28.0,clear
3,Mustard,Rajula,2015-12-10,3705.0,0.1,28.0,clear
4,Groundnut,Amreli,2015-12-12,3925.0,34.3,26.6,clear
5,Groundnut,Rajula,2015-12-12,3688.0,6.0,26.6,clear
6,Groundnut,Savarkundla,2015-12-12,4158.0,33.3,26.6,clear
7,Soyabean,Amreli,2015-12-12,3295.0,1.0,26.6,clear
8,Groundnut,Amreli,2015-12-14,3930.0,32.1,24.8,clear
9,Groundnut,Rajula,2015-12-14,3908.0,4.5,24.8,clear
10,Groundnut,Savarkundla,2015-12-14,4326.5,50.0,24.8,clear
11,Soyabean,Amreli,2015-12-14,3015.0,0.4,24.8,clear
12,Groundnut,Amreli,2015-12-15,3990.0,34.5,25.8,clear
13,Groundnut,Rajula,2015-12-15,3553.0,8.0,25.8,clear
14,Groundnut,Savarkundla,2015-12-15,4294.0,50.0,25.8,clear
15,Groundnut,Amreli,2015-12-16,4090.0,50.3,28.0,clear
16,Groundnut,Savarkundla,2015-12-16,4425.5,50.0,28.0,clear
17,Groundnut,Amreli,2015-12-17,4110.0,30.9,26.8,clear
18,Groundnut,Savarkundla,2015-12-17,4325.0,50.0,26.8,clear
19,Soyabean,Amreli,2015-12-17,3170.0,1.2,26.8,clear
20,Groundnut,Amreli,2015-12-18,4060.0,42.5,25.6,clear
21,Groundnut,Rajula,2015-12-18,3878.0,2.5,25.6,clear
22,Groundnut,Savarkundla,2015-12-18,4537.5,50.0,25.6,clear
23,Soyabean,Amreli,2015-12-18,3330.0,0.2,25.6,clear
24,Groundnut,Amreli,2015-12-19,4065.0,26.9,28.0,clear
25,Groundnut,Savarkundla,2015-12-19,4412.5,53.0,28.0,clear
26,Groundnut,Amreli,2015-12-21,4055.0,30.1,25.8,clear
27,Groundnut,Rajula,2015-12-21,3870.0,4.0,25.8,clear
28,Groundnut,Savarkundla,2015-12-21,4401.5,60.0,25.8,clear
29,Soyabean,Amreli,2015-12-21,3155.0,0.6,25.8,clear
30,Groundnut,Amreli,2015-12-22,4100.0,27.4,24.8,clear
31,Groundnut,Rajula,2015-12-22,4023.0,3.0,24.8,clear
32,Groundnut,Savarkundla,2015-12-22,4651.5,60.0,24.8,clear
33,Mustard,Rajula,2015-12-22,4010.0,0.1,24.8,clear
34,Soyabean,Amreli,2015-12-22,3280.0,0.4,24.8,clear
35,Soyabean,Rajula,2015-12-22,2855.0,0.2,24.8,clear
36,Groundnut,Amreli,2015-12-23,4225.0,36.7,14.6,clear
37,Groundnut,Rajula,2015-12-23,3985.0,6.0,14.6,clear
38,Groundnut,Savarkundla,2015-12-23,4606.5,63.0,14.6,clear
39,Groundnut,Amreli,2015-12-25,4195.0,21.1,12.6,clear
40,Groundnut,Amreli,2015-12-26,4080.0,19.4,25.0,clear
41,Groundnut,Rajula,2015-12-26,4020.0,2.5,25.0,clear
42,Groundnut,Savarkundla,2015-12-26,4639.0,40.0,25.0,clear
43,Mustard,Rajula,2015-12-26,3750.0,0.1,25.0,clear
44,Groundnut,Amreli,2015-12-28,4235.0,8.4,31.4,clear
45,Groundnut,Rajula,2015-12-28,4033.0,5.5,31.4,clear
46,Groundnut,Savarkundla,2015-12-28,4720.0,66.6,31.4,clear
47,Soyabean,Amreli,2015-12-28,3370.0,1.2,31.4,clear
48,Soyabean,Rajula,2015-12-28,3205.0,0.1,31.4,clear
49,Groundnut,Amreli,2015-12-29,4075.0,32.1,32.8,clear
50,Groundnut,Rajula,2015-12-29,3875.0,3.0,32.8,clear
51,Groundnut,Savarkundla,2015-12-29,4651.5,66.5,32.8,clear
52,Mustard,Amreli,2015-12-29,2955.0,0.5,32.8,clear
53,Soyabean,Amreli,2015-12-29,3200.0,0.9,32.8,clear
54,Groundnut,Amreli,2015-12-30,4190.0,18.4,33.0,clear
55,Groundnut,Rajula,2015-12-30,3525.0,6.0,33.0,clear
56,Groundnut,Savarkundla,2015-12-30,4589.0,56.0,33.0,clear
57,Groundnut,Amreli,2015-12-31,4205.0,8.6,32.0,clear
58,Groundnut,Rajula,2015-12-31,3945.0,7.1,32.0,clear
59,Soyabean,Amreli,2015-12-31,3380.0,0.3,32.0,clear
