,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Kalol,2015-12-09,4255.0,0.4,30.0,clear
1,Mustard,Mansa,2015-12-09,4255.0,0.14,30.0,clear
2,Mustard,Mansa,2015-12-08,3875.0,0.9,29.4,clear
3,Mustard,Mansa,2015-12-10,4490.0,0.15,28.0,clear
4,Mustard,Dehgam,2016-02-23,3325.0,20.0,19.0,clear
5,Mustard,Kalol,2016-02-23,3300.0,8.8,19.0,clear
6,Mustard,Mansa,2016-02-23,3625.0,0.88,19.0,clear
7,Mustard,Dehgam,2016-02-29,3232.0,10.0,35.0,clear
8,Mustard,Kalol,2016-02-29,3500.0,9.8,35.0,clear
9,Mustard,Mansa,2016-02-29,3425.0,2.36,35.0,clear
10,Mustard,Dehgam,2016-01-03,3237.0,17.0,28.0,clear
11,Mustard,Kalol,2016-01-03,3425.0,12.4,28.0,clear
12,Mustard,Mansa,2016-01-03,3400.0,3.88,28.0,clear
13,Mustard,Dehgam,2016-03-03,3290.0,16.0,35.0,clear
14,Mustard,Dehgam,2016-04-03,3217.0,10.0,37.0,clear
15,Mustard,Mansa,2016-04-03,3360.0,2.24,37.0,clear
16,Mustard,Dehgam,2016-05-03,3235.0,4.0,41.0,clear
17,Mustard,Mansa,2016-05-03,3375.0,4.62,41.0,clear
18,Mustard,Dehgam,2016-08-03,3208.0,4.0,27.0,clear
19,Mustard,Dehgam,2016-09-03,3317.0,22.0,31.0,clear
20,Mustard,Dehgam,2016-10-03,3245.0,1.0,33.0,clear
21,Mustard,Kalol,2016-10-03,1400.0,14.4,33.0,clear
22,Mustard,Dehgam,2016-11-03,3230.0,1.0,30.0,clear
23,Mustard,Mansa,2016-11-03,3450.0,1.98,30.0,clear
24,Mustard,Dehgam,2016-12-03,3302.0,25.0,28.0,clear
25,Mustard,Kalol,2016-12-03,3550.0,9.5,28.0,clear
26,Mustard,Mansa,2016-12-03,3575.0,2.72,28.0,clear
27,Mustard,Dehgam,2016-03-14,3310.0,9.0,32.0,clear
28,Mustard,Kalol,2016-03-14,3575.0,17.0,32.0,clear
29,Mustard,Dehgam,2016-03-15,3240.0,6.0,34.0,clear
30,Mustard,Kalol,2016-03-15,3500.0,8.4,34.0,clear
31,Mustard,Dehgam,2016-03-16,3607.0,36.0,35.0,clear
32,Mustard,Mansa,2016-03-16,3500.0,1.68,35.0,clear
33,Mustard,Dehgam,2016-03-17,3482.0,10.0,35.0,clear
34,Mustard,Dehgam,2016-03-18,3312.0,5.0,36.0,clear
35,Mustard,Mansa,2016-03-18,3575.0,1.16,36.0,clear
36,Mustard,Dehgam,2016-03-19,3525.0,5.0,35.4,clear
37,Mustard,Mansa,2016-03-19,3530.0,0.38,35.4,clear
38,Mustard,Dehgam,2016-02-04,3497.0,2.0,26.4,clear
39,Mustard,Kalol,2016-02-04,3560.0,0.8,26.4,clear
40,Mustard,Dehgam,2016-04-04,3495.0,2.0,35.4,clear
41,Mustard,Dehgam,2016-05-04,3460.0,13.0,38.4,clear
42,Mustard,Kalol,2016-05-04,3735.0,0.8,38.4,clear
43,Mustard,Dehgam,2016-04-19,4022.0,10.0,38.0,clear
44,Mustard,Kalol,2016-04-19,3925.0,3.6,38.0,clear
45,Mustard,Mansa,2016-04-19,3940.0,0.16,38.0,clear
46,Mustard,Dehgam,2016-04-26,3880.0,2.0,36.0,clear
47,Mustard,Kalol,2016-04-26,3855.0,2.4,36.0,clear
48,Mustard,Mansa,2016-04-26,3875.0,0.12,36.0,clear
49,Mustard,Kalol,2016-08-02,3250.0,0.4,30.0,clear
50,Mustard,Kalol,2016-02-19,3390.0,1.4,30.0,clear
51,Mustard,Mansa,2016-02-19,3700.0,1.0,30.0,clear
52,Mustard,Kalol,2016-02-20,3425.0,2.8,29.0,clear
53,Mustard,Kalol,2016-02-22,3350.0,5.6,29.4,clear
54,Mustard,Mansa,2016-02-22,3575.0,2.86,29.4,clear
55,Mustard,Kalol,2016-02-24,3375.0,7.2,32.0,clear
56,Mustard,Mansa,2016-02-24,3600.0,1.86,32.0,clear
57,Mustard,Kalol,2016-02-03,3375.0,17.6,27.0,clear
58,Mustard,Kalol,2016-06-04,3675.0,3.6,43.0,clear
59,Mustard,Kalol,2016-11-04,3850.0,2.0,31.0,clear
60,Mustard,Mansa,2016-11-04,3915.0,0.13,31.0,clear
61,Mustard,Kalol,2016-12-04,3825.0,1.6,28.0,clear
62,Mustard,Mansa,2016-12-04,3850.0,0.12,28.0,clear
