,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Behal,2017-12-04,3430.0,27.1,20.0,clear
1,Mustard,"New Grain Market , Bhiwani",2017-12-04,3700.0,332.2,20.0,clear
2,Mustard,Siwani,2017-12-04,3425.0,110.0,20.0,clear
3,Mustard,Tosham,2017-12-04,3450.0,68.0,20.0,clear
4,Mustard,Behal,2017-11-05,3300.0,4.0,26.8,clear
5,Mustard,Jui,2017-11-05,3350.0,150.0,26.8,clear
6,Mustard,Behal,2017-12-05,3275.0,2.5,20.4,clear
7,Mustard,Behal,2017-08-06,3200.0,12.0,34.0,clear
8,Mustard,Behal,2017-12-06,3160.0,25.6,21.8,clear
9,Mustard,Behal,2017-10-07,3130.0,12.0,31.8,clear
10,Mustard,Behal,2017-08-08,3200.0,10.7,29.2,clear
11,Mustard,Ch. Dadri,2017-08-08,3450.0,0.0,29.2,clear
12,Mustard,Behal,2017-10-08,3240.0,11.1,32.0,clear
13,Mustard,Behal,2017-08-16,3400.0,5.22,31.8,clear
14,Mustard,Ch. Dadri,2017-08-16,3450.0,0.0,31.8,clear
15,Mustard,Behal,2017-08-21,3305.0,10.5,31.8,clear
16,Mustard,Ch. Dadri,2017-08-21,3500.0,0.0,31.8,clear
17,Mustard,Behal,2017-09-13,3300.0,5.2,31.8,clear
18,Mustard,Behal,2017-09-14,3380.0,17.0,31.8,clear
19,Mustard,Ch. Dadri,2017-09-14,3450.0,0.0,31.8,clear
20,Mustard,Behal,2017-09-16,3290.0,7.6,28.2,clear
21,Mustard,Ch. Dadri,2017-11-08,3450.0,0.0,24.8,clear
22,Mustard,Ch. Dadri,2017-12-08,3450.0,0.0,20.8,clear
23,Mustard,Ch. Dadri,2017-08-14,3450.0,0.0,34.4,clear
24,Mustard,Ch. Dadri,2017-08-15,3400.0,0.0,31.8,clear
25,Mustard,Ch. Dadri,2017-08-19,3500.0,0.0,30.8,clear
26,Mustard,Ch. Dadri,2017-08-20,3500.0,0.0,31.6,clear
27,Mustard,Ch. Dadri,2017-08-22,3510.0,0.0,31.8,clear
28,Mustard,Ch. Dadri,2017-08-23,3500.0,0.0,29.0,clear
29,Mustard,Ch. Dadri,2017-08-24,3500.0,0.0,31.8,clear
30,Mustard,Jui,2017-08-24,3260.0,35.0,31.8,clear
31,Mustard,Ch. Dadri,2017-08-25,3500.0,0.0,30.4,clear
32,Mustard,Ch. Dadri,2017-08-26,3450.0,0.0,29.4,clear
33,Mustard,Ch. Dadri,2017-08-28,3500.0,0.0,31.8,clear
34,Mustard,Ch. Dadri,2017-08-29,3450.0,0.0,31.8,clear
35,Mustard,Ch. Dadri,2017-08-30,3450.0,0.0,31.8,clear
36,Mustard,Ch. Dadri,2017-08-31,3450.0,4.0,28.0,clear
37,Mustard,Jui,2017-09-05,3300.0,68.0,31.8,clear
38,Mustard,"New Grain Market , Bhiwani",2017-09-05,3700.0,132.4,31.8,clear
39,Mustard,Jui,2017-09-20,3325.0,218.0,31.8,clear
40,Mustard,"New Grain Market , Bhiwani",2017-08-04,3380.0,60.5,32.8,clear
41,Mustard,Siwani,2017-08-04,3460.0,128.0,32.8,clear
42,Mustard,Tosham,2017-08-04,3450.0,51.5,32.8,clear
43,Mustard,"New Grain Market , Bhiwani",2017-09-04,3420.0,70.0,31.8,clear
44,Mustard,Tosham,2017-09-04,3450.0,45.4,31.8,clear
45,Mustard,"New Grain Market , Bhiwani",2017-11-04,3700.0,414.3,28.0,clear
46,Mustard,Tosham,2017-11-04,3400.0,79.0,28.0,clear
47,Mustard,"New Grain Market , Bhiwani",2017-08-05,3700.0,162.2,35.0,clear
48,Mustard,"New Grain Market , Bhiwani",2017-09-21,3434.0,1.0,31.8,clear
49,Mustard,"New Grain Market , Bhiwani",2017-10-30,3385.0,1.4,19.0,clear
