,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Damoh,2015-12-21,3388.0,1.0,21.4,clear
1,Soyabean,Damoh,2015-12-21,3577.0,73.0,21.4,clear
2,Soyabean,Patharia,2015-12-21,3300.0,91.0,21.4,clear
3,Mustard,Javera,2015-12-14,3750.0,18.2,22.4,clear
4,Soyabean,Damoh,2015-12-14,3392.0,115.0,22.4,clear
5,Mustard,Patharia,2015-12-07,3550.0,4.0,26.8,clear
6,Soyabean,Damoh,2015-12-07,3050.0,27.0,26.8,clear
7,Soyabean,Patharia,2015-12-07,3100.0,49.0,26.8,clear
8,Mustard,Patharia,2015-12-08,3210.0,1.0,27.0,clear
9,Soyabean,Patharia,2015-12-08,3100.0,28.0,27.0,clear
10,Soyabean,Damoh,2015-12-09,3040.0,1.0,28.0,clear
11,Soyabean,Patharia,2015-12-09,2975.0,14.0,28.0,clear
12,Soyabean,Damoh,2015-12-15,3366.0,65.0,22.4,clear
13,Soyabean,Patharia,2015-12-15,3400.0,71.0,22.4,clear
14,Soyabean,Damoh,2015-12-16,3375.0,86.0,21.0,clear
15,Soyabean,Damoh,2015-12-17,3485.0,85.0,22.4,clear
16,Soyabean,Damoh,2015-12-18,3455.0,43.0,21.6,clear
17,Soyabean,Patharia,2015-12-18,3300.0,82.0,21.6,clear
18,Soyabean,Damoh,2015-12-22,3371.0,68.0,22.0,clear
19,Soyabean,Patharia,2015-12-22,3300.0,102.0,22.0,clear
20,Soyabean,Damoh,2015-12-23,3551.0,128.0,12.0,clear
21,Soyabean,Patharia,2015-12-23,3400.0,100.0,12.0,clear
22,Soyabean,Damoh,2015-12-26,3451.0,64.0,22.0,clear
23,Soyabean,Patharia,2015-12-26,3400.0,57.0,22.0,clear
24,Soyabean,Damoh,2015-12-28,3451.0,104.0,26.6,clear
25,Soyabean,Damoh,2015-12-29,3350.0,47.0,27.0,clear
26,Soyabean,Patharia,2015-12-29,3300.0,68.0,27.0,clear
27,Soyabean,Damoh,2015-12-30,5850.0,60.0,27.6,clear
28,Soyabean,Patharia,2015-12-30,3440.0,117.0,27.6,clear
29,Soyabean,Damoh,2015-12-31,3502.0,71.0,27.0,clear
30,Soyabean,Patharia,2015-12-31,3300.0,78.0,27.0,clear
31,Soyabean,Patharia,2015-12-12,3400.0,73.0,15.6,clear
32,Soyabean,Patharia,2015-12-19,3300.0,59.0,22.0,clear
33,Mustard,Damoh,2016-01-29,3499.0,1.0,28.0,clear
34,Soyabean,Damoh,2016-01-29,3330.0,99.0,28.0,clear
35,Soyabean,Patharia,2016-01-29,3340.0,90.0,28.0,clear
36,Mustard,Damoh,2016-04-02,3399.0,5.0,40.6,clear
37,Soyabean,Damoh,2016-04-02,3291.0,27.0,40.6,clear
38,Soyabean,Patharia,2016-04-02,3320.0,101.0,40.6,clear
39,Mustard,Damoh,2016-09-02,3350.0,1.0,30.6,clear
