,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Soyabean,Dewas,2015-12-14,3400.0,342.6,21.0,clear
1,Soyabean,Haatpipliya,2015-12-14,3304.0,,21.0,clear
2,Soyabean,Kannod,2015-12-14,3280.0,32.4,21.0,clear
3,Soyabean,Khategaon,2015-12-14,3000.0,,21.0,clear
4,Soyabean,Dewas,2015-12-17,3400.0,184.2,23.6,clear
5,Soyabean,Haatpipliya,2015-12-17,3450.0,11.14,23.6,clear
6,Soyabean,Kannod,2015-12-17,3225.0,52.0,23.6,clear
7,Soyabean,Khategaon,2015-12-17,3200.0,,23.6,clear
8,Soyabean,Dewas,2015-12-18,3400.0,285.8,21.6,clear
9,Soyabean,Haatpipliya,2015-12-18,3431.0,12.4,21.6,clear
10,Soyabean,Kannod,2015-12-18,3220.0,85.5,21.6,clear
11,Soyabean,Khategaon,2015-12-18,3000.0,,21.6,clear
12,Soyabean,Sonkatch,2015-12-18,3490.0,55.3,21.6,clear
13,Soyabean,Dewas,2015-12-19,3400.0,241.7,23.6,clear
14,Soyabean,Haatpipliya,2015-12-19,3500.0,10.32,23.6,clear
15,Soyabean,Khategaon,2015-12-19,3000.0,,23.6,clear
16,Soyabean,Sonkatch,2015-12-19,3450.0,35.3,23.6,clear
17,Soyabean,Dewas,2015-12-22,3300.0,231.9,21.0,clear
18,Soyabean,Haatpipliya,2015-12-22,3430.0,10.41,21.0,clear
19,Soyabean,Kannod,2015-12-22,3550.0,26.3,21.0,clear
20,Soyabean,Khategaon,2015-12-22,3252.0,,21.0,clear
21,Soyabean,Loharda,2015-12-22,3336.0,0.8,21.0,clear
22,Soyabean,Sonkatch,2015-12-22,3400.0,47.5,21.0,clear
23,Soyabean,Dewas,2015-12-23,3400.0,281.9,21.0,clear
24,Soyabean,Kannod,2015-12-23,3450.0,24.4,21.0,clear
25,Soyabean,Khategaon,2015-12-23,2875.0,,21.0,clear
26,Soyabean,Sonkatch,2015-12-23,3420.0,50.0,21.0,clear
27,Soyabean,Dewas,2015-12-28,3400.0,,28.0,clear
28,Soyabean,Haatpipliya,2015-12-28,3349.0,,28.0,clear
29,Soyabean,Kannod,2015-12-28,3420.0,26.4,28.0,clear
30,Soyabean,Khategaon,2015-12-28,3150.0,,28.0,clear
31,Soyabean,Sonkatch,2015-12-28,3500.0,65.6,28.0,clear
32,Soyabean,Dewas,2015-12-30,3400.0,204.5,30.0,clear
33,Soyabean,Haatpipliya,2015-12-30,3453.0,11.13,30.0,clear
34,Soyabean,Kannod,2015-12-30,3530.0,18.2,30.0,clear
35,Soyabean,Khategaon,2015-12-30,3450.0,114.75,30.0,clear
36,Soyabean,Sonkatch,2015-12-30,3550.0,43.5,30.0,clear
37,Soyabean,Dewas,2015-12-31,3400.0,142.8,29.0,clear
38,Soyabean,Haatpipliya,2015-12-31,3385.0,5.96,29.0,clear
39,Soyabean,Kannod,2015-12-31,3450.0,13.8,29.0,clear
40,Soyabean,Khategaon,2015-12-31,3250.0,,29.0,clear
41,Soyabean,Sonkatch,2015-12-31,3550.0,36.4,29.0,clear
42,Soyabean,Haatpipliya,2015-12-08,3040.0,1.0,27.6,clear
43,Soyabean,Kannod,2015-12-08,3410.0,3.7,27.6,clear
44,Soyabean,Khategaon,2015-12-08,3000.0,,27.6,clear
45,Soyabean,Sonkatch,2015-12-08,3050.0,4.0,27.6,clear
46,Soyabean,Haatpipliya,2015-12-12,3352.0,,22.0,clear
47,Soyabean,Loharda,2015-12-12,2225.0,0.3,22.0,clear
48,Soyabean,Haatpipliya,2015-12-16,3185.0,11.56,23.6,clear
49,Soyabean,Kannod,2015-12-16,3320.0,64.4,23.6,clear
50,Soyabean,Khategaon,2015-12-16,3140.0,,23.6,clear
51,Soyabean,Loharda,2015-12-16,3300.0,1.5,23.6,clear
52,Soyabean,Haatpipliya,2015-12-21,3650.0,9.91,22.0,clear
53,Soyabean,Kannod,2015-12-21,3325.0,16.5,22.0,clear
54,Soyabean,Khategaon,2015-12-21,3000.0,,22.0,clear
55,Soyabean,Sonkatch,2015-12-21,3600.0,73.3,22.0,clear
56,Soyabean,Haatpipliya,2015-12-26,3440.0,4.35,23.0,clear
57,Soyabean,Haatpipliya,2015-12-29,3438.0,,29.0,clear
58,Soyabean,Kannod,2015-12-29,3550.0,9.7,29.0,clear
59,Soyabean,Khategaon,2015-12-29,3152.0,,29.0,clear
60,Soyabean,Kannod,2015-12-09,3150.0,0.7,27.0,clear
61,Soyabean,Kannod,2015-12-15,3200.0,31.0,21.6,clear
62,Soyabean,Khategaon,2015-12-15,3150.0,185.0,21.6,clear
63,Mustard,Dewas,2016-04-28,3780.0,0.1,39.0,clear
64,Mustard,Sonkatch,2016-04-28,3800.0,0.6,39.0,clear
65,Soyabean,Dewas,2016-04-28,3700.0,230.5,39.0,clear
66,Soyabean,Haatpipliya,2016-04-28,3764.0,,39.0,clear
67,Soyabean,Khategaon,2016-04-28,3500.0,9.52,39.0,clear
68,Soyabean,Sonkatch,2016-04-28,3890.0,27.0,39.0,clear
69,Mustard,Dewas,2016-11-05,5921.0,0.1,28.0,clear
70,Mustard,Sonkatch,2016-11-05,3950.0,0.3,28.0,clear
71,Soyabean,Dewas,2016-11-05,3600.0,183.4,28.0,clear
72,Soyabean,Haatpipliya,2016-11-05,3751.0,11.9,28.0,clear
73,Soyabean,Kannod,2016-11-05,3550.0,6.9,28.0,clear
74,Soyabean,Khategaon,2016-11-05,3400.0,20.01,28.0,clear
75,Soyabean,Sonkatch,2016-11-05,3920.0,20.2,28.0,clear
76,Mustard,Dewas,2016-05-23,3350.0,0.1,37.4,clear
77,Soyabean,Haatpipliya,2016-05-23,3688.0,14.41,37.4,clear
78,Soyabean,Kannod,2016-05-23,3560.0,11.0,37.4,clear
79,Soyabean,Khategaon,2016-05-23,3520.0,35.69,37.4,clear
80,Mustard,Dewas,2016-08-06,3350.0,0.1,26.0,clear
81,Mustard,Sonkatch,2016-08-06,3685.0,0.1,26.0,clear
82,Soyabean,Dewas,2016-08-06,3600.0,456.8,26.0,clear
83,Soyabean,Haatpipliya,2016-08-06,3646.0,,26.0,clear
84,Soyabean,Kannod,2016-08-06,3600.0,31.1,26.0,clear
85,Soyabean,Khategaon,2016-08-06,3250.0,,26.0,clear
86,Soyabean,Sonkatch,2016-08-06,3800.0,34.0,26.0,clear
