,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Soyabean,Badnawar,2012-02-01,2411.0,500.0,21.8,clear
1,Soyabean,Dhamnod,2012-02-01,2200.0,5.0,21.8,clear
2,Soyabean,Dhar,2012-02-01,2390.0,359.5,21.8,clear
3,Soyabean,Badnawar,2012-04-01,2425.0,950.0,38.0,clear
4,Soyabean,Dhar,2012-04-01,2450.0,620.1,38.0,clear
5,Soyabean,Badnawar,2012-05-01,2380.0,970.0,38.0,clear
6,Soyabean,Dhar,2012-05-01,2390.0,602.6,38.0,clear
7,Soyabean,Badnawar,2012-07-01,2370.0,450.0,35.4,rain
8,Soyabean,Badnawar,2012-09-01,2415.0,315.0,30.0,clear
9,Soyabean,Dhamnod,2012-09-01,2100.0,5.0,30.0,clear
10,Soyabean,Badnawar,2012-10-01,2446.0,400.0,32.4,clear
11,Soyabean,Dhar,2012-10-01,2390.0,285.0,32.4,clear
12,Soyabean,Badnawar,2012-11-01,2442.0,600.0,27.8,clear
13,Soyabean,Dhamnod,2012-11-01,2200.0,5.0,27.8,clear
14,Soyabean,Dhar,2012-11-01,2390.0,520.5,27.8,clear
15,Soyabean,Badnawar,2012-12-01,2446.0,685.0,25.6,clear
16,Soyabean,Dhar,2012-12-01,2390.0,419.8,25.6,clear
17,Soyabean,Badnawar,2012-01-13,2412.0,600.0,22.4,clear
18,Soyabean,Dhar,2012-01-13,2390.0,414.8,22.4,clear
19,Soyabean,Manawar,2012-01-13,2306.0,2.0,22.4,clear
20,Soyabean,Badnawar,2012-01-14,2412.0,150.0,24.0,clear
21,Soyabean,Badnawar,2012-01-16,2425.0,250.0,27.0,clear
22,Soyabean,Dhamnod,2012-01-16,2200.0,5.0,27.0,clear
23,Soyabean,Dhar,2012-01-16,2370.0,206.6,27.0,clear
24,Soyabean,Badnawar,2012-01-17,2382.0,320.0,24.0,clear
25,Soyabean,Dhar,2012-01-17,2390.0,285.5,24.0,clear
26,Soyabean,Badnawar,2012-01-18,2358.0,300.0,21.8,clear
27,Soyabean,Dhar,2012-01-18,2350.0,371.8,21.8,clear
28,Soyabean,Badnawar,2012-01-19,2360.0,350.0,20.4,clear
29,Soyabean,Dhar,2012-01-19,2350.0,291.3,20.4,clear
30,Soyabean,Rajgarh,2012-01-19,2305.0,167.2,20.4,clear
31,Soyabean,Badnawar,2012-01-20,2385.0,250.0,19.0,clear
32,Soyabean,Dhar,2012-01-20,2390.0,269.5,19.0,clear
33,Soyabean,Manawar,2012-01-20,2000.0,6.0,19.0,clear
34,Soyabean,Rajgarh,2012-01-20,2338.0,165.3,19.0,clear
35,Soyabean,Badnawar,2012-01-21,2376.0,220.0,20.2,clear
36,Soyabean,Dhar,2012-01-21,2390.0,223.4,20.2,clear
37,Soyabean,Rajgarh,2012-01-21,2249.0,180.7,20.2,clear
38,Soyabean,Badnawar,2012-01-24,2451.0,450.0,26.4,clear
39,Soyabean,Dhar,2012-01-24,2440.0,424.4,26.4,clear
40,Soyabean,Badnawar,2012-01-25,2425.0,400.0,25.6,clear
41,Soyabean,Dhar,2012-01-25,2450.0,524.0,25.6,clear
42,Soyabean,Badnawar,2012-01-27,2452.0,400.0,25.2,clear
43,Soyabean,Dhar,2012-01-27,2420.0,192.9,25.2,clear
44,Soyabean,Badnawar,2012-01-28,2415.0,200.0,25.0,clear
45,Soyabean,Badnawar,2012-01-30,2411.0,400.0,22.0,clear
46,Soyabean,Dhar,2012-01-30,2390.0,253.3,22.0,clear
47,Soyabean,Badnawar,2012-01-31,2377.0,350.0,22.6,clear
48,Soyabean,Dhamnod,2012-01-31,2200.0,10.0,22.6,clear
49,Soyabean,Dhar,2012-01-31,2350.0,363.0,22.6,clear
50,Soyabean,Badnawar,2012-02-02,2372.0,200.0,24.0,clear
51,Soyabean,Dhar,2012-02-02,2390.0,175.8,24.0,clear
52,Soyabean,Manawar,2012-02-02,2325.0,1.0,24.0,clear
53,Soyabean,Badnawar,2012-04-02,2325.0,215.0,39.0,clear
54,Soyabean,Dhar,2012-04-02,2390.0,271.9,39.0,clear
55,Soyabean,Badnawar,2012-06-02,2381.0,200.0,37.0,clear
56,Soyabean,Dhar,2012-06-02,2390.0,263.8,37.0,clear
57,Soyabean,Badnawar,2012-08-02,2375.0,300.0,27.2,clear
58,Soyabean,Dhar,2012-08-02,2390.0,362.7,27.2,clear
59,Soyabean,Badnawar,2012-09-02,2400.0,260.0,30.0,clear
60,Soyabean,Dhar,2012-09-02,2400.0,380.7,30.0,clear
61,Soyabean,Badnawar,2012-10-02,2409.0,350.0,32.8,clear
62,Soyabean,Dhar,2012-10-02,2390.0,381.2,32.8,clear
63,Soyabean,Badnawar,2012-11-02,2405.0,420.0,29.0,clear
64,Soyabean,Dhar,2012-11-02,2390.0,350.5,29.0,clear
65,Soyabean,Badnawar,2012-02-13,2410.0,30.0,27.0,clear
66,Soyabean,Dhar,2012-02-13,2390.0,307.5,27.0,clear
67,Soyabean,Badnawar,2012-02-14,2423.0,400.0,27.0,clear
68,Soyabean,Dhar,2012-02-14,2400.0,371.2,27.0,clear
69,Soyabean,Badnawar,2012-02-15,2400.0,350.0,28.0,clear
70,Soyabean,Dhamnod,2012-02-15,2200.0,10.0,28.0,clear
71,Soyabean,Dhar,2012-02-15,2390.0,362.3,28.0,clear
72,Soyabean,Badnawar,2012-02-16,2435.0,350.0,24.6,clear
73,Soyabean,Dhar,2012-02-16,2390.0,321.8,24.6,clear
74,Soyabean,Badnawar,2012-02-17,2442.0,300.0,24.0,clear
75,Soyabean,Dhar,2012-02-17,2400.0,258.4,24.0,clear
76,Soyabean,Badnawar,2012-02-18,2462.0,400.0,27.4,clear
77,Soyabean,Dhar,2012-02-18,2400.0,215.1,27.4,clear
78,Soyabean,Badnawar,2012-02-22,2470.0,400.0,33.2,clear
79,Soyabean,Dhar,2012-02-22,2490.0,206.3,33.2,clear
80,Soyabean,Badnawar,2012-02-23,2472.0,300.0,33.2,clear
81,Soyabean,Dhar,2012-02-23,2470.0,229.4,33.2,clear
82,Soyabean,Badnawar,2012-02-24,2515.0,280.0,30.8,clear
83,Soyabean,Dhar,2012-02-24,2470.0,143.7,30.8,clear
84,Soyabean,Badnawar,2012-02-27,2443.0,280.0,32.6,clear
85,Soyabean,Dhamnod,2012-02-27,2200.0,5.0,32.6,clear
86,Soyabean,Dhar,2012-02-27,2470.0,175.5,32.6,clear
87,Soyabean,Badnawar,2012-02-28,2453.0,180.0,30.8,clear
88,Soyabean,Dhamnod,2012-02-28,2300.0,5.0,30.8,clear
89,Soyabean,Dhar,2012-02-28,2490.0,160.6,30.8,clear
90,Soyabean,Badnawar,2012-02-29,2531.0,300.0,29.4,clear
91,Soyabean,Dhamnod,2012-02-29,2325.0,13.0,29.4,clear
92,Soyabean,Dhar,2012-02-29,2500.0,186.0,29.4,clear
93,Soyabean,Badnawar,2012-01-03,2450.0,200.0,22.6,clear
94,Soyabean,Dhar,2012-01-03,2500.0,176.2,22.6,clear
95,Soyabean,Badnawar,2012-02-03,2542.0,200.0,28.6,clear
96,Soyabean,Badnawar,2012-03-03,2545.0,250.0,30.0,clear
97,Soyabean,Badnawar,2012-05-03,2568.0,180.0,39.0,clear
98,Soyabean,Dhar,2012-05-03,2550.0,145.8,39.0,clear
99,Soyabean,Badnawar,2012-06-03,2592.0,200.0,37.2,clear
100,Soyabean,Dhar,2012-06-03,2620.0,80.1,37.2,clear
101,Soyabean,Badnawar,2012-07-03,2645.0,120.0,35.4,rain
102,Soyabean,Dhamnod,2012-07-03,2400.0,2.5,35.4,rain
103,Soyabean,Dhar,2012-07-03,2620.0,55.1,35.4,rain
104,Soyabean,Badnawar,2012-09-03,2700.0,50.0,28.0,clear
105,Soyabean,Dhar,2012-09-03,2620.0,36.8,28.0,clear
106,Soyabean,Badnawar,2012-10-03,2650.0,200.0,33.0,clear
107,Soyabean,Dhar,2012-10-03,2620.0,101.7,33.0,clear
