,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Singroli,2015-12-14,3200.0,4.0,20.6,clear
1,Mustard,Singroli,2016-01-01,3350.0,6.0,25.2,clear
2,Mustard,Singroli,2016-03-21,3500.0,2.5,33.6,clear
3,Mustard,Singroli,2016-03-31,3350.0,4.0,36.4,clear
4,Mustard,Singroli,2016-01-04,3350.0,5.0,22.6,clear
5,Mustard,Singroli,2016-04-04,3350.0,5.0,39.8,clear
6,Mustard,Singroli,2016-07-04,3500.0,4.0,29.0,clear
7,Mustard,Singroli,2016-05-20,3500.0,2.0,41.2,clear
8,Mustard,Singroli,2016-01-12,3400.0,20.2,24.2,clear
9,Mustard,Singroli,2017-10-04,3350.0,4.0,31.8,clear
10,Mustard,Singroli,2017-11-05,3350.0,1.0,29.4,clear
11,Mustard,Singroli,2017-06-17,3350.0,6.0,35.0,clear
12,Mustard,Singroli,2017-06-22,3700.0,5.0,37.2,clear
13,Mustard,Singroli,2017-07-21,3700.0,5.0,26.6,clear
14,Mustard,Singroli,2017-11-09,3700.0,5.0,28.2,clear
15,Mustard,Singroli,2017-09-20,3700.0,5.0,28.4,clear
