,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Gangapur,2012-07-11,4050.0,1.0,32.0,clear
1,Mustard,Gangapur,2012-07-11,3750.0,10.0,32.0,clear
2,Soyabean,Lasur Station,2012-07-11,3224.0,1.6,32.0,clear
3,Soyabean,Vaijpur,2012-07-11,3011.0,0.6,32.0,clear
4,Mustard,Aurangabad,2012-05-01,3650.0,0.3,39.0,clear
5,Soyabean,Lasur Station,2012-05-01,2200.0,0.1,39.0,clear
6,Mustard,Aurangabad,2012-01-25,3600.0,2.0,28.8,clear
7,Mustard,Aurangabad,2012-03-16,3700.0,1.1,37.6,clear
8,Mustard,Lasur Station,2012-03-16,3700.0,0.4,37.6,clear
9,Soyabean,Lasur Station,2012-03-16,1900.0,0.3,37.6,clear
10,Mustard,Aurangabad,2012-03-24,2950.0,1.5,38.4,clear
11,Mustard,Lasur Station,2012-03-24,3800.0,0.1,38.4,clear
12,Mustard,Aurangabad,2012-03-08,4250.0,2.9,30.0,clear
13,Mustard,Lasur Station,2012-09-03,3665.0,0.7,26.4,rain
14,Soyabean,Lasur Station,2012-09-03,2550.0,0.2,26.4,rain
15,Mustard,Lasur Station,2012-10-03,3672.0,0.5,29.0,clear
16,Mustard,Lasur Station,2012-12-03,3675.0,0.3,29.2,clear
17,Soyabean,Aurangabad,2012-12-03,2550.0,4.7,29.2,clear
18,Mustard,Lasur Station,2012-03-14,3601.0,0.8,34.4,clear
19,Soyabean,Lasur Station,2012-03-14,2622.0,0.1,34.4,clear
20,Mustard,Lasur Station,2012-03-17,3750.0,0.4,37.8,clear
21,Mustard,Lasur Station,2012-03-19,3900.0,0.1,37.0,clear
22,Soyabean,Lasur Station,2012-03-19,2175.0,0.2,37.0,clear
23,Mustard,Lasur Station,2012-03-26,3851.0,0.5,38.6,clear
24,Soyabean,Lasur Station,2012-03-26,2700.0,0.2,38.6,clear
25,Mustard,Lasur Station,2012-03-28,3800.0,0.1,38.4,clear
26,Mustard,Lasur Station,2012-07-04,3900.0,0.3,29.4,clear
27,Safflower,Vaijpur,2012-07-04,2500.0,0.1,29.4,clear
28,Soyabean,Lasur Station,2012-07-04,2950.0,0.6,29.4,clear
29,Mustard,Lasur Station,2012-11-04,2925.0,0.1,31.6,clear
30,Safflower,Lasur Station,2012-11-04,3000.0,0.2,31.6,clear
31,Mustard,Lasur Station,2012-12-04,3900.0,0.1,29.6,clear
32,Soyabean,Lasur Station,2012-12-04,2900.0,0.5,29.6,clear
33,Mustard,Lasur Station,2012-04-18,3800.0,0.1,37.0,clear
34,Soyabean,Lasur Station,2012-04-18,3050.0,0.6,37.0,clear
35,Mustard,Lasur Station,2012-04-19,3900.0,0.1,38.2,clear
36,Soyabean,Lasur Station,2012-04-19,2175.0,0.2,38.2,clear
37,Mustard,Lasur Station,2012-04-20,3750.0,0.2,36.2,clear
38,Soyabean,Lasur Station,2012-04-20,3151.0,0.1,36.2,clear
39,Mustard,Lasur Station,2012-04-25,3800.0,0.2,37.0,clear
40,Mustard,Lasur Station,2012-04-27,3800.0,0.2,37.4,clear
41,Soyabean,Lasur Station,2012-04-27,3350.0,1.7,37.4,clear
42,Mustard,Lasur Station,2012-04-28,3750.0,0.1,37.6,clear
43,Mustard,Lasur Station,2012-02-05,3851.0,0.3,30.8,clear
44,Soyabean,Lasur Station,2012-02-05,3400.0,0.2,30.8,clear
45,Mustard,Lasur Station,2012-03-05,3800.0,0.1,34.4,clear
46,Mustard,Lasur Station,2012-04-05,3900.0,0.1,37.8,clear
47,Mustard,Lasur Station,2012-05-23,3900.0,0.1,39.4,clear
48,Soyabean,Lasur Station,2012-05-23,3000.0,0.1,39.4,clear
49,Mustard,Lasur Station,2012-05-24,3900.0,0.1,39.8,clear
50,Mustard,Lasur Station,2012-05-28,3925.0,0.1,39.4,clear
51,Soyabean,Lasur Station,2012-05-28,3102.0,0.3,39.4,clear
52,Mustard,Lasur Station,2012-01-06,3900.0,0.1,30.6,clear
53,Soyabean,Lasur Station,2012-01-06,2800.0,0.1,30.6,clear
54,Mustard,Lasur Station,2012-06-06,3800.0,0.7,33.8,clear
55,Mustard,Lasur Station,2012-07-06,3900.0,0.2,26.0,rain
56,Soyabean,Lasur Station,2012-07-06,2900.0,0.1,26.0,rain
57,Mustard,Lasur Station,2012-08-06,3900.0,0.1,28.0,clear
58,Mustard,Lasur Station,2012-06-13,3900.0,0.2,33.8,rain
59,Soyabean,Lasur Station,2012-06-13,2600.0,0.1,33.8,rain
60,Mustard,Lasur Station,2012-06-23,3900.0,0.1,34.6,clear
61,Soyabean,Lasur Station,2012-06-23,3700.0,0.4,34.6,clear
62,Mustard,Lasur Station,2012-06-25,3900.0,0.2,34.0,clear
63,Mustard,Lasur Station,2012-07-20,4500.0,0.1,30.2,clear
64,Soyabean,Lasur Station,2012-07-20,4651.0,0.5,30.2,clear
65,Mustard,Lasur Station,2012-09-08,4100.0,0.1,30.0,clear
66,Mustard,Lasur Station,2012-09-22,4300.0,0.1,27.8,rain
67,Safflower,Vaijpur,2012-09-22,3500.0,0.1,27.8,rain
68,Mustard,Lasur Station,2012-05-10,4350.0,0.1,37.2,rain
69,Soyabean,Lasur Station,2012-05-10,2600.0,1.1,37.2,rain
70,Mustard,Lasur Station,2012-10-10,4200.0,0.1,31.4,clear
71,Safflower,Lasur Station,2012-10-10,3500.0,0.2,31.4,clear
72,Soyabean,Lasur Station,2012-10-10,2901.0,0.4,31.4,clear
73,Mustard,Paithan,2012-02-03,3300.0,0.3,30.0,clear
74,Safflower,Aurangabad,2012-01-14,2800.0,1.2,26.4,clear
75,Soyabean,Lasur Station,2012-01-14,2370.0,0.5,26.4,clear
76,Safflower,Aurangabad,2012-02-16,3100.0,0.4,28.2,clear
77,Safflower,Aurangabad,2012-04-21,3200.0,3.6,37.4,rain
78,Safflower,Aurangabad,2012-07-18,3921.0,1.7,27.6,clear
79,Soyabean,Lasur Station,2012-07-18,4475.0,0.4,27.6,clear
80,Safflower,Aurangabad,2012-07-30,4100.0,0.7,27.0,rain
81,Safflower,Aurangabad,2012-07-08,4000.0,1.6,29.4,clear
82,Safflower,Aurangabad,2012-06-09,4000.0,1.2,34.8,rain
83,Soyabean,Lasur Station,2012-06-09,3825.0,0.1,34.8,rain
84,Safflower,Aurangabad,2012-07-09,5100.0,0.2,30.6,clear
85,Safflower,Aurangabad,2012-09-26,4100.0,2.8,30.0,clear
86,Safflower,Lasur Station,2012-06-22,2700.0,0.7,34.0,clear
87,Sunflower,Lasur Station,2012-06-22,2800.0,0.2,34.0,clear
88,Safflower,Lasur Station,2012-10-17,3700.0,0.1,31.0,clear
89,Soyabean,Aurangabad,2012-10-17,2800.0,0.4,31.0,clear
90,Soyabean,Lasur Station,2012-10-17,2900.0,10.5,31.0,clear
91,Safflower,Lasur Station,2012-10-19,3300.0,0.1,32.4,clear
92,Soyabean,Aurangabad,2012-10-19,3000.0,0.6,32.4,clear
93,Soyabean,Lasur Station,2012-10-19,3155.0,6.4,32.4,clear
94,Safflower,Sillod(Bharadi),2012-07-01,2570.0,0.1,30.4,rain
95,Soyabean,Lasur Station,2012-07-01,2392.0,1.0,30.4,rain
96,Soyabean,Sillod(Bharadi),2012-07-01,2250.0,0.2,30.4,rain
97,Sunflower,Sillod(Bharadi),2012-07-01,2500.0,0.2,30.4,rain
98,Safflower,Vaijpur,2012-05-18,3300.0,0.1,38.6,clear
99,Soyabean,Lasur Station,2012-05-18,3100.0,1.0,38.6,clear
100,Safflower,Vaijpur,2012-06-27,3500.0,0.1,34.2,clear
101,Soyabean,Lasur Station,2012-06-27,3600.0,0.1,34.2,clear
102,Safflower,Vaijpur,2012-01-11,3500.0,0.1,26.4,clear
103,Soyabean,Lasur Station,2012-01-11,3200.0,5.0,26.4,clear
104,Soyabean,Vaijpur,2012-01-11,3100.0,0.5,26.4,clear
105,Soyabean,Aurangabad,2012-03-01,2200.0,0.7,31.8,clear
106,Soyabean,Vaijpur,2012-03-01,2300.0,0.3,31.8,clear
107,Soyabean,Aurangabad,2012-06-01,2300.0,0.2,37.4,clear
108,Soyabean,Lasur Station,2012-06-01,2411.0,0.5,37.4,clear
109,Soyabean,Aurangabad,2012-11-01,2400.0,3.3,29.6,clear
110,Soyabean,Lasur Station,2012-11-01,2401.0,0.5,29.6,clear
111,Sunflower,Lasur Station,2012-11-01,2901.0,0.3,29.6,clear
112,Soyabean,Aurangabad,2012-01-13,2350.0,0.7,25.4,clear
113,Soyabean,Aurangabad,2012-03-02,2300.0,1.8,31.2,clear
