,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Thoubal,2013-03-07,4400.0,4.8,30.4,clear
1,Mustard,Thoubal,2013-01-08,4400.0,7.2,21.0,clear
2,Soyabean,Thoubal,2013-01-08,6050.0,7.2,21.0,clear
3,Mustard,Thoubal,2013-03-09,4450.0,7.2,28.2,clear
4,Soyabean,Thoubal,2013-03-09,6100.0,11.4,28.2,clear
5,Mustard,Thoubal,2013-09-10,4400.0,1.8,28.4,clear
6,Soyabean,Thoubal,2013-09-10,6375.0,9.6,28.4,clear
7,Soyabean,Thoubal,2013-10-31,6275.0,10.2,27.0,clear
8,Soyabean,Thoubal,2013-05-12,6000.0,16.2,29.4,clear
9,Mustard,Thoubal,2014-04-04,3000.0,7.2,22.0,clear
10,Soyabean,Thoubal,2014-04-04,5875.0,13.2,22.0,clear
11,Soyabean,Thoubal,2014-04-02,6000.0,18.0,30.0,clear
12,Soyabean,Thoubal,2014-06-03,6000.0,14.4,31.8,clear
13,Soyabean,Thoubal,2014-06-08,6600.0,0.0,32.0,clear
14,Soyabean,Thoubal,2014-01-09,6600.0,0.0,23.0,clear
15,Soyabean,Thoubal,2014-02-09,6600.0,0.0,23.4,clear
16,Soyabean,Thoubal,2014-03-09,6600.0,0.0,28.8,clear
17,Soyabean,Thoubal,2014-04-09,6600.0,0.0,27.4,clear
18,Soyabean,Thoubal,2014-05-09,6600.0,0.0,26.6,rain
19,Soyabean,Thoubal,2014-06-09,7100.0,0.0,31.4,clear
20,Soyabean,Thoubal,2014-01-10,6600.0,0.0,23.8,clear
21,Soyabean,Thoubal,2014-03-10,6600.0,0.0,28.4,clear
22,Soyabean,Thoubal,2014-07-10,6600.0,0.0,29.6,clear
23,Soyabean,Thoubal,2014-09-10,6100.0,0.0,30.4,clear
24,Soyabean,Thoubal,2014-10-10,6100.0,0.0,31.4,clear
25,Soyabean,Thoubal,2014-10-13,6100.0,0.0,30.4,clear
26,Soyabean,Thoubal,2014-10-14,6600.0,0.0,30.4,clear
27,Soyabean,Thoubal,2014-10-17,6100.0,0.0,30.0,clear
28,Soyabean,Thoubal,2014-10-18,6100.0,0.0,27.4,clear
29,Soyabean,Thoubal,2014-10-20,6100.0,0.0,29.6,clear
30,Soyabean,Thoubal,2014-10-21,6100.0,0.0,30.6,clear
31,Soyabean,Thoubal,2014-10-22,6100.0,0.0,30.0,clear
32,Soyabean,Thoubal,2014-10-27,6100.0,0.0,19.8,clear
33,Soyabean,Thoubal,2014-10-28,6100.0,0.0,20.2,clear
34,Soyabean,Thoubal,2014-10-29,6100.0,0.0,24.8,clear
35,Soyabean,Thoubal,2014-10-31,6100.0,0.0,29.0,clear
36,Soyabean,Thoubal,2014-03-11,6100.0,0.0,27.6,clear
37,Soyabean,Thoubal,2014-04-11,6100.0,0.0,30.6,clear
38,Soyabean,Thoubal,2014-05-11,6100.0,0.6,20.0,clear
39,Soyabean,Thoubal,2014-06-11,6100.0,0.0,26.4,clear
40,Soyabean,Thoubal,2014-01-12,6100.0,0.0,22.8,clear
41,Soyabean,Thoubal,2014-02-12,6100.0,0.0,23.4,clear
42,Soyabean,Thoubal,2014-03-12,6100.0,0.0,28.0,clear
43,Soyabean,Thoubal,2014-04-12,6100.0,0.0,32.4,clear
44,Soyabean,Thoubal,2014-05-12,6100.0,0.0,26.0,clear
45,Soyabean,Thoubal,2014-06-12,6100.0,0.0,31.2,clear
46,Soyabean,Thoubal,2014-10-12,6100.0,0.0,28.0,clear
47,Soyabean,Thoubal,2014-12-18,5100.0,0.0,24.4,clear
48,Mustard,Thoubal,2015-04-13,3200.0,0.0,29.6,clear
49,Soyabean,Thoubal,2015-04-13,5800.0,0.0,29.6,clear
50,Mustard,Thoubal,2015-04-15,3200.0,0.0,32.8,clear
51,Soyabean,Thoubal,2015-04-15,5800.0,0.0,32.8,clear
52,Mustard,Thoubal,2015-04-16,3200.0,0.0,31.4,clear
53,Soyabean,Thoubal,2015-04-16,5800.0,0.0,31.4,clear
54,Mustard,Thoubal,2015-04-17,3200.0,0.0,26.0,clear
55,Soyabean,Thoubal,2015-04-17,5800.0,0.0,26.0,clear
56,Mustard,Thoubal,2015-04-18,3200.0,0.0,28.0,rain
57,Soyabean,Thoubal,2015-04-18,6100.0,0.0,28.0,rain
58,Mustard,Thoubal,2015-04-20,3200.0,0.0,24.8,rain
59,Soyabean,Thoubal,2015-04-20,6100.0,0.0,24.8,rain
60,Mustard,Thoubal,2015-04-21,3200.0,0.0,23.2,clear
61,Soyabean,Thoubal,2015-04-21,6100.0,0.0,23.2,clear
62,Mustard,Thoubal,2015-04-22,3200.0,0.0,27.6,clear
63,Soyabean,Thoubal,2015-04-22,6100.0,0.0,27.6,clear
64,Mustard,Thoubal,2015-04-24,3200.0,0.0,26.0,clear
65,Soyabean,Thoubal,2015-04-24,6100.0,0.0,26.0,clear
66,Mustard,Thoubal,2015-04-25,3200.0,0.0,21.2,rain
67,Soyabean,Thoubal,2015-04-25,6100.0,0.0,21.2,rain
68,Mustard,Thoubal,2015-04-28,3200.0,0.0,27.4,clear
69,Soyabean,Thoubal,2015-04-28,6100.0,0.0,27.4,clear
70,Mustard,Thoubal,2015-04-30,3400.0,0.0,30.8,clear
71,Soyabean,Thoubal,2015-04-30,6100.0,0.0,30.8,clear
72,Mustard,Thoubal,2015-02-05,3400.0,0.0,24.6,clear
73,Soyabean,Thoubal,2015-02-05,5600.0,0.0,24.6,clear
74,Mustard,Thoubal,2015-04-05,3400.0,0.0,24.4,rain
75,Soyabean,Thoubal,2015-04-05,5600.0,0.0,24.4,rain
76,Mustard,Thoubal,2015-05-05,3400.0,0.0,31.2,clear
77,Soyabean,Thoubal,2015-05-05,5600.0,0.0,31.2,clear
78,Mustard,Thoubal,2015-06-05,3400.0,0.0,29.2,clear
79,Soyabean,Thoubal,2015-06-05,5600.0,0.0,29.2,clear
80,Mustard,Thoubal,2015-07-05,3400.0,0.0,31.8,clear
81,Soyabean,Thoubal,2015-07-05,5600.0,0.0,31.8,clear
82,Mustard,Thoubal,2015-05-15,3500.0,0.0,27.0,clear
83,Soyabean,Thoubal,2015-05-15,5600.0,0.0,27.0,clear
84,Mustard,Thoubal,2015-05-18,3500.0,0.0,26.8,clear
85,Soyabean,Thoubal,2015-05-18,5600.0,0.0,26.8,clear
86,Mustard,Thoubal,2015-05-19,3500.0,0.0,31.2,clear
87,Soyabean,Thoubal,2015-05-19,5600.0,0.0,31.2,clear
88,Mustard,Thoubal,2015-05-20,3500.0,0.0,33.6,clear
89,Soyabean,Thoubal,2015-05-20,5600.0,0.0,33.6,clear
90,Mustard,Thoubal,2015-05-22,3500.0,0.0,29.4,clear
91,Soyabean,Thoubal,2015-05-22,5600.0,0.0,29.4,clear
92,Mustard,Thoubal,2015-05-26,3500.0,0.3,30.8,clear
93,Soyabean,Thoubal,2015-05-26,5600.0,0.4,30.8,clear
94,Mustard,Thoubal,2015-05-27,3500.0,0.3,29.0,clear
95,Soyabean,Thoubal,2015-05-27,5600.0,0.4,29.0,clear
96,Mustard,Thoubal,2015-05-30,3500.0,0.0,31.0,clear
97,Soyabean,Thoubal,2015-05-30,5500.0,0.0,31.0,clear
98,Mustard,Thoubal,2015-01-06,3500.0,0.0,23.0,clear
99,Soyabean,Thoubal,2015-01-06,5600.0,0.0,23.0,clear
100,Mustard,Thoubal,2015-04-06,3500.0,0.0,22.6,rain
101,Soyabean,Thoubal,2015-04-06,5600.0,0.0,22.6,rain
102,Mustard,Thoubal,2015-05-06,3500.0,0.0,30.2,clear
103,Soyabean,Thoubal,2015-05-06,5600.0,0.0,30.2,clear
104,Mustard,Thoubal,2015-06-06,3500.0,0.0,31.6,clear
105,Soyabean,Thoubal,2015-06-06,5600.0,0.0,31.6,clear
106,Mustard,Thoubal,2015-08-06,3500.0,0.0,32.0,clear
107,Soyabean,Thoubal,2015-08-06,5600.0,0.0,32.0,clear
108,Mustard,Thoubal,2015-09-06,3500.0,0.0,29.2,clear
109,Soyabean,Thoubal,2015-09-06,5600.0,0.0,29.2,clear
110,Mustard,Thoubal,2015-10-06,3500.0,0.0,30.0,rain
111,Soyabean,Thoubal,2015-10-06,5600.0,0.0,30.0,rain
112,Mustard,Thoubal,2015-12-06,3500.0,0.0,21.8,clear
113,Soyabean,Thoubal,2015-12-06,5600.0,0.0,21.8,clear
114,Mustard,Thoubal,2015-06-15,3500.0,0.0,31.0,clear
115,Soyabean,Thoubal,2015-06-15,5500.0,0.0,31.0,clear
116,Mustard,Thoubal,2015-06-16,3500.0,0.0,29.4,clear
117,Soyabean,Thoubal,2015-06-16,5500.0,0.0,29.4,clear
118,Mustard,Thoubal,2015-06-17,3600.0,0.0,30.6,clear
119,Soyabean,Thoubal,2015-06-17,5600.0,0.0,30.6,clear
120,Mustard,Thoubal,2015-06-22,3500.0,0.2,31.0,clear
121,Soyabean,Thoubal,2015-06-22,5500.0,0.4,31.0,clear
