,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Safflower,Gehri,2012-03-29,1200.0,1.0,30.4,clear
1,Sunflower,Gehri,2012-08-06,2700.0,24.0,33.6,clear
2,Sunflower,Gehri,2012-11-06,2700.0,30.0,28.2,clear
3,Sunflower,Gehri,2012-12-06,2900.0,20.0,23.6,clear
4,Sunflower,Gehri,2012-06-13,2600.0,19.0,39.6,clear
5,Sunflower,Gehri,2012-06-14,2800.0,8.0,41.9,clear
6,Sunflower,Gehri,2012-06-15,2600.0,6.0,44.2,clear
7,Sunflower,Gehri,2012-06-16,2600.0,6.0,43.6,clear
8,Sunflower,Gehri,2012-06-17,2600.0,6.0,43.4,clear
9,Sunflower,Gehri,2012-06-20,2800.0,2.0,42.5,clear
10,Sunflower,Gehri,2012-06-22,2700.0,4.0,41.6,clear
11,Sunflower,Gehri,2012-06-27,2800.0,1.0,37.4,clear
12,Sunflower,Gehri,2014-08-06,2900.0,27.0,35.4,clear
13,Sunflower,Gehri,2014-10-06,2900.0,15.0,33.0,clear
14,Sunflower,Gehri,2014-06-15,2900.0,10.0,41.0,clear
15,Sunflower,Gehri,2014-06-23,2950.0,3.0,37.0,clear
