,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Mansa,2013-09-10,2985.0,6.0,35.4,clear
1,Mustard,Mansa,2013-10-10,2875.0,22.0,34.4,clear
2,Mustard,Mansa,2013-10-17,3081.0,17.0,34.6,clear
3,Mustard,Mansa,2013-10-19,3105.0,21.0,33.8,clear
4,Soyabean,Mansa,2013-10-19,3235.0,4561.0,33.8,clear
5,Mustard,Mansa,2013-10-21,2874.0,63.0,34.0,clear
6,Soyabean,Mansa,2013-10-21,3025.0,4160.0,34.0,clear
7,Mustard,Mansa,2013-10-22,3075.0,35.0,33.0,clear
8,Soyabean,Mansa,2013-10-22,2950.0,4320.0,33.0,clear
9,Mustard,Mansa,2013-10-23,3098.0,14.0,33.0,clear
10,Soyabean,Mansa,2013-10-23,3610.0,3600.0,33.0,clear
11,Mustard,Mansa,2013-10-24,2999.0,67.0,29.4,clear
12,Soyabean,Mansa,2013-10-24,3025.0,3440.0,29.4,clear
13,Mustard,Mansa,2013-10-25,3115.0,18.0,27.8,clear
14,Soyabean,Mansa,2013-10-25,3050.0,3080.0,27.8,clear
15,Mustard,Mansa,2013-10-26,3060.0,14.0,31.4,clear
16,Soyabean,Mansa,2013-10-26,3050.0,2880.0,31.4,clear
17,Mustard,Mansa,2013-10-28,3197.0,19.0,30.2,clear
18,Soyabean,Mansa,2013-10-28,3025.0,2720.0,30.2,clear
19,Mustard,Mansa,2013-10-29,3054.0,21.0,31.0,clear
20,Soyabean,Mansa,2013-10-29,3125.0,1704.0,31.0,clear
21,Mustard,Mansa,2013-10-30,3220.0,10.0,34.0,clear
22,Soyabean,Mansa,2013-10-30,3145.0,1560.0,34.0,clear
23,Mustard,Mansa,2013-06-11,3277.0,6.0,37.0,clear
24,Soyabean,Mansa,2013-06-11,3801.0,452.0,37.0,clear
25,Mustard,Mansa,2013-08-11,3250.0,32.0,34.4,clear
26,Soyabean,Mansa,2013-08-11,3755.0,2168.0,34.4,clear
27,Mustard,Mansa,2013-09-11,3264.0,39.0,37.2,clear
28,Soyabean,Mansa,2013-09-11,3654.0,3532.0,37.2,clear
29,Mustard,Mansa,2013-11-11,3150.0,33.0,25.6,clear
30,Soyabean,Mansa,2013-11-11,3550.0,2400.0,25.6,clear
31,Mustard,Mansa,2013-12-11,3150.0,33.0,25.2,clear
32,Soyabean,Mansa,2013-12-11,3550.0,2400.0,25.2,clear
33,Mustard,Mansa,2013-11-13,3234.0,28.0,26.2,clear
34,Soyabean,Mansa,2013-11-13,3500.0,295.0,26.2,clear
35,Mustard,Mansa,2013-11-14,3230.0,52.0,26.4,clear
36,Soyabean,Mansa,2013-11-14,3525.0,2224.0,26.4,clear
37,Mustard,Mansa,2013-11-16,3029.0,25.0,24.4,clear
38,Soyabean,Mansa,2013-11-16,3587.0,2292.0,24.4,clear
39,Mustard,Mansa,2013-11-18,3145.0,11.0,27.6,clear
40,Soyabean,Mansa,2013-11-18,3425.0,1641.0,27.6,clear
41,Mustard,Mansa,2013-11-19,2986.0,36.0,28.0,clear
42,Soyabean,Mansa,2013-11-19,3475.0,1780.0,28.0,clear
43,Mustard,Mansa,2013-11-20,3203.0,19.0,29.4,clear
44,Soyabean,Mansa,2013-11-20,3445.0,744.0,29.4,clear
45,Mustard,Mansa,2013-11-21,3160.0,36.0,28.2,clear
46,Soyabean,Mansa,2013-11-21,3555.0,1609.0,28.2,clear
47,Mustard,Mansa,2013-11-22,3251.0,35.0,27.6,clear
48,Soyabean,Mansa,2013-11-22,3542.0,1496.0,27.6,clear
49,Mustard,Mansa,2013-11-23,3269.0,28.0,24.6,clear
50,Soyabean,Mansa,2013-11-23,3625.0,1052.0,24.6,clear
51,Mustard,Mansa,2013-11-27,3243.0,21.0,29.2,clear
52,Soyabean,Mansa,2013-11-27,3565.0,1588.0,29.2,clear
53,Mustard,Mansa,2013-11-28,3226.0,25.0,29.4,clear
54,Soyabean,Mansa,2013-11-28,3462.0,1952.0,29.4,clear
55,Mustard,Mansa,2013-11-29,3097.0,63.0,28.6,clear
56,Soyabean,Mansa,2013-11-29,3525.0,2376.0,28.6,clear
57,Mustard,Mansa,2013-11-30,3223.0,42.0,27.4,clear
58,Soyabean,Mansa,2013-11-30,3500.0,2184.0,27.4,clear
59,Soyabean,Mansa,2013-07-11,3590.0,716.0,36.6,clear
