,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Ahmedgarh,2012-05-17,0.0,0.5,35.4,clear
1,Mustard,Ahmedgarh,2012-05-22,0.0,0.4,41.4,clear
2,Mustard,Ahmedgarh,2012-12-20,0.0,0.3,19.8,clear
3,Mustard,Dhuri,2012-04-16,3510.0,20.0,31.4,rain
4,Mustard,Dhuri,2012-04-17,3450.0,45.0,32.4,clear
5,Mustard,Dhuri,2012-04-18,3350.0,170.0,33.4,clear
6,Mustard,Ahmedgarh,2013-02-02,0.0,1.0,24.0,clear
7,Mustard,Ahmedgarh,2013-12-02,0.0,0.5,24.4,clear
8,Mustard,Ahmedgarh,2013-02-13,0.0,0.1,23.6,clear
9,Mustard,Ahmedgarh,2013-01-03,0.0,0.2,8.0,clear
10,Mustard,Ahmedgarh,2013-09-04,0.0,0.1,33.6,clear
11,Mustard,Ahmedgarh,2013-10-04,0.0,0.2,30.2,clear
12,Mustard,Ahmedgarh,2013-04-15,0.0,0.2,35.0,clear
13,Mustard,Ahmedgarh,2013-04-16,0.0,1.0,37.6,clear
14,Mustard,Ahmedgarh,2013-04-29,0.0,0.1,36.6,clear
15,Mustard,Ahmedgarh,2014-04-21,0.0,1.0,34.0,clear
16,Safflower,Dhuri,2014-03-08,2750.0,2.0,25.0,clear
