,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Bhawani Mandi(Raipur),2012-05-06,1087.0,16.5,40.0,clear
1,Mustard,Bhawani Mandi,2012-05-06,3255.0,7.5,40.0,clear
2,Mustard,Bhawani Mandi(Raipur),2012-05-06,3255.0,7.5,40.0,clear
3,Mustard,Jhalarapatan,2012-05-06,3451.0,0.7,40.0,clear
4,Soyabean,Bhawani Mandi,2012-05-06,3205.0,23.0,40.0,clear
5,Soyabean,Bhawani Mandi(Choumehla),2012-05-06,3350.0,24.7,40.0,clear
6,Soyabean,Bhawani Mandi(Raipur),2012-05-06,3205.0,23.0,40.0,clear
7,Soyabean,Jhalarapatan,2012-05-06,3331.0,7.7,40.0,clear
8,Groundnut,Jhalarapatan,2012-03-21,1200.0,12.0,29.4,clear
9,Mustard,Bhawani Mandi,2012-03-21,3300.0,146.0,29.4,clear
10,Mustard,Bhawani Mandi(Raipur),2012-03-21,3480.0,42.0,29.4,clear
11,Soyabean,Bhawani Mandi,2012-03-21,2723.0,102.3,29.4,clear
12,Soyabean,Bhawani Mandi(Choumehla),2012-03-21,2875.0,164.2,29.4,clear
13,Soyabean,Bhawani Mandi(Raipur),2012-03-21,2820.0,28.0,29.4,clear
14,Groundnut,Jhalarapatan,2012-08-16,4100.0,3.2,27.2,clear
15,Soyabean,Bhawani Mandi,2012-08-16,4343.0,10.0,27.2,clear
16,Soyabean,Jhalarapatan,2012-08-16,4400.0,15.3,27.2,clear
17,Groundnut,Jhalarapatan,2012-08-21,4121.0,2.2,29.4,clear
18,Mustard,Bhawani Mandi,2012-08-21,4000.0,0.2,29.4,clear
19,Mustard,Bhawani Mandi(Choumehla),2012-08-21,3992.0,22.0,29.4,clear
20,Soyabean,Bhawani Mandi,2012-08-21,4015.0,8.0,29.4,clear
21,Soyabean,Bhawani Mandi(Choumehla),2012-08-21,4507.0,130.3,29.4,clear
22,Soyabean,Jhalarapatan,2012-08-21,4380.0,4.5,29.4,clear
23,Mustard,Aklera,2012-03-14,3000.0,300.0,27.8,clear
24,Mustard,Bhawani Mandi,2012-03-14,3125.0,250.0,27.8,clear
25,Mustard,Bhawani Mandi(Raipur),2012-03-14,3200.0,58.7,27.8,clear
26,Soyabean,Bhawani Mandi,2012-03-14,2682.0,30.0,27.8,clear
27,Soyabean,Bhawani Mandi(Choumehla),2012-03-14,0.0,257.3,27.8,clear
28,Soyabean,Bhawani Mandi(Raipur),2012-03-14,2790.0,20.1,27.8,clear
29,Mustard,Aklera,2012-03-15,3100.0,350.0,31.2,clear
30,Mustard,Bhawani Mandi,2012-03-15,3089.0,206.5,31.2,clear
31,Mustard,Bhawani Mandi(Choumehla),2012-03-15,3175.0,45.0,31.2,clear
32,Mustard,Bhawani Mandi(Raipur),2012-03-15,3232.0,81.6,31.2,clear
33,Soyabean,Bhawani Mandi(Choumehla),2012-03-15,2760.0,121.5,31.2,clear
34,Soyabean,Bhawani Mandi(Raipur),2012-03-15,2728.0,226.0,31.2,clear
35,Mustard,Aklera,2012-03-16,3100.0,300.0,34.2,clear
36,Mustard,Bhawani Mandi,2012-03-16,3130.0,214.3,34.2,clear
37,Mustard,Bhawani Mandi(Raipur),2012-03-16,3235.0,57.6,34.2,clear
38,Soyabean,Bhawani Mandi,2012-03-16,2638.0,42.5,34.2,clear
39,Soyabean,Bhawani Mandi(Choumehla),2012-03-16,2788.0,222.2,34.2,clear
40,Soyabean,Bhawani Mandi(Raipur),2012-03-16,2745.0,14.1,34.2,clear
41,Mustard,Aklera,2012-03-17,3150.0,350.0,35.4,clear
42,Mustard,Bhawani Mandi,2012-03-17,3205.0,210.0,35.4,clear
43,Mustard,Bhawani Mandi(Choumehla),2012-03-17,3307.0,41.7,35.4,clear
44,Mustard,Bhawani Mandi(Raipur),2012-03-17,3220.0,135.2,35.4,clear
45,Soyabean,Aklera,2012-03-17,2815.0,5.0,35.4,clear
46,Soyabean,Bhawani Mandi,2012-03-17,2717.0,38.0,35.4,clear
47,Soyabean,Bhawani Mandi(Choumehla),2012-03-17,2788.0,338.2,35.4,clear
48,Soyabean,Bhawani Mandi(Raipur),2012-03-17,2644.0,11.5,35.4,clear
49,Mustard,Aklera,2012-03-19,3200.0,250.0,37.2,clear
50,Mustard,Bhawani Mandi,2012-03-19,3270.0,204.7,37.2,clear
51,Mustard,Bhawani Mandi(Raipur),2012-03-19,3372.0,74.9,37.2,clear
52,Soyabean,Aklera,2012-03-19,2840.0,5.0,37.2,clear
53,Soyabean,Bhawani Mandi,2012-03-19,2722.0,16.0,37.2,clear
54,Soyabean,Bhawani Mandi(Choumehla),2012-03-19,2830.0,263.3,37.2,clear
55,Soyabean,Bhawani Mandi(Raipur),2012-03-19,2733.0,16.0,37.2,clear
56,Mustard,Aklera,2012-02-04,3475.0,15.0,28.2,clear
57,Mustard,Bhawani Mandi,2012-02-04,3055.0,45.0,28.2,clear
58,Mustard,Jhalarapatan,2012-02-04,3532.0,7.4,28.2,clear
59,Soyabean,Aklera,2012-02-04,3025.0,1.0,28.2,clear
60,Soyabean,Bhawani Mandi,2012-02-04,2950.0,50.0,28.2,clear
61,Soyabean,Jhalarapatan,2012-02-04,2904.0,42.2,28.2,clear
62,Mustard,Aklera,2012-03-04,3450.0,30.0,35.0,clear
63,Mustard,Bhawani Mandi,2012-03-04,3055.0,46.0,35.0,clear
64,Mustard,Jhalarapatan,2012-03-04,3570.0,17.4,35.0,clear
65,Soyabean,Bhawani Mandi,2012-03-04,2950.0,26.0,35.0,clear
66,Soyabean,Jhalarapatan,2012-03-04,3020.0,15.5,35.0,clear
67,Mustard,Aklera,2012-05-04,3450.0,30.0,36.8,clear
68,Mustard,Bhawani Mandi,2012-05-04,3421.0,70.7,36.8,clear
69,Soyabean,Bhawani Mandi,2012-05-04,2915.0,134.5,36.8,clear
70,Soyabean,Bhawani Mandi(Choumehla),2012-05-04,3075.0,391.9,36.8,clear
71,Mustard,Aklera,2012-06-04,3450.0,50.0,40.4,clear
72,Mustard,Bhawani Mandi(Choumehla),2012-06-04,3460.0,23.6,40.4,clear
73,Mustard,Bhawani Mandi(Raipur),2012-06-04,3460.0,25.7,40.4,clear
74,Mustard,Jhalarapatan,2012-06-04,3500.0,15.7,40.4,clear
75,Soyabean,Bhawani Mandi,2012-06-04,3058.0,68.8,40.4,clear
76,Soyabean,Bhawani Mandi(Choumehla),2012-06-04,3025.0,238.1,40.4,clear
77,Soyabean,Bhawani Mandi(Raipur),2012-06-04,3025.0,10.3,40.4,clear
78,Soyabean,Jhalarapatan,2012-06-04,3050.0,23.9,40.4,clear
79,Mustard,Aklera,2012-07-04,3500.0,30.0,41.8,rain
80,Mustard,Bhawani Mandi,2012-07-04,3367.0,23.0,41.8,rain
81,Mustard,Jhalarapatan,2012-07-04,3495.0,14.7,41.8,rain
82,Soyabean,Aklera,2012-07-04,3050.0,3.9,41.8,rain
83,Soyabean,Bhawani Mandi,2012-07-04,2930.0,20.0,41.8,rain
84,Soyabean,Bhawani Mandi(Choumehla),2012-07-04,3051.0,375.0,41.8,rain
85,Soyabean,Bhawani Mandi(Raipur),2012-07-04,3032.0,21.4,41.8,rain
86,Soyabean,Jhalarapatan,2012-07-04,3050.0,13.7,41.8,rain
87,Mustard,Aklera,2012-09-04,3450.0,20.0,32.0,clear
88,Mustard,Bhawani Mandi,2012-09-04,3452.0,38.0,32.0,clear
89,Mustard,Bhawani Mandi(Raipur),2012-09-04,3449.0,12.1,32.0,clear
