,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Ariyalur Market,2015-12-08,5172.0,0.0,23.2,clear
1,Groundnut,Ariyalur Market,2015-12-10,4400.0,2.7,25.2,clear
2,Groundnut,Ariyalur Market,2015-12-11,2894.0,1.67,23.2,clear
3,Groundnut,Ariyalur Market,2015-12-14,4158.0,6.62,26.2,clear
4,Groundnut,Ariyalur Market,2015-12-15,3382.0,4.43,25.6,clear
5,Groundnut,Ariyalur Market,2015-12-16,3400.0,1.74,25.2,clear
6,Groundnut,Ariyalur Market,2015-12-17,3900.0,2.74,25.2,clear
7,Groundnut,Ariyalur Market,2015-12-18,3376.0,1.33,25.6,clear
8,Groundnut,Ariyalur Market,2015-12-21,3974.0,3.51,25.6,clear
9,Groundnut,Ariyalur Market,2015-12-28,4390.0,1.82,24.6,clear
10,Groundnut,Ariyalur Market,2016-12-01,3974.0,0.0,25.2,clear
11,Groundnut,Ariyalur Market,2016-01-13,3638.0,0.0,28.6,clear
12,Groundnut,Ariyalur Market,2016-02-15,3270.0,0.0,31.8,clear
13,Groundnut,Ariyalur Market,2016-02-03,2602.0,168.0,31.0,clear
14,Groundnut,Ariyalur Market,2016-04-03,3380.0,132.0,33.8,clear
15,Groundnut,Ariyalur Market,2016-03-21,4572.0,0.0,33.8,clear
16,Groundnut,Ariyalur Market,2016-03-23,2952.0,0.0,30.4,clear
17,Groundnut,Ariyalur Market,2016-03-24,4664.0,0.0,33.2,clear
18,Groundnut,Ariyalur Market,2016-03-28,4138.0,0.0,32.6,clear
19,Groundnut,Ariyalur Market,2016-03-30,8518.0,1.03,33.2,clear
20,Groundnut,Ariyalur Market,2016-03-31,4568.0,1.15,29.2,clear
21,Groundnut,Ariyalur Market,2016-04-04,4792.0,3.26,34.0,clear
22,Groundnut,Ariyalur Market,2016-06-04,4878.0,1.45,30.6,clear
23,Groundnut,Ariyalur Market,2016-07-04,4938.0,6.48,34.8,clear
24,Groundnut,Ariyalur Market,2016-11-04,5222.0,9.75,30.6,clear
25,Groundnut,Ariyalur Market,2016-04-15,4912.0,5.39,34.0,clear
26,Groundnut,Ariyalur Market,2016-04-18,4800.0,6.28,33.8,clear
27,Groundnut,Ariyalur Market,2016-04-20,4800.0,11.63,34.0,clear
28,Groundnut,Ariyalur Market,2016-04-21,4872.0,3.55,34.2,clear
29,Groundnut,Ariyalur Market,2016-04-22,4846.0,2.99,34.4,clear
30,Groundnut,Ariyalur Market,2016-04-25,4990.0,11.65,34.0,clear
31,Groundnut,Ariyalur Market,2016-04-26,5006.0,1.76,33.8,clear
32,Groundnut,Ariyalur Market,2016-04-27,5098.0,4.06,33.8,clear
33,Groundnut,Ariyalur Market,2016-04-28,5098.0,0.0,35.2,clear
34,Groundnut,Ariyalur Market,2016-04-29,5138.0,0.0,35.0,clear
35,Groundnut,Ariyalur Market,2016-02-05,5238.0,4.77,24.2,clear
36,Sunflower,Ariyalur Market,2016-02-05,3276.0,0.0,24.2,clear
37,Groundnut,Ariyalur Market,2016-03-05,5378.0,1.77,26.4,clear
38,Groundnut,Ariyalur Market,2016-05-05,5502.0,0.0,34.2,clear
39,Sunflower,Ariyalur Market,2016-05-05,3126.0,1.23,34.2,clear
40,Groundnut,Ariyalur Market,2016-09-05,5278.0,2.24,32.8,clear
41,Sunflower,Ariyalur Market,2016-09-05,3269.0,0.0,32.8,clear
42,Groundnut,Ariyalur Market,2016-05-18,5498.0,0.0,31.2,clear
43,Groundnut,Ariyalur Market,2016-05-20,5460.0,0.0,30.2,clear
44,Groundnut,Ariyalur Market,2016-05-23,5612.0,2.41,35.2,clear
45,Groundnut,Ariyalur Market,2016-05-27,2769.0,0.0,31.6,clear
46,Groundnut,Ariyalur Market,2016-05-30,5652.0,6.71,33.8,clear
47,Sunflower,Ariyalur Market,2016-05-30,3166.0,1.22,33.8,clear
48,Groundnut,Ariyalur Market,2016-01-06,5652.0,2.76,24.4,clear
49,Sunflower,Ariyalur Market,2016-01-06,3166.0,1.22,24.4,clear
50,Groundnut,Ariyalur Market,2016-06-06,5738.0,24.12,29.0,clear
51,Sunflower,Ariyalur Market,2016-06-06,3321.0,0.74,29.0,clear
52,Groundnut,Ariyalur Market,2016-06-13,5338.0,1.27,34.8,clear
53,Groundnut,Ariyalur Market,2016-06-22,3470.0,0.0,32.4,clear
54,Groundnut,Ariyalur Market,2016-06-27,5732.0,1.17,33.0,clear
55,Groundnut,Ariyalur Market,2016-06-29,5400.0,9.25,31.8,clear
56,Groundnut,Ariyalur Market,2016-01-07,5786.0,0.64,23.4,clear
57,Groundnut,Ariyalur Market,2016-06-07,5200.0,0.0,31.2,clear
58,Groundnut,Ariyalur Market,2016-08-07,5200.0,0.0,35.0,clear
59,Groundnut,Ariyalur Market,2016-11-07,5674.0,0.0,29.0,clear
60,Sunflower,Ariyalur Market,2016-11-07,3260.0,0.0,29.0,clear
61,Groundnut,Ariyalur Market,2016-07-21,5732.0,0.0,32.6,clear
62,Groundnut,Ariyalur Market,2016-07-25,5612.0,0.0,32.8,clear
63,Groundnut,Ariyalur Market,2016-07-27,5682.0,0.0,32.6,clear
64,Groundnut,Ariyalur Market,2016-03-08,5190.0,0.0,31.8,clear
65,Groundnut,Ariyalur Market,2016-04-08,5162.0,0.0,33.4,clear
66,Sunflower,Ariyalur Market,2016-04-08,3241.0,1.15,33.4,clear
67,Groundnut,Ariyalur Market,2016-08-08,5332.0,0.0,34.8,clear
68,Groundnut,Ariyalur Market,2016-11-08,5400.0,0.0,29.6,clear
69,Sunflower,Ariyalur Market,2016-11-08,3151.0,0.0,29.6,clear
70,Groundnut,Ariyalur Market,2016-08-16,5006.0,0.0,35.0,clear
71,Groundnut,Ariyalur Market,2016-08-19,3942.0,0.0,36.0,clear
72,Groundnut,Ariyalur Market,2016-01-09,5202.0,0.0,23.6,clear
73,Groundnut,Ariyalur Market,2016-07-09,4800.0,1.73,33.8,clear
74,Groundnut,Ariyalur Market,2016-08-09,4762.0,7.44,34.8,clear
75,Groundnut,Ariyalur Market,2016-12-09,4778.0,4.73,29.0,clear
76,Groundnut,Ariyalur Market,2016-09-14,4912.0,0.0,31.8,clear
77,Sunflower,Ariyalur Market,2016-09-14,3209.0,1.48,31.8,clear
78,Groundnut,Ariyalur Market,2016-09-15,4772.0,2.07,33.0,clear
79,Groundnut,Ariyalur Market,2016-09-19,4886.0,,32.8,clear
80,Sunflower,Ariyalur Market,2016-09-19,3266.0,0.0,32.8,clear
81,Groundnut,Ariyalur Market,2016-09-20,4338.0,0.0,32.6,clear
82,Sunflower,Ariyalur Market,2016-09-20,2875.0,0.0,32.6,clear
83,Groundnut,Ariyalur Market,2016-09-21,4400.0,1.12,32.4,clear
84,Groundnut,Ariyalur Market,2016-09-22,4734.0,1.39,28.4,clear
85,Groundnut,Ariyalur Market,2016-09-23,4658.0,1.13,34.8,clear
86,Groundnut,Ariyalur Market,2016-09-26,4800.0,5.41,32.2,clear
87,Groundnut,Ariyalur Market,2016-09-27,4832.0,0.0,33.0,clear
88,Groundnut,Ariyalur Market,2016-09-28,4938.0,0.0,32.0,clear
89,Groundnut,Ariyalur Market,2016-09-29,4800.0,3.92,32.4,clear
90,Sunflower,Ariyalur Market,2016-09-29,3237.0,0.0,32.4,clear
91,Groundnut,Ariyalur Market,2016-03-10,4900.0,0.0,32.8,clear
92,Sunflower,Ariyalur Market,2016-03-10,3286.0,0.0,32.8,clear
93,Groundnut,Ariyalur Market,2016-05-10,4800.0,3.47,33.8,clear
94,Groundnut,Ariyalur Market,2016-06-10,4800.0,4.59,34.8,clear
95,Groundnut,Ariyalur Market,2016-10-13,4814.0,2.88,31.6,clear
96,Groundnut,Ariyalur Market,2016-10-14,4866.0,2.34,31.2,clear
97,Groundnut,Ariyalur Market,2016-10-17,4800.0,4.85,31.6,clear
98,Sunflower,Ariyalur Market,2016-10-17,3250.0,0.0,31.6,clear
99,Groundnut,Ariyalur Market,2016-10-18,4890.0,1.48,31.8,clear
100,Groundnut,Ariyalur Market,2016-10-19,4698.0,0.0,31.6,clear
101,Groundnut,Ariyalur Market,2016-10-20,4800.0,2.16,31.4,clear
102,Groundnut,Ariyalur Market,2016-10-21,4538.0,0.0,27.4,clear
103,Groundnut,Ariyalur Market,2016-10-24,4712.0,2.86,31.0,clear
104,Groundnut,Ariyalur Market,2016-10-25,4644.0,0.0,31.0,clear
105,Groundnut,Ariyalur Market,2016-10-26,4246.0,0.0,31.0,clear
106,Groundnut,Ariyalur Market,2016-10-27,4544.0,2.14,31.2,clear
107,Sunflower,Ariyalur Market,2016-10-27,2800.0,0.0,31.2,clear
108,Groundnut,Ariyalur Market,2016-10-28,4266.0,1.16,31.6,clear
109,Groundnut,Ariyalur Market,2016-10-31,4350.0,0.0,26.2,clear
110,Groundnut,Ariyalur Market,2016-02-11,4738.0,0.0,31.8,clear
111,Groundnut,Ariyalur Market,2016-03-11,4662.0,0.0,33.2,clear
