,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Soyabean,Bhainsa,2015-12-10,3850.0,0.0,30.6,clear
1,Sunflower,Adilabad(Rythu Bazar),2015-12-07,7600.0,19.8,31.0,clear
2,Groundnut,Adilabad,2016-04-21,4650.0,4.8,44.2,clear
3,Groundnut,Adilabad,2016-04-22,4700.0,2.7,44.6,clear
4,Groundnut,Adilabad,2016-04-23,4720.0,1.3,42.0,clear
5,Groundnut,Adilabad,2016-04-24,4500.0,4.0,42.2,clear
6,Groundnut,Adilabad,2016-04-25,4720.0,1.3,43.6,clear
7,Groundnut,Adilabad,2016-04-26,4800.0,7.0,41.2,clear
8,Groundnut,Adilabad,2016-04-27,4750.0,2.7,40.0,clear
9,Groundnut,Adilabad,2016-04-28,4750.0,0.0,41.2,clear
10,Groundnut,Adilabad,2016-04-30,4510.0,4.3,39.6,clear
11,Groundnut,Adilabad,2016-01-05,4600.0,0.0,31.2,clear
12,Groundnut,Adilabad,2016-02-05,4600.0,4.5,33.2,clear
13,Groundnut,Adilabad,2016-03-05,5150.0,3.4,35.0,clear
14,Groundnut,Adilabad,2016-04-05,5300.0,3.3,34.0,clear
15,Groundnut,Adilabad,2016-05-05,5200.0,4.2,39.2,clear
16,Groundnut,Adilabad,2016-06-05,5300.0,5.0,38.2,clear
17,Groundnut,Adilabad,2016-09-05,5200.0,7.7,31.6,clear
18,Groundnut,Adilabad,2016-12-05,4900.0,19.8,28.4,clear
19,Groundnut,Adilabad,2016-05-16,4800.0,9.1,44.0,clear
20,Groundnut,Adilabad,2016-05-17,4900.0,17.8,42.0,clear
21,Groundnut,Adilabad,2016-05-18,4800.0,33.8,41.0,clear
22,Groundnut,Adilabad,2016-05-19,4800.0,5.7,39.2,clear
23,Groundnut,Adilabad,2016-05-20,4800.0,3.4,44.0,clear
24,Groundnut,Adilabad,2016-05-21,5200.0,3.2,44.8,clear
25,Groundnut,Adilabad,2016-05-23,5200.0,2.8,43.0,clear
26,Groundnut,Adilabad,2016-05-24,5100.0,2.0,37.0,clear
27,Groundnut,Adilabad,2016-05-30,5000.0,1.0,41.2,clear
28,Groundnut,Adilabad,2016-01-06,5100.0,0.6,31.4,clear
29,Groundnut,Adilabad,2016-02-06,5100.0,0.0,31.2,clear
30,Groundnut,Adilabad,2016-03-06,5300.0,0.9,36.8,clear
31,Groundnut,Adilabad,2016-07-06,5200.0,0.4,30.8,clear
32,Groundnut,Adilabad,2016-08-06,5000.0,0.0,28.6,clear
33,Groundnut,Adilabad,2016-09-06,5190.0,0.0,31.2,clear
34,Groundnut,Adilabad,2016-10-06,5100.0,0.0,32.0,clear
35,Groundnut,Adilabad,2016-11-06,5000.0,0.0,30.2,clear
36,Groundnut,Adilabad,2016-06-13,5200.0,0.0,39.8,clear
37,Groundnut,Adilabad,2016-06-14,5200.0,0.0,40.6,clear
38,Groundnut,Adilabad,2016-06-15,5000.0,0.0,40.8,clear
39,Groundnut,Adilabad,2016-06-16,5000.0,0.0,41.0,clear
40,Groundnut,Adilabad,2016-06-17,5100.0,0.0,34.8,clear
41,Groundnut,Adilabad,2016-06-18,5100.0,0.0,30.0,clear
42,Groundnut,Adilabad,2016-06-20,5100.0,0.0,35.0,clear
43,Groundnut,Adilabad,2016-06-23,5100.0,0.0,31.0,clear
44,Groundnut,Adilabad,2016-06-24,5200.0,0.0,30.2,clear
45,Groundnut,Adilabad,2016-06-25,5200.0,0.0,37.2,clear
46,Groundnut,Adilabad,2016-06-27,5250.0,0.0,34.8,clear
47,Groundnut,Adilabad,2016-06-28,5000.0,0.0,27.2,clear
48,Groundnut,Adilabad,2016-02-07,5200.0,0.0,33.4,clear
49,Groundnut,Adilabad,2016-05-07,5200.0,0.0,38.8,clear
50,Groundnut,Adilabad,2016-06-07,5300.0,0.0,40.2,clear
51,Safflower,Adilabad(Rythu Bazar),2016-03-02,8100.0,0.25,33.4,clear
52,Soyabean,Adilabad,2016-10-24,2750.0,0.0,32.2,clear
53,Soyabean,Adilabad,2016-10-25,2500.0,102.0,31.0,clear
54,Soyabean,Adilabad,2016-10-26,2500.0,96.6,31.2,clear
55,Soyabean,Bhainsa,2016-10-26,2500.0,80.0,31.2,clear
56,Soyabean,Adilabad,2016-10-27,2400.0,112.4,31.2,clear
