,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Bowenpally,2012-01-18,3200.0,1.5,31.6,clear
1,Groundnut,Bowenpally,2012-05-02,2200.0,4.5,41.6,clear
2,Groundnut,Bowenpally,2012-08-02,2400.0,1.0,29.0,clear
3,Groundnut,Bowenpally,2012-11-02,2800.0,2.3,23.2,clear
4,Groundnut,Bowenpally,2012-12-02,1200.0,4.1,29.0,clear
5,Groundnut,Bowenpally,2012-02-14,3000.0,2.3,34.4,clear
6,Groundnut,Bowenpally,2012-02-15,2000.0,3.0,33.2,clear
7,Groundnut,Bowenpally,2012-02-16,2000.0,5.3,34.4,clear
8,Groundnut,Bowenpally,2012-02-17,3000.0,3.5,31.6,clear
9,Groundnut,Bowenpally,2012-02-18,3000.0,3.0,31.2,clear
10,Groundnut,Bowenpally,2012-02-19,1200.0,3.0,34.0,clear
11,Groundnut,Bowenpally,2012-02-22,1800.0,0.2,34.6,clear
12,Groundnut,Bowenpally,2012-02-23,1500.0,2.8,35.2,clear
13,Groundnut,Bowenpally,2012-02-24,2000.0,3.7,35.2,clear
14,Groundnut,Bowenpally,2012-02-25,2500.0,2.2,35.0,clear
15,Groundnut,Bowenpally,2012-02-26,3000.0,1.5,35.0,clear
16,Groundnut,Bowenpally,2012-02-27,3000.0,1.7,35.8,clear
17,Groundnut,Bowenpally,2012-01-03,2200.0,0.6,30.6,clear
18,Groundnut,Bowenpally,2012-02-03,2000.0,1.3,26.8,clear
19,Groundnut,Bowenpally,2012-03-03,1600.0,2.5,35.0,clear
20,Groundnut,Bowenpally,2012-04-03,2000.0,2.9,37.8,clear
21,Groundnut,Bowenpally,2012-05-03,1600.0,4.5,40.6,clear
22,Groundnut,Bowenpally,2012-06-03,2500.0,1.8,39.6,clear
23,Groundnut,Bowenpally,2012-07-03,3000.0,2.5,29.4,clear
24,Groundnut,Bowenpally,2012-08-03,2500.0,1.5,27.0,rain
25,Groundnut,Bowenpally,2012-09-03,3000.0,2.1,26.0,clear
26,Groundnut,Bowenpally,2012-10-03,3000.0,1.5,28.0,rain
27,Groundnut,Bowenpally,2012-11-03,3000.0,2.0,27.4,clear
28,Groundnut,Bowenpally,2012-12-03,2000.0,2.9,29.4,clear
29,Groundnut,Bowenpally,2012-03-13,2500.0,1.6,34.6,clear
30,Groundnut,Bowenpally,2012-03-14,2200.0,0.5,35.6,clear
31,Groundnut,Bowenpally,2012-03-15,2000.0,0.5,36.6,clear
32,Groundnut,Bowenpally,2012-03-16,2000.0,2.0,36.4,clear
33,Groundnut,Bowenpally,2012-03-17,3000.0,1.5,37.8,clear
34,Groundnut,Bowenpally,2012-03-18,2500.0,3.1,37.6,clear
35,Groundnut,Bowenpally,2012-03-19,1500.0,3.5,38.8,clear
36,Groundnut,Bowenpally,2012-03-20,2200.0,0.5,39.4,clear
37,Groundnut,Bowenpally,2012-03-22,2500.0,0.7,38.0,clear
38,Groundnut,Bowenpally,2012-03-24,3000.0,0.5,37.6,clear
39,Groundnut,Bowenpally,2012-03-25,2500.0,1.5,37.8,clear
40,Groundnut,Bowenpally,2012-03-26,1500.0,1.4,37.0,clear
41,Groundnut,Bowenpally,2012-03-27,1600.0,0.9,37.4,clear
42,Groundnut,Bowenpally,2012-03-28,1800.0,2.0,35.5,clear
43,Groundnut,Bowenpally,2012-03-29,2500.0,1.8,38.4,clear
44,Groundnut,Bowenpally,2012-03-30,2000.0,2.5,39.2,clear
45,Groundnut,Bowenpally,2012-03-31,1600.0,1.1,36.4,clear
46,Groundnut,Bowenpally,2012-01-04,4000.0,2.5,32.0,clear
47,Groundnut,Bowenpally,2012-02-04,1600.0,3.0,29.1,clear
48,Groundnut,Bowenpally,2012-03-04,1500.0,0.3,36.2,clear
49,Groundnut,Bowenpally,2012-04-04,1500.0,2.0,38.8,rain
50,Groundnut,Bowenpally,2012-05-04,3500.0,1.5,40.6,clear
51,Groundnut,Bowenpally,2012-06-04,2000.0,2.3,40.0,clear
52,Groundnut,Bowenpally,2012-07-04,1800.0,2.5,31.0,clear
53,Groundnut,Bowenpally,2012-08-04,1800.0,2.6,27.0,clear
54,Groundnut,Bowenpally,2012-09-04,1600.0,2.3,27.8,clear
55,Groundnut,Bowenpally,2012-10-04,2000.0,1.0,28.8,clear
56,Groundnut,Bowenpally,2012-11-04,2000.0,2.3,29.6,clear
57,Groundnut,Bowenpally,2012-12-04,2000.0,1.5,28.6,clear
58,Groundnut,Bowenpally,2012-04-14,1800.0,1.5,37.4,clear
59,Groundnut,Bowenpally,2012-04-15,2000.0,0.5,36.2,clear
60,Groundnut,Bowenpally,2012-04-16,2000.0,1.5,38.2,rain
61,Groundnut,Bowenpally,2012-04-17,1800.0,0.9,38.6,clear
62,Groundnut,Bowenpally,2012-04-18,1800.0,1.5,38.0,clear
63,Groundnut,Bowenpally,2012-04-19,1800.0,3.3,38.4,clear
64,Groundnut,Bowenpally,2012-04-20,1500.0,2.2,39.6,clear
65,Groundnut,Bowenpally,2012-04-22,4000.0,3.5,39.2,clear
66,Groundnut,Bowenpally,2012-04-23,1800.0,4.6,32.8,clear
67,Groundnut,Bowenpally,2012-04-24,1500.0,3.4,37.8,clear
68,Groundnut,Bowenpally,2012-04-25,2000.0,3.5,37.8,clear
69,Groundnut,Bowenpally,2012-04-26,1800.0,1.0,35.4,clear
70,Groundnut,Bowenpally,2012-04-27,2000.0,2.2,37.0,clear
71,Groundnut,Bowenpally,2012-04-28,3500.0,1.5,35.8,clear
72,Groundnut,Bowenpally,2012-04-29,2000.0,2.5,38.6,clear
73,Groundnut,Bowenpally,2012-04-30,1500.0,0.6,39.2,clear
74,Groundnut,Bowenpally,2012-02-05,1400.0,2.8,29.4,clear
75,Groundnut,Bowenpally,2012-03-05,1000.0,1.1,35.4,clear
76,Groundnut,Bowenpally,2012-04-05,1300.0,1.3,39.2,clear
77,Groundnut,Bowenpally,2012-05-05,1600.0,3.1,40.0,clear
78,Groundnut,Bowenpally,2012-06-05,1600.0,0.8,39.0,clear
79,Groundnut,Bowenpally,2012-07-05,1600.0,2.1,32.0,clear
80,Groundnut,Bowenpally,2012-08-05,1600.0,3.8,27.8,clear
81,Groundnut,Bowenpally,2012-09-05,1500.0,1.6,29.0,clear
82,Groundnut,Bowenpally,2012-10-05,1200.0,1.8,30.4,clear
83,Groundnut,Bowenpally,2012-11-05,1200.0,2.9,30.0,clear
84,Groundnut,Bowenpally,2012-12-05,1200.0,2.7,27.8,clear
85,Groundnut,Bowenpally,2012-05-14,1600.0,5.4,39.2,clear
86,Groundnut,Bowenpally,2012-05-15,1600.0,3.0,40.8,clear
87,Groundnut,Bowenpally,2012-05-16,1200.0,2.5,40.4,clear
88,Groundnut,Bowenpally,2012-05-17,1500.0,1.8,41.8,clear
89,Groundnut,Bowenpally,2012-05-18,1600.0,3.6,42.4,clear
90,Groundnut,Bowenpally,2012-05-19,1600.0,1.9,41.8,clear
91,Groundnut,Bowenpally,2012-04-06,3000.0,0.3,37.4,clear
92,Groundnut,Bowenpally,2012-05-06,2000.0,0.6,40.0,clear
93,Groundnut,Bowenpally,2012-06-06,4000.0,1.0,37.0,clear
94,Groundnut,Bowenpally,2012-07-06,1800.0,2.3,30.4,clear
95,Groundnut,Bowenpally,2012-08-06,1500.0,1.3,29.4,clear
96,Groundnut,Bowenpally,2012-09-06,1300.0,0.1,30.2,clear
97,Groundnut,Bowenpally,2012-11-06,1800.0,0.2,31.0,clear
98,Groundnut,Bowenpally,2012-06-14,2000.0,0.2,38.0,clear
99,Groundnut,Bowenpally,2012-06-16,1200.0,0.1,32.6,clear
100,Groundnut,Bowenpally,2012-06-17,1200.0,1.2,30.8,rain
101,Groundnut,Bowenpally,2012-06-26,2000.0,0.3,30.6,rain
102,Groundnut,Bowenpally,2012-06-29,2000.0,0.2,32.2,rain
103,Groundnut,Bowenpally,2012-08-07,2500.0,0.5,31.4,clear
104,Groundnut,Bowenpally,2012-09-07,2800.0,0.4,31.6,clear
105,Groundnut,Bowenpally,2012-10-07,2500.0,0.7,31.6,clear
106,Groundnut,Bowenpally,2012-11-07,2800.0,0.4,29.6,clear
107,Groundnut,Bowenpally,2012-12-07,3100.0,0.4,32.4,clear
108,Groundnut,Bowenpally,2012-07-13,2500.0,1.8,31.8,clear
109,Groundnut,Bowenpally,2012-07-14,2500.0,1.6,29.4,clear
110,Groundnut,Bowenpally,2012-07-15,2500.0,1.2,28.4,rain
111,Groundnut,Bowenpally,2012-07-16,2000.0,1.3,27.4,clear
112,Groundnut,Bowenpally,2012-07-17,2500.0,1.5,31.6,rain
113,Groundnut,Bowenpally,2012-07-20,2000.0,3.0,27.0,clear
114,Groundnut,Bowenpally,2012-07-21,3000.0,0.9,25.4,clear
115,Groundnut,Bowenpally,2012-07-22,2500.0,1.0,28.4,clear
116,Groundnut,Bowenpally,2012-07-23,3000.0,2.0,30.7,clear
117,Groundnut,Bowenpally,2012-07-24,2500.0,1.0,30.2,clear
118,Groundnut,Bowenpally,2012-07-25,2000.0,0.5,28.8,rain
119,Groundnut,Bowenpally,2012-07-26,3500.0,1.5,28.0,clear
120,Groundnut,Bowenpally,2012-07-27,3500.0,2.3,28.4,clear
121,Groundnut,Bowenpally,2012-07-28,3000.0,2.5,30.4,rain
122,Groundnut,Bowenpally,2012-07-29,2500.0,2.0,29.0,rain
123,Groundnut,Bowenpally,2012-07-30,2200.0,3.0,28.6,clear
124,Groundnut,Bowenpally,2012-07-31,3000.0,3.5,28.2,clear
125,Groundnut,Bowenpally,2012-01-08,3000.0,2.0,32.8,clear
126,Groundnut,Bowenpally,2012-02-08,3000.0,0.5,33.4,clear
127,Groundnut,Bowenpally,2012-03-08,3000.0,2.5,35.4,clear
128,Groundnut,Bowenpally,2012-04-08,2500.0,2.2,37.0,clear
129,Groundnut,Bowenpally,2012-05-08,3000.0,2.5,38.6,rain
130,Groundnut,Bowenpally,2012-06-08,2000.0,0.5,37.8,clear
131,Groundnut,Bowenpally,2012-07-08,2500.0,2.0,32.0,clear
132,Groundnut,Bowenpally,2012-08-08,3000.0,2.5,31.8,clear
133,Groundnut,Bowenpally,2012-09-08,3000.0,2.8,31.0,clear
134,Groundnut,Bowenpally,2012-10-08,2500.0,1.7,31.4,clear
135,Groundnut,Bowenpally,2012-11-08,3000.0,2.4,29.8,clear
136,Groundnut,Bowenpally,2012-12-08,3000.0,1.5,32.0,clear
137,Groundnut,Bowenpally,2012-08-13,3000.0,1.0,30.8,clear
138,Groundnut,Bowenpally,2012-08-16,2000.0,0.4,29.8,clear
139,Groundnut,Bowenpally,2012-08-19,2500.0,0.5,28.0,clear
140,Groundnut,Bowenpally,2012-08-21,4000.0,0.5,29.4,clear
141,Groundnut,Bowenpally,2012-08-22,2500.0,1.3,31.4,clear
142,Groundnut,Bowenpally,2012-08-24,2000.0,1.0,28.8,clear
143,Groundnut,Bowenpally,2012-08-25,3000.0,0.5,30.2,clear
144,Groundnut,Bowenpally,2012-08-26,3000.0,0.5,26.6,clear
145,Groundnut,Bowenpally,2012-08-28,3000.0,0.5,29.0,rain
146,Groundnut,Bowenpally,2012-08-29,3000.0,0.6,30.2,clear
147,Groundnut,Bowenpally,2012-08-31,2500.0,0.3,28.0,clear
148,Groundnut,Bowenpally,2012-01-09,2600.0,1.0,32.2,clear
149,Groundnut,Bowenpally,2012-02-09,3000.0,1.5,29.8,clear
150,Groundnut,Bowenpally,2012-03-09,2500.0,1.5,32.0,clear
151,Groundnut,Bowenpally,2012-04-09,2200.0,1.5,39.0,rain
152,Groundnut,Bowenpally,2012-06-09,1800.0,1.6,38.0,clear
153,Groundnut,Bowenpally,2012-08-09,2500.0,2.6,30.6,clear
154,Groundnut,Bowenpally,2012-09-09,3000.0,3.9,29.4,clear
155,Groundnut,Bowenpally,2012-10-09,2500.0,1.0,32.0,clear
156,Groundnut,Bowenpally,2012-11-09,2500.0,4.0,26.2,clear
157,Groundnut,Bowenpally,2012-12-09,3000.0,0.5,32.4,clear
158,Groundnut,Bowenpally,2012-09-13,2500.0,1.0,30.0,clear
159,Groundnut,Bowenpally,2012-09-14,2500.0,2.0,31.2,clear
160,Groundnut,Bowenpally,2012-09-15,2500.0,3.5,29.4,clear
161,Groundnut,Bowenpally,2012-09-17,2500.0,4.3,29.2,clear
162,Groundnut,Bowenpally,2012-09-18,1800.0,0.2,30.8,rain
163,Groundnut,Bowenpally,2012-09-19,4000.0,2.0,30.0,rain
164,Groundnut,Bowenpally,2012-09-21,2500.0,0.3,30.2,rain
165,Groundnut,Bowenpally,2012-09-22,2600.0,1.5,29.8,clear
166,Groundnut,Bowenpally,2012-09-23,3000.0,2.5,29.8,clear
167,Groundnut,Bowenpally,2012-09-24,3000.0,2.0,32.2,clear
168,Groundnut,Bowenpally,2012-09-25,3000.0,0.8,31.6,clear
169,Groundnut,Bowenpally,2012-09-26,3000.0,1.9,32.6,clear
170,Groundnut,Bowenpally,2012-09-27,3000.0,1.5,32.6,clear
171,Groundnut,Bowenpally,2012-09-28,4000.0,1.5,30.8,clear
172,Groundnut,Bowenpally,2012-09-29,3000.0,1.7,29.9,clear
173,Groundnut,Bowenpally,2012-09-30,4000.0,1.5,29.9,clear
174,Groundnut,Bowenpally,2012-01-10,2800.0,3.1,28.0,clear
175,Groundnut,Bowenpally,2012-02-10,3500.0,1.8,30.0,clear
176,Groundnut,Bowenpally,2012-03-10,3000.0,100.0,34.2,clear
177,Groundnut,Bowenpally,2012-04-10,3000.0,1.9,38.8,clear
178,Groundnut,Bowenpally,2012-06-10,3000.0,2.6,36.2,clear
179,Groundnut,Bowenpally,2012-07-10,3000.0,1.2,30.6,clear
180,Groundnut,Bowenpally,2012-08-10,3000.0,1.9,29.8,rain
181,Groundnut,Bowenpally,2012-09-10,2500.0,1.8,26.4,rain
182,Groundnut,Bowenpally,2012-10-10,3000.0,2.5,32.0,clear
183,Groundnut,Bowenpally,2012-10-13,2600.0,2.0,31.4,clear
184,Groundnut,Bowenpally,2012-10-14,3200.0,2.6,32.2,clear
185,Groundnut,Bowenpally,2012-10-16,2500.0,1.4,31.8,clear
186,Groundnut,Bowenpally,2012-10-17,3000.0,2.1,31.6,clear
187,Groundnut,Bowenpally,2012-10-18,3000.0,1.3,32.2,clear
188,Groundnut,Bowenpally,2012-10-21,2500.0,1.0,29.2,clear
189,Groundnut,Bowenpally,2012-10-22,2200.0,0.2,28.4,clear
190,Groundnut,Bowenpally,2012-10-24,1000.0,3.0,30.2,clear
191,Groundnut,Bowenpally,2012-10-25,2000.0,0.5,32.0,clear
192,Groundnut,Bowenpally,2012-10-26,1500.0,0.3,30.4,clear
193,Groundnut,Bowenpally,2012-10-28,3500.0,1.0,31.2,clear
194,Groundnut,Bowenpally,2012-10-29,2500.0,3.3,30.4,clear
