,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Achampet,2012-01-21,4600.0,0.0,28.8,clear
1,Groundnut,Achampet(Amrabad),2012-01-21,4620.0,0.0,28.8,clear
2,Groundnut,Devarakadra,2012-01-21,3019.0,1.8,28.8,clear
3,Groundnut,Gadwal,2012-01-21,3269.0,162.5,28.8,clear
4,Groundnut,Mahbubnagar,2012-01-21,3770.0,92.8,28.8,clear
5,Groundnut,Nagarkurnool,2012-01-21,4012.0,0.5,28.8,clear
6,Groundnut,Narayanpet,2012-01-21,3140.0,25.8,28.8,clear
7,Groundnut,Wanaparthy town,2012-01-21,4356.0,16.8,28.8,clear
8,Groundnut,Achampet,2012-01-22,4259.0,0.0,29.4,clear
9,Groundnut,Achampet(Amrabad),2012-01-22,4260.0,0.0,29.4,clear
10,Groundnut,Narayanpet,2012-01-22,3140.0,0.0,29.4,clear
11,Groundnut,Achampet,2012-01-23,4464.0,0.0,29.8,clear
12,Groundnut,Achampet(Amrabad),2012-01-23,4465.0,0.0,29.8,clear
13,Groundnut,Narayanpet,2012-01-23,3140.0,0.0,29.8,clear
14,Groundnut,Wanaparthy town,2012-01-23,4300.0,0.0,29.8,clear
15,Groundnut,Achampet,2012-01-24,4759.0,0.0,28.0,clear
16,Groundnut,Achampet(Amrabad),2012-01-24,4769.0,0.0,28.0,clear
17,Groundnut,Badepalli,2012-01-24,3980.0,18.1,28.0,clear
18,Groundnut,Devarakadra,2012-01-24,3548.0,3.4,28.0,clear
19,Groundnut,Gadwal,2012-01-24,3679.0,240.0,28.0,clear
20,Groundnut,Mahbubnagar,2012-01-24,3960.0,235.6,28.0,clear
21,Groundnut,Narayanpet,2012-01-24,3665.0,63.8,28.0,clear
22,Groundnut,Wanaparthy town,2012-01-24,4300.0,0.0,28.0,clear
23,Sunflower,Badepalli,2012-01-24,2144.0,0.3,28.0,clear
24,Sunflower,Narayanpet,2012-01-24,2785.0,1.8,28.0,clear
25,Groundnut,Achampet,2012-01-25,4464.0,8.3,29.2,clear
26,Groundnut,Achampet(Amrabad),2012-01-25,4464.0,0.0,29.2,clear
27,Groundnut,Devarakadra,2012-01-25,3669.0,8.2,29.2,clear
28,Groundnut,Gadwal,2012-01-25,3569.0,177.2,29.2,clear
29,Groundnut,Mahbubnagar,2012-01-25,3670.0,232.1,29.2,clear
30,Groundnut,Nagarkurnool,2012-01-25,4911.0,2.1,29.2,clear
31,Groundnut,Narayanpet,2012-01-25,3372.0,52.4,29.2,clear
32,Groundnut,Wanaparthy town,2012-01-25,4110.0,268.1,29.2,clear
33,Sunflower,Narayanpet,2012-01-25,2971.0,4.4,29.2,clear
34,Groundnut,Achampet,2012-01-26,4464.0,0.0,30.2,clear
35,Groundnut,Achampet(Amrabad),2012-01-26,4464.0,0.0,30.2,clear
36,Groundnut,Narayanpet,2012-01-26,3372.0,0.0,30.2,clear
37,Groundnut,Wanaparthy town,2012-01-26,4100.0,0.0,30.2,clear
38,Sunflower,Narayanpet,2012-01-26,2971.0,0.0,30.2,clear
39,Groundnut,Achampet,2012-01-27,4623.0,1.4,31.0,clear
40,Groundnut,Achampet(Amrabad),2012-01-27,4623.0,0.0,31.0,clear
41,Groundnut,Atmakur,2012-01-27,3577.0,7.4,31.0,clear
42,Groundnut,Badepalli,2012-01-27,3416.0,39.5,31.0,clear
43,Groundnut,Devarakadra,2012-01-27,3669.0,17.4,31.0,clear
44,Groundnut,Gadwal,2012-01-27,3861.0,726.9,31.0,clear
45,Groundnut,Mahbubnagar,2012-01-27,3570.0,253.8,31.0,clear
46,Groundnut,Nagarkurnool,2012-01-27,3852.0,2.0,31.0,clear
47,Groundnut,Narayanpet,2012-01-27,3462.0,103.4,31.0,clear
48,Groundnut,Wanaparthy town,2012-01-27,4289.0,202.3,31.0,clear
49,Sunflower,Narayanpet,2012-01-27,2807.0,2.5,31.0,clear
50,Groundnut,Achampet,2012-01-28,4623.0,0.0,29.0,clear
51,Groundnut,Achampet(Amrabad),2012-01-28,4624.0,0.0,29.0,clear
52,Groundnut,Atmakur,2012-01-28,2933.0,5.1,29.0,clear
53,Groundnut,Devarakadra,2012-01-28,3844.0,14.1,29.0,clear
54,Groundnut,Gadwal,2012-01-28,3680.0,251.1,29.0,clear
55,Groundnut,Mahbubnagar,2012-01-28,3306.0,347.6,29.0,clear
56,Groundnut,Nagarkurnool,2012-01-28,3961.0,1.6,29.0,clear
57,Groundnut,Narayanpet,2012-01-28,3357.0,114.0,29.0,clear
58,Groundnut,Wanaparthy town,2012-01-28,4169.0,220.1,29.0,clear
59,Sunflower,Narayanpet,2012-01-28,3081.0,4.1,29.0,clear
60,Groundnut,Achampet,2012-01-29,4470.0,13.5,28.8,clear
61,Groundnut,Achampet(Amrabad),2012-01-29,4471.0,0.0,28.8,clear
62,Groundnut,Atmakur,2012-01-29,2917.0,5.0,28.8,clear
63,Groundnut,Nagarkurnool,2012-01-29,3564.0,0.0,28.8,clear
64,Groundnut,Narayanpet,2012-01-29,3357.0,0.0,28.8,clear
65,Groundnut,Wanaparthy town,2012-01-29,4197.0,242.9,28.8,clear
66,Sunflower,Achampet,2012-01-29,2766.0,0.3,28.8,clear
67,Sunflower,Narayanpet,2012-01-29,3081.0,0.0,28.8,clear
68,Groundnut,Achampet,2012-01-30,4402.0,1.8,28.0,clear
69,Groundnut,Achampet(Amrabad),2012-01-30,4403.0,0.0,28.0,clear
70,Groundnut,Atmakur,2012-01-30,3290.0,9.6,28.0,clear
71,Groundnut,Badepalli,2012-01-30,3966.0,34.0,28.0,clear
72,Groundnut,Gadwal,2012-01-30,3659.0,268.1,28.0,clear
73,Groundnut,Mahbubnagar,2012-01-30,3372.0,392.7,28.0,clear
74,Groundnut,Narayanpet,2012-01-30,3357.0,0.0,28.0,clear
75,Groundnut,Wanaparthy town,2012-01-30,3890.0,224.8,28.0,clear
76,Sunflower,Badepalli,2012-01-30,2514.0,0.2,28.0,clear
77,Sunflower,Narayanpet,2012-01-30,3081.0,0.0,28.0,clear
78,Groundnut,Achampet,2012-01-31,4606.0,4.0,29.6,clear
79,Groundnut,Achampet(Amrabad),2012-01-31,4606.0,0.0,29.6,clear
80,Groundnut,Atmakur,2012-01-31,3290.0,0.0,29.6,clear
81,Groundnut,Devarakadra,2012-01-31,3686.0,64.1,29.6,clear
82,Groundnut,Gadwal,2012-01-31,3619.0,263.9,29.6,clear
83,Groundnut,Mahbubnagar,2012-01-31,3349.0,436.7,29.6,clear
84,Groundnut,Nagarkurnool,2012-01-31,4322.0,5.0,29.6,clear
85,Groundnut,Narayanpet,2012-01-31,3339.0,168.9,29.6,clear
86,Groundnut,Wanaparthy town,2012-01-31,3800.0,0.0,29.6,clear
87,Sunflower,Narayanpet,2012-01-31,2980.0,1.3,29.6,clear
88,Groundnut,Achampet,2012-01-02,4180.0,10.6,29.6,clear
89,Groundnut,Achampet(Amrabad),2012-01-02,4807.0,0.0,29.6,clear
90,Groundnut,Atmakur,2012-01-02,3190.0,11.3,29.6,clear
91,Groundnut,Badepalli,2012-01-02,4416.0,10.0,29.6,clear
92,Groundnut,Devarakadra,2012-01-02,4127.0,15.2,29.6,clear
93,Groundnut,Gadwal,2012-01-02,3689.0,263.4,29.6,clear
94,Groundnut,Gadwal(Lezza),2012-01-02,3600.0,0.1,29.6,clear
95,Groundnut,Mahbubnagar,2012-01-02,3357.0,315.3,29.6,clear
96,Groundnut,Nagarkurnool,2012-01-02,4102.0,13.2,29.6,clear
97,Groundnut,Narayanpet,2012-01-02,3434.0,123.2,29.6,clear
98,Groundnut,Wanaparthy town,2012-01-02,3890.0,380.4,29.6,clear
99,Sunflower,Achampet,2012-01-02,2740.0,0.1,29.6,clear
100,Sunflower,Narayanpet,2012-01-02,2979.0,1.3,29.6,clear
101,Groundnut,Achampet,2012-02-02,4525.0,4.2,29.2,clear
102,Groundnut,Achampet(Amrabad),2012-02-02,4526.0,0.0,29.2,clear
103,Groundnut,Atmakur,2012-02-02,3191.0,7.8,29.2,clear
104,Groundnut,Badepalli,2012-02-02,4186.0,76.4,29.2,clear
105,Groundnut,Devarakadra,2012-02-02,3559.0,49.6,29.2,clear
106,Groundnut,Gadwal,2012-02-02,3743.0,321.8,29.2,clear
107,Groundnut,Gadwal(Lezza),2012-02-02,3700.0,0.1,29.2,clear
108,Groundnut,Mahbubnagar,2012-02-02,3413.0,386.7,29.2,clear
109,Groundnut,Nagarkurnool,2012-02-02,4502.0,12.2,29.2,clear
110,Groundnut,Narayanpet,2012-02-02,3412.0,144.8,29.2,clear
111,Groundnut,Wanaparthy town,2012-02-02,3800.0,0.0,29.2,clear
112,Sunflower,Achampet,2012-02-02,2763.0,0.2,29.2,clear
113,Sunflower,Badepalli,2012-02-02,2614.0,0.4,29.2,clear
114,Sunflower,Narayanpet,2012-02-02,2808.0,1.1,29.2,clear
115,Groundnut,Achampet,2012-03-02,4610.0,4.9,37.2,clear
116,Groundnut,Achampet(Amrabad),2012-03-02,4612.0,0.0,37.2,clear
117,Groundnut,Atmakur,2012-03-02,3390.0,14.4,37.2,clear
118,Groundnut,Badepalli,2012-03-02,3732.0,94.1,37.2,clear
119,Groundnut,Devarakadra,2012-03-02,3720.0,40.6,37.2,clear
120,Groundnut,Gadwal,2012-03-02,3319.0,258.3,37.2,clear
121,Groundnut,Gadwal(Lezza),2012-03-02,3300.0,0.1,37.2,clear
122,Groundnut,Mahbubnagar,2012-03-02,3353.0,482.6,37.2,clear
123,Groundnut,Nagarkurnool,2012-03-02,4005.0,3.9,37.2,clear
124,Groundnut,Narayanpet,2012-03-02,3595.0,114.8,37.2,clear
125,Sunflower,Badepalli,2012-03-02,2744.0,0.3,37.2,clear
126,Sunflower,Nagarkurnool,2012-03-02,2829.0,0.1,37.2,clear
127,Sunflower,Narayanpet,2012-03-02,3026.0,1.2,37.2,clear
128,Groundnut,Achampet,2012-04-02,4610.0,0.0,37.8,clear
129,Groundnut,Achampet(Amrabad),2012-04-02,4611.0,0.0,37.8,clear
130,Groundnut,Atmakur,2012-04-02,3237.0,21.9,37.8,clear
131,Groundnut,Devarakadra,2012-04-02,3689.0,61.7,37.8,clear
132,Groundnut,Gadwal,2012-04-02,3670.0,415.1,37.8,clear
133,Groundnut,Gadwal(Lezza),2012-04-02,3600.0,0.1,37.8,clear
134,Groundnut,Mahbubnagar,2012-04-02,3383.0,473.9,37.8,clear
135,Groundnut,Nagarkurnool,2012-04-02,4302.0,13.1,37.8,clear
136,Groundnut,Narayanpet,2012-04-02,3545.0,122.2,37.8,clear
137,Groundnut,Wanaparthy town,2012-04-02,3850.0,0.0,37.8,clear
138,Groundnut,Achampet,2012-05-02,4169.0,14.6,41.6,clear
