,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Azamgarh,2015-12-10,5290.0,3.0,15.4,clear
1,Mustard,Azamgarh,2015-12-10,4070.0,0.0,15.4,clear
2,Groundnut,Azamgarh,2015-12-12,5315.0,12.5,21.4,clear
3,Mustard,Azamgarh,2015-12-12,4250.0,12.5,21.4,clear
4,Groundnut,Azamgarh,2015-12-14,5320.0,11.0,19.0,clear
5,Mustard,Azamgarh,2015-12-14,4275.0,8.0,19.0,clear
6,Groundnut,Azamgarh,2015-12-16,5350.0,5.0,19.0,clear
7,Mustard,Azamgarh,2015-12-16,4285.0,10.0,19.0,clear
8,Groundnut,Azamgarh,2015-12-17,5380.0,0.0,19.0,clear
9,Mustard,Azamgarh,2015-12-17,4260.0,11.0,19.0,clear
10,Groundnut,Azamgarh,2015-12-18,5400.0,0.0,18.0,clear
11,Mustard,Azamgarh,2015-12-18,4250.0,11.5,18.0,clear
12,Groundnut,Azamgarh,2015-12-19,5400.0,2.0,18.0,clear
13,Mustard,Azamgarh,2015-12-19,4250.0,10.0,18.0,clear
14,Groundnut,Azamgarh,2015-12-22,5370.0,1.5,17.4,clear
15,Mustard,Azamgarh,2015-12-22,4265.0,0.0,17.4,clear
16,Groundnut,Azamgarh,2015-12-23,5350.0,1.0,18.4,clear
17,Mustard,Azamgarh,2015-12-23,4265.0,7.0,18.4,clear
18,Groundnut,Azamgarh,2015-12-24,5360.0,1.5,20.0,clear
19,Groundnut,Azamgarh,2015-12-26,5360.0,1.5,20.0,clear
20,Mustard,Azamgarh,2015-12-26,4230.0,7.0,20.0,clear
21,Groundnut,Azamgarh,2015-12-28,5330.0,1.2,13.4,clear
22,Mustard,Azamgarh,2015-12-28,4220.0,8.0,13.4,clear
23,Groundnut,Azamgarh,2015-12-29,5300.0,2.0,20.4,clear
24,Mustard,Azamgarh,2015-12-29,4200.0,9.0,20.4,clear
25,Groundnut,Azamgarh,2015-12-30,5370.0,1.5,22.4,clear
