,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Atarra,2015-12-09,3700.0,4.0,24.4,clear
1,Mustard,Atarra,2015-12-15,4425.0,1.5,19.0,clear
2,Mustard,Baberu,2015-12-15,4150.0,10.0,19.0,clear
3,Mustard,Atarra,2015-12-16,4425.0,1.0,18.4,clear
4,Mustard,Atarra,2015-12-17,4450.0,2.0,18.2,clear
5,Mustard,Baberu,2015-12-17,4200.0,8.0,18.2,clear
6,Mustard,Atarra,2015-12-19,4500.0,1.5,19.6,clear
7,Mustard,Baberu,2015-12-19,4150.0,10.0,19.6,clear
8,Mustard,Banda,2015-12-19,4350.0,20.0,19.6,clear
9,Mustard,Atarra,2015-12-20,4500.0,1.0,20.0,clear
10,Mustard,Baberu,2015-12-20,4150.0,15.0,20.0,clear
11,Mustard,Banda,2015-12-20,4375.0,19.0,20.0,clear
12,Mustard,Atarra,2015-12-21,4500.0,0.5,19.0,clear
13,Mustard,Baberu,2015-12-21,4170.0,8.0,19.0,clear
14,Mustard,Banda,2015-12-21,4400.0,17.0,19.0,clear
15,Mustard,Atarra,2015-12-22,4500.0,0.4,18.6,clear
16,Mustard,Baberu,2015-12-22,4175.0,7.0,18.6,clear
17,Mustard,Atarra,2015-12-26,4500.0,1.5,19.4,clear
18,Mustard,Baberu,2015-12-26,4180.0,6.0,19.4,clear
19,Mustard,Atarra,2015-12-27,4500.0,1.5,22.2,clear
20,Mustard,Atarra,2015-12-28,4500.0,3.0,13.6,clear
21,Mustard,Atarra,2015-12-29,4500.0,2.5,20.8,clear
22,Mustard,Atarra,2015-12-30,4500.0,2.0,22.0,clear
23,Mustard,Banda,2015-12-30,4380.0,20.0,22.0,clear
24,Mustard,Atarra,2015-12-31,4500.0,4.0,22.4,clear
25,Mustard,Baberu,2015-12-31,4200.0,6.0,22.4,clear
26,Mustard,Baberu,2015-12-10,4100.0,3.0,18.8,clear
27,Mustard,Banda,2015-12-10,4100.0,14.0,18.8,clear
28,Mustard,Baberu,2015-12-12,4150.0,7.0,20.0,clear
29,Mustard,Baberu,2015-12-13,4150.0,10.0,13.4,clear
30,Mustard,Baberu,2015-12-14,4175.0,5.0,19.0,clear
31,Mustard,Baberu,2015-12-18,4100.0,15.0,18.6,clear
32,Mustard,Baberu,2015-12-24,4175.0,10.0,17.4,clear
33,Mustard,Baberu,2015-12-25,4175.0,8.0,18.2,clear
34,Mustard,Atarra,2016-03-01,4500.0,3.0,31.4,clear
35,Mustard,Baberu,2016-03-01,4200.0,10.0,31.4,clear
36,Mustard,Atarra,2016-04-01,4500.0,2.5,38.4,clear
37,Mustard,Banda,2016-04-01,4425.0,21.0,38.4,clear
38,Mustard,Atarra,2016-05-01,4500.0,3.0,42.0,clear
39,Mustard,Baberu,2016-05-01,4075.0,15.0,42.0,clear
40,Mustard,Atarra,2016-06-01,4500.0,2.5,42.0,clear
41,Mustard,Atarra,2016-07-01,4500.0,4.0,35.4,rain
42,Mustard,Baberu,2016-07-01,4050.0,20.0,35.4,rain
43,Mustard,Banda,2016-07-01,4325.0,30.0,35.4,rain
44,Mustard,Atarra,2016-09-01,4500.0,2.0,32.8,clear
45,Mustard,Atarra,2016-01-18,4400.0,2.0,15.6,clear
46,Mustard,Baberu,2016-01-18,4150.0,6.0,15.6,clear
47,Mustard,Banda,2016-01-18,4350.0,32.0,15.6,clear
48,Mustard,Atarra,2016-01-19,4400.0,2.5,13.2,clear
49,Mustard,Baberu,2016-01-19,4075.0,10.0,13.2,clear
50,Mustard,Atarra,2016-01-21,4400.0,2.5,17.0,clear
51,Mustard,Baberu,2016-01-21,4050.0,8.0,17.0,clear
52,Mustard,Atarra,2016-01-23,4400.0,3.0,20.8,clear
53,Mustard,Baberu,2016-01-23,4050.0,10.0,20.8,clear
54,Mustard,Banda,2016-01-23,4200.0,40.0,20.8,clear
55,Mustard,Atarra,2016-01-24,4400.0,4.0,22.2,clear
56,Mustard,Baberu,2016-01-24,4050.0,15.0,22.2,clear
57,Mustard,Banda,2016-01-24,4175.0,35.0,22.2,clear
58,Mustard,Atarra,2016-01-25,4400.0,3.0,22.0,clear
59,Mustard,Baberu,2016-01-25,3900.0,18.0,22.0,clear
60,Mustard,Banda,2016-01-25,4170.0,41.0,22.0,clear
61,Mustard,Atarra,2016-01-02,4400.0,1.5,20.6,clear
62,Mustard,Baberu,2016-01-02,3940.0,10.0,20.6,clear
63,Mustard,Banda,2016-01-02,4100.0,28.0,20.6,clear
64,Mustard,Atarra,2016-02-02,4400.0,3.5,23.0,clear
65,Mustard,Baberu,2016-02-02,3950.0,8.0,23.0,clear
