,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Gopiganj,2012-08-31,3310.0,24.0,33.0,clear
1,Mustard,Gopiganj,2014-02-28,3539.0,32.0,20.6,rain
2,Mustard,Gopiganj,2014-03-31,3509.0,30.0,32.6,clear
3,Mustard,Gopiganj,2014-04-29,3439.0,26.0,40.2,clear
4,Mustard,Gopiganj,2014-04-06,3550.0,22.0,36.4,clear
5,Mustard,Gopiganj,2014-06-30,3604.0,15.0,38.8,clear
6,Mustard,Gopiganj,2014-07-31,3589.0,38.0,33.0,clear
7,Mustard,Gopiganj,2014-08-23,3620.0,10.0,34.8,clear
8,Mustard,Gopiganj,2016-08-31,4225.0,20.0,33.0,clear
9,Mustard,Gopiganj,2017-10-07,3700.0,0.0,33.6,clear
10,Mustard,Gopiganj,2017-11-07,3700.0,0.0,28.0,clear
11,Mustard,Gopiganj,2017-12-07,3700.0,0.0,24.0,clear
12,Mustard,Gopiganj,2017-07-13,3700.0,0.0,32.6,clear
13,Mustard,Gopiganj,2017-07-14,3700.0,0.0,33.4,clear
14,Mustard,Gopiganj,2017-07-17,3700.0,0.0,35.6,clear
15,Mustard,Gopiganj,2017-07-18,3600.0,0.0,36.4,rain
16,Mustard,Gopiganj,2017-07-19,3700.0,0.0,34.6,clear
17,Mustard,Gopiganj,2017-07-20,3700.0,0.0,31.4,rain
18,Mustard,Gopiganj,2017-07-21,3700.0,0.0,31.0,clear
19,Mustard,Gopiganj,2017-07-22,3700.0,0.0,29.2,clear
20,Mustard,Gopiganj,2017-07-24,3700.0,0.0,31.0,rain
21,Mustard,Gopiganj,2017-07-25,3700.0,0.0,30.6,clear
22,Mustard,Gopiganj,2017-07-27,3700.0,0.0,30.6,clear
23,Mustard,Gopiganj,2017-07-28,3700.0,0.0,33.0,clear
24,Mustard,Gopiganj,2017-07-29,3700.0,0.0,33.0,clear
25,Mustard,Gopiganj,2017-07-31,3700.0,0.0,33.6,rain
26,Mustard,Gopiganj,2017-01-08,3700.0,0.0,18.4,clear
27,Mustard,Gopiganj,2017-02-08,3700.0,0.0,23.0,clear
28,Mustard,Gopiganj,2017-03-08,3250.0,0.0,29.6,clear
29,Mustard,Gopiganj,2017-04-08,3700.0,0.0,37.4,clear
30,Mustard,Gopiganj,2017-05-08,3700.0,0.0,37.6,clear
31,Mustard,Gopiganj,2017-08-08,3700.0,0.0,33.4,clear
32,Mustard,Gopiganj,2017-09-08,3700.0,0.0,34.0,clear
33,Mustard,Gopiganj,2017-10-08,3700.0,0.0,34.0,clear
34,Mustard,Gopiganj,2017-11-08,3700.0,0.0,27.6,clear
35,Mustard,Gopiganj,2017-08-14,3700.0,0.0,31.6,clear
36,Mustard,Gopiganj,2017-08-16,3700.0,0.0,34.0,clear
37,Mustard,Gopiganj,2017-08-17,3700.0,0.0,31.2,clear
38,Mustard,Gopiganj,2017-08-18,3700.0,0.0,32.2,clear
39,Mustard,Gopiganj,2017-08-19,3700.0,0.0,32.8,clear
40,Mustard,Gopiganj,2017-08-21,3700.0,0.0,34.0,clear
41,Mustard,Gopiganj,2017-08-22,3700.0,0.0,33.6,clear
42,Mustard,Gopiganj,2017-08-23,3700.0,0.0,34.2,clear
43,Mustard,Gopiganj,2017-08-24,3700.0,0.0,32.4,clear
44,Mustard,Gopiganj,2017-08-25,3700.0,0.0,32.6,clear
45,Mustard,Gopiganj,2017-08-26,3700.0,0.0,31.8,rain
46,Mustard,Gopiganj,2017-08-29,3700.0,0.0,32.2,clear
47,Mustard,Gopiganj,2017-08-30,3700.0,0.0,33.0,clear
48,Mustard,Gopiganj,2017-08-31,3700.0,0.0,34.0,clear
49,Mustard,Gopiganj,2017-01-09,3700.0,0.0,22.0,clear
50,Mustard,Gopiganj,2017-04-09,3700.0,0.0,36.0,clear
51,Mustard,Gopiganj,2017-05-09,3700.0,0.0,33.0,clear
52,Mustard,Gopiganj,2017-06-09,3700.0,0.0,36.6,clear
53,Mustard,Gopiganj,2017-07-09,3700.0,0.0,31.0,clear
54,Mustard,Gopiganj,2017-08-09,3700.0,0.0,33.4,rain
55,Mustard,Gopiganj,2017-09-09,3700.0,0.0,33.8,clear
56,Mustard,Gopiganj,2017-11-09,3700.0,0.0,26.6,clear
57,Mustard,Gopiganj,2017-12-09,3700.0,0.0,22.8,clear
58,Mustard,Gopiganj,2017-09-13,3700.0,0.0,33.2,clear
59,Mustard,Gopiganj,2017-09-14,3700.0,0.0,35.0,clear
60,Mustard,Gopiganj,2017-09-15,3700.0,0.0,35.0,clear
61,Mustard,Gopiganj,2017-09-16,3700.0,0.0,35.0,clear
62,Mustard,Gopiganj,2017-09-18,3700.0,0.0,31.8,clear
63,Mustard,Gopiganj,2017-09-19,3700.0,0.0,32.4,clear
64,Mustard,Gopiganj,2017-09-20,3700.0,0.0,30.6,clear
65,Mustard,Gopiganj,2017-09-21,3700.0,0.0,29.2,clear
66,Mustard,Gopiganj,2017-09-22,3700.0,0.0,33.4,clear
67,Mustard,Gopiganj,2017-09-23,3700.0,0.0,32.2,clear
68,Mustard,Gopiganj,2017-09-25,3700.0,0.0,30.6,clear
69,Mustard,Gopiganj,2017-09-26,3700.0,0.0,32.8,clear
70,Mustard,Gopiganj,2017-09-27,3700.0,0.0,32.4,clear
71,Mustard,Gopiganj,2017-09-28,3700.0,0.0,33.4,clear
72,Mustard,Gopiganj,2017-03-10,3700.0,0.0,25.2,rain
73,Mustard,Gopiganj,2017-05-10,3700.0,0.0,35.4,clear
74,Mustard,Gopiganj,2017-09-10,3700.0,0.0,33.8,clear
75,Mustard,Gopiganj,2017-10-10,3700.0,0.0,32.2,clear
76,Mustard,Gopiganj,2017-11-10,3700.0,0.0,24.4,clear
77,Mustard,Gopiganj,2017-12-10,3710.0,0.0,23.4,clear
78,Mustard,Gopiganj,2017-10-13,3700.0,0.0,30.6,clear
79,Mustard,Gopiganj,2017-10-16,3700.0,0.0,32.0,clear
80,Mustard,Gopiganj,2017-10-17,3700.0,0.0,33.0,clear
81,Mustard,Gopiganj,2017-10-18,3700.0,0.0,31.6,clear
82,Mustard,Gopiganj,2017-10-23,3700.0,0.0,31.8,clear
83,Mustard,Gopiganj,2017-10-24,3700.0,0.0,31.4,clear
84,Mustard,Gopiganj,2017-10-26,3700.0,0.0,28.2,clear
85,Mustard,Gopiganj,2017-10-27,3700.0,0.0,29.6,clear
86,Mustard,Gopiganj,2017-10-28,3700.0,0.0,30.6,clear
87,Mustard,Gopiganj,2017-10-29,3700.0,0.0,29.6,clear
88,Mustard,Gopiganj,2017-10-30,3700.0,0.0,28.4,clear
89,Mustard,Gopiganj,2017-10-31,3700.0,0.0,27.6,clear
90,Mustard,Gopiganj,2017-01-11,3700.0,0.0,17.0,clear
91,Mustard,Gopiganj,2017-02-11,3700.0,0.0,22.2,clear
92,Mustard,Gopiganj,2017-03-11,3700.0,0.0,26.0,clear
93,Mustard,Gopiganj,2017-04-11,3700.0,0.0,35.0,clear
