,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Bharthna,2015-12-08,3950.0,5.0,24.0,clear
1,Mustard,Etawah,2015-12-08,3950.0,5.5,24.0,clear
2,Mustard,Bharthna,2015-12-09,4000.0,3.0,24.0,clear
3,Mustard,Etawah,2015-12-09,4000.0,5.0,24.0,clear
4,Mustard,Bharthna,2015-12-10,4200.0,5.0,16.5,clear
5,Mustard,Etawah,2015-12-10,4200.0,3.5,16.5,clear
6,Mustard,Bharthna,2015-12-12,4320.0,2.5,21.0,clear
7,Mustard,Etawah,2015-12-12,4350.0,4.5,21.0,clear
8,Mustard,Bharthna,2015-12-14,4325.0,3.0,20.0,clear
9,Mustard,Etawah,2015-12-14,4350.0,5.0,20.0,clear
10,Mustard,Bharthna,2015-12-15,4300.0,4.5,19.0,clear
11,Mustard,Etawah,2015-12-15,4375.0,4.0,19.0,clear
12,Mustard,Jasvantnagar,2015-12-15,4400.0,9.0,19.0,clear
13,Mustard,Bharthna,2015-12-16,4300.0,3.0,19.0,clear
14,Mustard,Etawah,2015-12-16,4350.0,4.5,19.0,clear
15,Mustard,Bharthna,2015-12-17,4325.0,2.5,20.5,clear
16,Mustard,Etawah,2015-12-17,4375.0,3.5,20.5,clear
17,Mustard,Bharthna,2015-12-18,4330.0,2.0,20.5,clear
18,Mustard,Bharthna,2015-12-19,4300.0,3.0,20.5,clear
19,Mustard,Etawah,2015-12-19,4350.0,3.5,20.5,clear
20,Mustard,Jasvantnagar,2015-12-19,4375.0,10.0,20.5,clear
21,Mustard,Bharthna,2015-12-21,4270.0,4.0,18.5,clear
22,Mustard,Etawah,2015-12-21,4400.0,3.2,18.5,clear
23,Mustard,Bharthna,2015-12-22,4280.0,3.0,19.0,clear
24,Mustard,Etawah,2015-12-22,4400.0,3.5,19.0,clear
25,Mustard,Bharthna,2015-12-28,4325.0,3.0,10.5,clear
26,Mustard,Etawah,2015-12-28,4400.0,4.0,10.5,clear
27,Mustard,Bharthna,2015-12-29,4300.0,4.0,19.0,clear
28,Mustard,Etawah,2015-12-29,4380.0,4.5,19.0,clear
29,Mustard,Bharthna,2015-12-30,4325.0,3.0,22.0,clear
30,Mustard,Etawah,2015-12-30,4400.0,4.0,22.0,clear
31,Mustard,Bharthna,2015-12-31,4300.0,4.0,23.5,clear
32,Mustard,Etawah,2015-12-31,4350.0,4.5,23.5,clear
33,Mustard,Jasvantnagar,2015-12-31,4400.0,12.0,23.5,clear
34,Mustard,Etawah,2015-12-23,4420.0,3.0,19.0,clear
35,Mustard,Etawah,2015-12-24,4400.0,3.5,19.0,clear
36,Mustard,Etawah,2015-12-25,4370.0,4.0,19.0,clear
37,Mustard,Etawah,2015-12-26,4365.0,4.5,19.5,clear
38,Mustard,Bharthna,2016-01-01,4340.0,3.0,22.5,clear
39,Mustard,Etawah,2016-01-01,4400.0,4.0,22.5,clear
40,Mustard,Bharthna,2016-02-01,4350.0,2.5,24.5,clear
41,Mustard,Etawah,2016-02-01,4350.0,4.5,24.5,clear
42,Mustard,Bharthna,2016-04-01,4340.0,3.5,37.0,clear
43,Mustard,Etawah,2016-04-01,4300.0,5.0,37.0,clear
44,Mustard,Bharthna,2016-05-01,4300.0,4.0,42.0,clear
45,Mustard,Etawah,2016-05-01,4300.0,4.0,42.0,clear
46,Mustard,Bharthna,2016-08-01,4270.0,4.0,28.5,clear
47,Mustard,Etawah,2016-08-01,4300.0,3.5,28.5,clear
48,Mustard,Bharthna,2016-09-01,4260.0,3.0,29.5,clear
49,Mustard,Etawah,2016-09-01,4300.0,4.0,29.5,clear
50,Mustard,Bharthna,2016-11-01,4250.0,2.5,31.5,clear
51,Mustard,Etawah,2016-11-01,4150.0,6.0,31.5,clear
52,Mustard,Jasvantnagar,2016-11-01,4200.0,15.0,31.5,clear
53,Mustard,Bharthna,2016-12-01,4200.0,4.0,21.0,clear
54,Mustard,Etawah,2016-12-01,4150.0,5.5,21.0,clear
55,Mustard,Bharthna,2016-01-13,4150.0,5.0,23.0,clear
56,Mustard,Etawah,2016-01-13,4200.0,5.0,23.0,clear
57,Mustard,Bharthna,2016-01-14,4160.0,3.0,22.5,clear
58,Mustard,Etawah,2016-01-14,4200.0,4.0,22.5,clear
59,Mustard,Bharthna,2016-01-15,4050.0,3.5,18.1,clear
60,Mustard,Etawah,2016-01-15,4075.0,4.5,18.1,clear
61,Mustard,Bharthna,2016-01-16,4000.0,4.0,18.0,clear
62,Mustard,Bharthna,2016-01-18,4050.0,2.5,18.0,clear
63,Mustard,Etawah,2016-01-18,4000.0,4.0,18.0,clear
64,Mustard,Jasvantnagar,2016-01-18,4100.0,16.0,18.0,clear
65,Mustard,Bharthna,2016-01-19,4070.0,3.0,9.0,clear
66,Mustard,Etawah,2016-01-19,4000.0,5.0,9.0,clear
67,Mustard,Bharthna,2016-01-20,3950.0,3.5,13.5,clear
68,Mustard,Etawah,2016-01-20,4200.0,3.0,13.5,clear
69,Mustard,Bharthna,2016-01-21,3850.0,4.0,14.5,clear
70,Mustard,Bharthna,2016-01-23,3900.0,3.0,18.5,clear
71,Mustard,Jasvantnagar,2016-01-23,4200.0,15.0,18.5,clear
72,Mustard,Bharthna,2016-01-25,4000.0,2.5,19.0,clear
73,Mustard,Etawah,2016-01-25,4150.0,4.0,19.0,clear
74,Mustard,Bharthna,2016-01-27,4100.0,3.0,22.5,clear
75,Mustard,Bharthna,2016-01-28,4000.0,3.5,22.5,clear
76,Mustard,Etawah,2016-01-28,3950.0,8.0,22.5,clear
77,Mustard,Bharthna,2016-02-02,3825.0,4.0,21.5,clear
78,Mustard,Etawah,2016-02-02,3850.0,7.0,21.5,clear
79,Mustard,Bharthna,2016-03-02,3725.0,5.0,29.5,clear
80,Mustard,Etawah,2016-03-02,3900.0,5.0,29.5,clear
81,Mustard,Bharthna,2016-04-02,3640.0,6.0,38.0,clear
82,Mustard,Etawah,2016-04-02,3750.0,7.0,38.0,clear
83,Mustard,Bharthna,2016-05-02,3600.0,5.0,42.5,clear
84,Mustard,Etawah,2016-05-02,3700.0,8.0,42.5,clear
85,Mustard,Bharthna,2016-06-02,3620.0,4.0,41.5,clear
86,Mustard,Etawah,2016-06-02,3725.0,7.5,41.5,clear
87,Mustard,Jasvantnagar,2016-06-02,3700.0,18.0,41.5,clear
88,Mustard,Bharthna,2016-08-02,3600.0,5.0,31.5,clear
89,Mustard,Etawah,2016-08-02,3700.0,8.0,31.5,clear
90,Mustard,Bharthna,2016-09-02,3640.0,4.0,31.5,clear
91,Mustard,Etawah,2016-09-02,3650.0,10.0,31.5,clear
92,Mustard,Bharthna,2016-10-02,3570.0,5.0,30.5,clear
93,Mustard,Etawah,2016-10-02,3650.0,8.0,30.5,clear
94,Mustard,Bharthna,2016-11-02,3550.0,6.0,19.5,clear
95,Mustard,Etawah,2016-11-02,3600.0,10.0,19.5,clear
96,Mustard,Bharthna,2016-12-02,3550.0,6.0,21.5,clear
97,Mustard,Etawah,2016-12-02,3650.0,8.0,21.5,clear
98,Mustard,Bharthna,2016-02-13,3560.0,4.0,25.0,clear
99,Mustard,Bharthna,2016-02-15,3570.0,4.0,25.5,clear
100,Mustard,Bharthna,2016-02-16,3540.0,5.0,25.5,clear
101,Mustard,Etawah,2016-02-16,3580.0,8.0,25.5,clear
102,Mustard,Bharthna,2016-02-17,3440.0,6.0,23.5,clear
103,Mustard,Etawah,2016-02-17,3550.0,8.5,23.5,clear
104,Mustard,Bharthna,2016-02-18,3450.0,5.0,27.0,clear
105,Mustard,Etawah,2016-02-18,3500.0,9.0,27.0,clear
106,Mustard,Bharthna,2016-02-19,3425.0,6.0,27.5,clear
107,Mustard,Etawah,2016-02-19,3525.0,7.5,27.5,clear
108,Mustard,Bharthna,2016-02-20,3440.0,4.5,26.0,clear
109,Mustard,Etawah,2016-02-20,3500.0,6.0,26.0,clear
110,Mustard,Bharthna,2016-02-22,3450.0,4.0,28.0,clear
111,Mustard,Etawah,2016-02-22,3550.0,5.0,28.0,clear
112,Mustard,Bharthna,2016-02-23,3475.0,3.0,27.0,clear
113,Mustard,Etawah,2016-02-23,3500.0,6.0,27.0,clear
114,Mustard,Jasvantnagar,2016-02-23,3550.0,22.0,27.0,clear
115,Mustard,Bharthna,2016-02-24,3450.0,5.0,28.0,clear
