,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Bindki,2015-12-07,3750.0,28.0,22.2,clear
1,Mustard,Fatehpur,2015-12-07,3710.0,1.5,22.2,clear
2,Mustard,Jahanabad,2015-12-07,4040.0,0.0,22.2,clear
3,Mustard,Khaga,2015-12-07,3370.0,2.0,22.2,clear
4,Mustard,Bindki,2015-12-08,3970.0,14.0,21.2,clear
5,Mustard,Fatehpur,2015-12-08,3830.0,1.0,21.2,clear
6,Mustard,Jahanabad,2015-12-08,4000.0,0.0,21.2,clear
7,Mustard,Khaga,2015-12-08,3810.0,1.0,21.2,clear
8,Mustard,Bindki,2015-12-10,3885.0,15.0,18.2,clear
9,Mustard,Fatehpur,2015-12-10,4020.0,1.5,18.2,clear
10,Mustard,Bindki,2015-12-13,4260.0,30.0,21.2,clear
11,Mustard,Fatehpur,2015-12-13,4325.0,2.5,21.2,clear
12,Mustard,Bindki,2015-12-14,4260.0,25.0,18.2,clear
13,Mustard,Fatehpur,2015-12-14,4330.0,3.5,18.2,clear
14,Mustard,Bindki,2015-12-15,4255.0,20.0,18.2,clear
15,Mustard,Fatehpur,2015-12-15,4350.0,3.0,18.2,clear
16,Mustard,Bindki,2015-12-16,4265.0,22.5,16.2,clear
17,Mustard,Fatehpur,2015-12-16,4355.0,3.5,16.2,clear
18,Mustard,Jahanabad,2015-12-16,3900.0,1.5,16.2,clear
19,Mustard,Bindki,2015-12-18,4200.0,18.0,18.2,clear
20,Mustard,Jahanabad,2015-12-18,3940.0,1.2,18.2,clear
21,Mustard,Bindki,2015-12-20,4185.0,18.5,19.2,clear
22,Mustard,Fatehpur,2015-12-20,4370.0,4.0,19.2,clear
23,Mustard,Jahanabad,2015-12-20,3930.0,14.0,19.2,clear
24,Mustard,Bindki,2015-12-21,4160.0,19.0,18.2,clear
25,Mustard,Fatehpur,2015-12-21,4400.0,3.0,18.2,clear
26,Mustard,Bindki,2015-12-22,4125.0,18.5,18.2,clear
27,Mustard,Fatehpur,2015-12-22,4410.0,2.5,18.2,clear
28,Mustard,Jahanabad,2015-12-22,3950.0,5.0,18.2,clear
29,Mustard,Bindki,2015-12-23,4100.0,15.0,18.2,clear
30,Mustard,Fatehpur,2015-12-23,4420.0,1.0,18.2,clear
31,Mustard,Jahanabad,2015-12-23,3940.0,1.2,18.2,clear
32,Mustard,Bindki,2015-12-24,4085.0,14.0,17.2,clear
33,Mustard,Jahanabad,2015-12-24,3930.0,1.0,17.2,clear
34,Mustard,Bindki,2015-12-25,4060.0,15.0,16.2,clear
35,Mustard,Fatehpur,2015-12-25,4425.0,3.0,16.2,clear
36,Mustard,Bindki,2015-12-27,4070.0,16.0,21.2,clear
37,Mustard,Fatehpur,2015-12-27,4435.0,3.5,21.2,clear
38,Mustard,Jahanabad,2015-12-27,3940.0,1.0,21.2,clear
39,Mustard,Bindki,2015-12-28,4080.0,16.0,12.2,clear
40,Mustard,Fatehpur,2015-12-28,4420.0,2.0,12.2,clear
41,Mustard,Bindki,2015-12-29,4085.0,17.0,22.2,clear
42,Mustard,Fatehpur,2015-12-29,4450.0,3.0,22.2,clear
43,Mustard,Jahanabad,2015-12-29,3950.0,0.0,22.2,clear
44,Mustard,Bindki,2015-12-31,4035.0,17.5,21.2,clear
45,Mustard,Jahanabad,2015-12-31,3970.0,0.0,21.2,clear
46,Mustard,Fatehpur,2015-12-09,3985.0,2.0,22.2,clear
47,Mustard,Jahanabad,2015-12-09,3720.0,0.0,22.2,clear
48,Mustard,Fatehpur,2015-12-12,4320.0,2.0,20.2,clear
49,Mustard,Fatehpur,2015-12-19,4365.0,3.0,18.2,clear
50,Mustard,Jahanabad,2015-12-19,3930.0,14.0,18.2,clear
51,Mustard,Fatehpur,2015-12-26,4430.0,2.5,19.2,clear
52,Mustard,Jahanabad,2015-12-26,3920.0,1.0,19.2,clear
53,Mustard,Fatehpur,2015-12-30,4460.0,2.0,22.2,clear
54,Mustard,Jahanabad,2015-12-30,3960.0,0.0,22.2,clear
55,Mustard,Jahanabad,2015-12-17,3950.0,1.2,18.2,clear
56,Mustard,Bindki,2016-01-01,3990.0,20.0,21.2,clear
57,Mustard,Fatehpur,2016-01-01,4450.0,3.0,21.2,clear
58,Mustard,Jahanabad,2016-01-01,3950.0,1.0,21.2,clear
59,Mustard,Bindki,2016-03-01,3990.0,20.0,29.2,clear
60,Mustard,Fatehpur,2016-03-01,4465.0,7.0,29.2,clear
61,Mustard,Jahanabad,2016-03-01,3960.0,1.0,29.2,clear
62,Mustard,Bindki,2016-04-01,3980.0,19.0,36.2,clear
63,Mustard,Fatehpur,2016-04-01,4450.0,4.0,36.2,clear
64,Mustard,Bindki,2016-05-01,3985.0,20.0,40.2,clear
65,Mustard,Fatehpur,2016-05-01,4460.0,5.0,40.2,clear
66,Mustard,Jahanabad,2016-05-01,4000.0,1.0,40.2,clear
67,Mustard,Bindki,2016-08-01,3980.0,20.0,29.2,clear
68,Mustard,Fatehpur,2016-08-01,4470.0,3.5,29.2,clear
69,Mustard,Jahanabad,2016-08-01,0.0,0.0,29.2,clear
70,Mustard,Bindki,2016-10-01,3980.0,22.0,33.2,clear
71,Mustard,Fatehpur,2016-10-01,4465.0,2.5,33.2,clear
72,Mustard,Jahanabad,2016-10-01,4040.0,0.0,33.2,clear
73,Mustard,Bindki,2016-11-01,3990.0,21.0,29.2,clear
74,Mustard,Fatehpur,2016-11-01,4460.0,2.5,29.2,clear
75,Mustard,Bindki,2016-12-01,3885.0,23.0,21.2,clear
76,Mustard,Jahanabad,2016-12-01,4050.0,0.0,21.2,clear
77,Mustard,Bindki,2016-01-13,3880.0,25.0,22.2,clear
78,Mustard,Fatehpur,2016-01-13,4460.0,2.5,22.2,clear
79,Mustard,Jahanabad,2016-01-13,4100.0,0.0,22.2,clear
80,Mustard,Bindki,2016-01-15,3875.0,20.0,20.2,clear
81,Mustard,Fatehpur,2016-01-15,4455.0,3.0,20.2,clear
82,Mustard,Jahanabad,2016-01-15,4100.0,0.0,20.2,clear
83,Mustard,Bindki,2016-01-17,3885.0,26.0,17.2,clear
84,Mustard,Fatehpur,2016-01-17,4465.0,3.5,17.2,clear
85,Mustard,Jahanabad,2016-01-17,4150.0,0.0,17.2,clear
86,Mustard,Bindki,2016-01-18,3880.0,24.5,16.2,clear
87,Mustard,Fatehpur,2016-01-18,4470.0,2.0,16.2,clear
88,Mustard,Bindki,2016-01-19,3885.0,22.5,13.2,clear
89,Mustard,Fatehpur,2016-01-19,4450.0,2.5,13.2,clear
90,Mustard,Jahanabad,2016-01-19,4160.0,0.0,13.2,clear
91,Mustard,Bindki,2016-01-21,3885.0,20.0,14.2,clear
92,Mustard,Bindki,2016-01-24,3885.0,28.0,21.2,clear
93,Mustard,Fatehpur,2016-01-24,4450.0,3.0,21.2,clear
94,Mustard,Jahanabad,2016-01-24,4170.0,0.0,21.2,clear
95,Mustard,Bindki,2016-01-25,3880.0,20.0,22.2,clear
96,Mustard,Fatehpur,2016-01-25,4440.0,5.0,22.2,clear
97,Mustard,Bindki,2016-01-27,3885.0,18.5,22.2,clear
98,Mustard,Fatehpur,2016-01-27,4430.0,2.0,22.2,clear
99,Mustard,Jahanabad,2016-01-27,4150.0,0.0,22.2,clear
100,Mustard,Bindki,2016-01-29,3865.0,18.0,24.2,clear
101,Mustard,Fatehpur,2016-01-29,4435.0,2.5,24.2,clear
102,Mustard,Jahanabad,2016-01-29,4170.0,0.0,24.2,clear
103,Mustard,Kishunpur,2016-01-29,4420.0,5.0,24.2,clear
104,Mustard,Bindki,2016-01-31,3845.0,25.0,26.2,clear
105,Mustard,Fatehpur,2016-01-31,4445.0,3.0,26.2,clear
106,Mustard,Jahanabad,2016-01-31,4160.0,0.0,26.2,clear
107,Mustard,Bindki,2016-01-02,3830.0,22.0,22.5,clear
108,Mustard,Fatehpur,2016-01-02,4450.0,3.0,22.5,clear
109,Mustard,Bindki,2016-02-02,3830.0,21.0,22.2,clear
110,Mustard,Fatehpur,2016-02-02,4455.0,3.5,22.2,clear
111,Mustard,Jahanabad,2016-02-02,4150.0,0.0,22.2,clear
112,Mustard,Bindki,2016-03-02,3820.0,22.5,30.2,clear
113,Mustard,Fatehpur,2016-03-02,4460.0,2.0,30.2,clear
114,Mustard,Jahanabad,2016-03-02,4160.0,0.0,30.2,clear
115,Mustard,Bindki,2016-04-02,3825.0,19.0,37.2,clear
116,Mustard,Jahanabad,2016-04-02,4180.0,0.0,37.2,clear
117,Mustard,Bindki,2016-05-02,3800.0,16.0,41.2,clear
118,Mustard,Fatehpur,2016-05-02,4415.0,3.0,41.2,clear
119,Mustard,Jahanabad,2016-05-02,4180.0,0.0,41.2,clear
120,Mustard,Bindki,2016-07-02,3780.0,15.0,30.2,clear
121,Mustard,Fatehpur,2016-07-02,4425.0,3.0,30.2,clear
122,Mustard,Bindki,2016-08-02,3770.0,14.0,32.2,clear
123,Mustard,Fatehpur,2016-08-02,4430.0,3.5,32.2,clear
124,Mustard,Bindki,2016-09-02,3750.0,13.0,32.2,clear
125,Mustard,Fatehpur,2016-09-02,4435.0,2.0,32.2,clear
126,Mustard,Jahanabad,2016-09-02,4250.0,0.0,32.2,clear
127,Mustard,Bindki,2016-10-02,3760.0,17.0,33.2,clear
128,Mustard,Fatehpur,2016-10-02,4395.0,3.0,33.2,clear
129,Mustard,Jahanabad,2016-10-02,4270.0,0.0,33.2,clear
130,Mustard,Bindki,2016-11-02,3770.0,20.0,21.2,clear
131,Mustard,Jahanabad,2016-11-02,9900.0,0.0,21.2,clear
132,Mustard,Bindki,2016-12-02,3785.0,19.0,20.2,clear
133,Mustard,Jahanabad,2016-12-02,4300.0,0.0,20.2,clear
134,Mustard,Bindki,2016-02-14,3770.0,25.0,26.2,clear
135,Mustard,Jahanabad,2016-02-14,4330.0,0.0,26.2,clear
136,Mustard,Bindki,2016-02-15,3775.0,22.5,26.2,clear
137,Mustard,Fatehpur,2016-02-15,4385.0,3.5,26.2,clear
138,Mustard,Bindki,2016-02-16,3765.0,20.0,19.2,clear
139,Mustard,Fatehpur,2016-02-16,4380.0,2.5,19.2,clear
140,Mustard,Jahanabad,2016-02-16,4330.0,0.0,19.2,clear
141,Mustard,Bindki,2016-02-17,3770.0,28.0,25.2,clear
142,Mustard,Fatehpur,2016-02-17,4350.0,3.0,25.2,clear
143,Mustard,Jahanabad,2016-02-17,4350.0,0.0,25.2,clear
144,Mustard,Bindki,2016-02-18,3770.0,22.0,27.2,clear
145,Mustard,Jahanabad,2016-02-18,4400.0,0.0,27.2,clear
146,Mustard,Bindki,2016-02-19,3775.0,20.0,29.2,clear
147,Mustard,Fatehpur,2016-02-19,4360.0,2.5,29.2,clear
148,Mustard,Bindki,2016-02-21,3770.0,45.0,26.2,clear
149,Mustard,Fatehpur,2016-02-21,4335.0,2.0,26.2,clear
150,Mustard,Jahanabad,2016-02-21,4380.0,0.0,26.2,clear
151,Mustard,Bindki,2016-02-22,3765.0,30.0,25.2,clear
152,Mustard,Fatehpur,2016-02-22,4340.0,2.2,25.2,clear
153,Mustard,Bindki,2016-02-23,7770.0,27.0,26.2,clear
154,Mustard,Fatehpur,2016-02-23,4350.0,3.0,26.2,clear
155,Mustard,Jahanabad,2016-02-23,4400.0,0.0,26.2,clear
156,Mustard,Bindki,2016-02-24,3765.0,30.0,28.2,clear
157,Mustard,Fatehpur,2016-02-24,4360.0,4.0,28.2,clear
158,Mustard,Bindki,2016-02-25,3770.0,28.0,27.2,clear
159,Mustard,Bindki,2016-02-26,3760.0,20.0,27.2,clear
160,Mustard,Fatehpur,2016-02-26,4350.0,3.0,27.2,clear
161,Mustard,Bindki,2016-02-28,3765.0,28.0,28.2,clear
162,Mustard,Fatehpur,2016-02-28,4335.0,3.5,28.2,clear
163,Mustard,Bindki,2016-02-29,3780.0,21.0,29.2,clear
164,Mustard,Fatehpur,2016-02-29,4340.0,4.0,29.2,clear
165,Mustard,Bindki,2016-01-03,3760.0,21.5,12.2,clear
166,Mustard,Fatehpur,2016-01-03,4335.0,5.0,12.2,clear
167,Mustard,Bindki,2016-02-03,3770.0,30.0,21.2,clear
168,Mustard,Bindki,2016-06-03,3760.0,30.0,39.2,clear
169,Mustard,Fatehpur,2016-06-03,4320.0,6.0,39.2,clear
170,Mustard,Jahanabad,2016-06-03,4340.0,1.2,39.2,clear
171,Mustard,Bindki,2016-07-03,3770.0,26.0,29.2,clear
172,Mustard,Fatehpur,2016-07-03,4325.0,5.0,29.2,clear
173,Mustard,Bindki,2016-08-03,3770.0,25.0,32.2,clear
174,Mustard,Fatehpur,2016-08-03,4330.0,6.5,32.2,clear
175,Mustard,Jahanabad,2016-08-03,4350.0,1.2,32.2,clear
176,Mustard,Bindki,2016-09-03,3775.0,36.0,33.2,clear
177,Mustard,Fatehpur,2016-09-03,4335.0,6.0,33.2,clear
178,Mustard,Jahanabad,2016-09-03,4340.0,1.2,33.2,clear
179,Mustard,Bindki,2016-10-03,3785.0,31.0,33.2,clear
180,Mustard,Jahanabad,2016-10-03,4300.0,1.5,33.2,clear
181,Mustard,Bindki,2016-11-03,3780.0,28.0,27.2,clear
182,Mustard,Fatehpur,2016-11-03,4290.0,5.0,27.2,clear
183,Mustard,Jahanabad,2016-11-03,4300.0,1.2,27.2,clear
184,Mustard,Bindki,2016-03-13,3785.0,31.0,30.2,clear
185,Mustard,Fatehpur,2016-03-13,4280.0,3.5,30.2,clear
186,Mustard,Jahanabad,2016-03-13,4250.0,1.2,30.2,clear
187,Mustard,Bindki,2016-03-14,3790.0,26.0,27.2,clear
188,Mustard,Fatehpur,2016-03-14,4275.0,4.0,27.2,clear
189,Mustard,Bindki,2016-03-15,3780.0,24.0,26.2,clear
190,Mustard,Fatehpur,2016-03-15,4260.0,3.5,26.2,clear
191,Mustard,Jahanabad,2016-03-15,4260.0,1.2,26.2,clear
192,Mustard,Khaga,2016-03-15,4300.0,1.0,26.2,clear
193,Mustard,Bindki,2016-03-16,3765.0,35.0,28.2,clear
194,Mustard,Fatehpur,2016-03-16,4250.0,4.0,28.2,clear
195,Mustard,Bindki,2016-03-17,3770.0,20.0,30.2,clear
196,Mustard,Bindki,2016-03-18,3750.0,17.5,31.2,clear
197,Mustard,Fatehpur,2016-03-18,4255.0,4.5,31.2,clear
198,Mustard,Jahanabad,2016-03-18,4240.0,1.2,31.2,clear
199,Mustard,Bindki,2016-03-21,3775.0,25.0,32.2,clear
200,Mustard,Fatehpur,2016-03-21,4225.0,4.0,32.2,clear
201,Mustard,Bindki,2016-03-22,3765.0,30.0,30.2,clear
202,Mustard,Bindki,2016-03-23,3770.0,32.0,31.2,clear
203,Mustard,Jahanabad,2016-03-23,4180.0,1.4,31.2,clear
204,Mustard,Bindki,2016-03-24,3780.0,35.0,33.2,clear
205,Mustard,Bindki,2016-03-27,3770.0,30.0,32.2,clear
206,Mustard,Fatehpur,2016-03-27,3840.0,2.0,32.2,clear
207,Mustard,Jahanabad,2016-03-27,4080.0,1.2,32.2,clear
208,Mustard,Bindki,2016-03-28,3760.0,25.0,33.2,clear
209,Mustard,Fatehpur,2016-03-28,3830.0,1.5,33.2,clear
210,Mustard,Bindki,2016-03-29,3765.0,23.0,26.2,clear
211,Mustard,Fatehpur,2016-03-29,3820.0,2.0,26.2,clear
212,Mustard,Bindki,2016-03-30,3765.0,21.0,32.2,clear
213,Mustard,Jahanabad,2016-03-30,4000.0,1.5,32.2,clear
214,Mustard,Bindki,2016-03-31,3775.0,23.0,35.2,clear
215,Mustard,Jahanabad,2016-03-31,4050.0,1.5,35.2,clear
216,Mustard,Bindki,2016-01-04,3770.0,38.0,20.2,clear
217,Mustard,Fatehpur,2016-01-04,3800.0,3.5,20.2,clear
218,Mustard,Jahanabad,2016-01-04,4030.0,1.2,20.2,clear
219,Mustard,Bindki,2016-03-04,3775.0,40.0,32.2,clear
220,Mustard,Fatehpur,2016-03-04,3800.0,6.0,32.2,clear
221,Mustard,Jahanabad,2016-03-04,4020.0,1.4,32.2,clear
222,Mustard,Bindki,2016-04-04,3770.0,36.0,37.2,clear
223,Mustard,Fatehpur,2016-04-04,3800.0,4.0,37.2,clear
224,Mustard,Bindki,2016-05-04,3760.0,38.0,37.2,clear
225,Mustard,Fatehpur,2016-05-04,3805.0,6.0,37.2,clear
226,Mustard,Jahanabad,2016-05-04,4000.0,1.2,37.2,clear
227,Mustard,Bindki,2016-06-04,3770.0,30.0,40.2,clear
228,Mustard,Jahanabad,2016-06-04,4020.0,1.4,40.2,clear
229,Mustard,Bindki,2016-07-04,3775.0,38.0,29.2,clear
230,Mustard,Jahanabad,2016-07-04,4030.0,1.5,29.2,clear
