,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Madhoganj,2015-12-08,3750.0,15.0,24.0,clear
1,Mustard,Hardoi,2015-12-08,3860.0,3.0,24.0,clear
2,Mustard,Madhoganj,2015-12-08,3800.0,9.0,24.0,clear
3,Groundnut,Madhoganj,2015-12-10,4500.0,14.0,16.5,clear
4,Mustard,Hardoi,2015-12-10,3850.0,6.0,16.5,clear
5,Mustard,Madhoganj,2015-12-10,3825.0,7.5,16.5,clear
6,Groundnut,Madhoganj,2015-12-13,3680.0,18.0,20.5,clear
7,Mustard,Madhoganj,2015-12-13,4360.0,4.0,20.5,clear
8,Groundnut,Madhoganj,2015-12-14,3750.0,16.0,20.0,clear
9,Mustard,Madhoganj,2015-12-14,4320.0,6.0,20.0,clear
10,Groundnut,Madhoganj,2015-12-15,3800.0,14.0,19.0,clear
11,Mustard,Hardoi,2015-12-15,4500.0,4.5,19.0,clear
12,Mustard,Madhoganj,2015-12-15,4350.0,4.0,19.0,clear
13,Groundnut,Madhoganj,2015-12-16,3815.0,12.5,19.0,clear
14,Mustard,Hardoi,2015-12-16,4500.0,4.0,19.0,clear
15,Mustard,Madhoganj,2015-12-16,4400.0,3.8,19.0,clear
16,Groundnut,Madhoganj,2015-12-17,3840.0,16.0,20.5,clear
17,Mustard,Madhoganj,2015-12-17,4350.0,4.2,20.5,clear
18,Groundnut,Madhoganj,2015-12-18,3925.0,14.5,20.5,clear
19,Mustard,Madhoganj,2015-12-18,4320.0,3.8,20.5,clear
20,Groundnut,Madhoganj,2015-12-20,4000.0,12.0,20.0,clear
21,Mustard,Madhoganj,2015-12-20,4350.0,3.2,20.0,clear
22,Groundnut,Madhoganj,2015-12-21,4000.0,14.0,18.5,clear
23,Mustard,Hardoi,2015-12-21,4500.0,3.8,18.5,clear
24,Mustard,Madhoganj,2015-12-21,4360.0,2.8,18.5,clear
25,Groundnut,Madhoganj,2015-12-22,4000.0,12.5,19.0,clear
26,Mustard,Madhoganj,2015-12-22,4325.0,3.4,19.0,clear
27,Groundnut,Madhoganj,2015-12-23,4000.0,16.0,19.0,clear
28,Mustard,Madhoganj,2015-12-23,4350.0,3.1,19.0,clear
29,Groundnut,Madhoganj,2015-12-24,4025.0,12.0,19.0,clear
30,Mustard,Madhoganj,2015-12-24,4350.0,4.5,19.0,clear
31,Groundnut,Madhoganj,2015-12-25,4025.0,14.5,19.0,clear
32,Mustard,Madhoganj,2015-12-25,4320.0,6.0,19.0,clear
33,Groundnut,Madhoganj,2015-12-27,4040.0,12.5,19.0,clear
34,Mustard,Madhoganj,2015-12-27,4320.0,5.0,19.0,clear
35,Groundnut,Madhoganj,2015-12-28,4075.0,11.0,10.5,clear
36,Mustard,Hardoi,2015-12-28,4500.0,4.8,10.5,clear
37,Mustard,Madhoganj,2015-12-28,4300.0,6.5,10.5,clear
38,Groundnut,Madhoganj,2015-12-29,4075.0,12.5,19.0,clear
39,Mustard,Hardoi,2015-12-29,4500.0,4.8,19.0,clear
40,Mustard,Madhoganj,2015-12-29,4300.0,4.0,19.0,clear
41,Groundnut,Madhoganj,2015-12-30,4050.0,14.0,22.0,clear
42,Mustard,Hardoi,2015-12-30,4500.0,5.0,22.0,clear
43,Mustard,Madhoganj,2015-12-30,4320.0,3.0,22.0,clear
44,Groundnut,Madhoganj,2015-12-31,4050.0,12.0,23.5,clear
45,Mustard,Madhoganj,2015-12-31,4340.0,2.0,23.5,clear
46,Mustard,Hardoi,2015-12-09,3750.0,4.0,24.0,clear
47,Mustard,Hardoi,2015-12-19,4400.0,4.0,20.5,clear
48,Groundnut,Madhoganj,2016-01-01,4050.0,10.5,22.5,clear
49,Mustard,Madhoganj,2016-01-01,4340.0,3.5,22.5,clear
50,Groundnut,Madhoganj,2016-03-01,4025.0,12.5,29.0,clear
51,Mustard,Madhoganj,2016-03-01,4300.0,4.0,29.0,clear
52,Groundnut,Madhoganj,2016-04-01,4075.0,9.0,37.0,clear
53,Mustard,Madhoganj,2016-04-01,4310.0,2.0,37.0,clear
54,Groundnut,Madhoganj,2016-05-01,4075.0,11.5,42.0,clear
55,Mustard,Madhoganj,2016-05-01,4325.0,2.5,42.0,clear
56,Groundnut,Madhoganj,2016-06-01,4100.0,8.5,38.5,clear
57,Mustard,Madhoganj,2016-06-01,4300.0,4.0,38.5,clear
58,Groundnut,Madhoganj,2016-08-01,4100.0,16.5,28.5,clear
59,Mustard,Madhoganj,2016-08-01,4320.0,4.5,28.5,clear
60,Groundnut,Madhoganj,2016-10-01,4150.0,15.0,29.5,clear
61,Mustard,Madhoganj,2016-10-01,4340.0,2.5,29.5,clear
62,Groundnut,Madhoganj,2016-11-01,4140.0,16.5,31.5,clear
63,Mustard,Hardoi,2016-11-01,4520.0,5.3,31.5,clear
64,Mustard,Madhoganj,2016-11-01,4350.0,3.5,31.5,clear
65,Groundnut,Madhoganj,2016-12-01,4125.0,18.0,21.0,clear
66,Mustard,Hardoi,2016-12-01,4530.0,4.0,21.0,clear
67,Mustard,Madhoganj,2016-12-01,4340.0,2.5,21.0,clear
68,Groundnut,Madhoganj,2016-01-13,4150.0,16.0,23.0,clear
69,Mustard,Hardoi,2016-01-13,4540.0,4.5,23.0,clear
70,Mustard,Madhoganj,2016-01-13,4350.0,4.0,23.0,clear
71,Groundnut,Madhoganj,2016-01-14,4200.0,14.0,22.5,clear
72,Mustard,Madhoganj,2016-01-14,4370.0,2.5,22.5,clear
73,Groundnut,Madhoganj,2016-01-15,4200.0,19.0,18.1,clear
74,Mustard,Madhoganj,2016-01-15,4380.0,4.0,18.1,clear
75,Groundnut,Madhoganj,2016-01-17,4200.0,16.0,17.0,clear
76,Mustard,Madhoganj,2016-01-17,4400.0,2.5,17.0,clear
77,Groundnut,Madhoganj,2016-01-18,4200.0,15.0,18.0,clear
78,Mustard,Madhoganj,2016-01-18,4400.0,3.0,18.0,clear
79,Groundnut,Madhoganj,2016-01-19,4210.0,12.0,9.0,clear
80,Mustard,Madhoganj,2016-01-19,4400.0,4.0,9.0,clear
81,Groundnut,Madhoganj,2016-01-20,4125.0,16.0,13.5,clear
82,Mustard,Hardoi,2016-01-20,4500.0,3.8,13.5,clear
83,Mustard,Madhoganj,2016-01-20,4410.0,3.0,13.5,clear
84,Groundnut,Madhoganj,2016-01-21,4150.0,14.5,14.5,clear
85,Mustard,Madhoganj,2016-01-21,4425.0,2.0,14.5,clear
86,Groundnut,Madhoganj,2016-01-22,4150.0,16.0,16.5,clear
87,Mustard,Madhoganj,2016-01-22,4400.0,4.0,16.5,clear
88,Groundnut,Madhoganj,2016-01-24,4170.0,14.0,18.5,clear
89,Mustard,Madhoganj,2016-01-24,4410.0,2.5,18.5,clear
90,Groundnut,Madhoganj,2016-01-25,4150.0,19.0,19.0,clear
91,Mustard,Hardoi,2016-01-25,4550.0,4.5,19.0,clear
92,Mustard,Madhoganj,2016-01-25,4410.0,2.0,19.0,clear
93,Groundnut,Madhoganj,2016-01-27,4200.0,15.0,22.5,clear
94,Mustard,Hardoi,2016-01-27,4600.0,4.0,22.5,clear
95,Mustard,Madhoganj,2016-01-27,4320.0,4.0,22.5,clear
96,Groundnut,Madhoganj,2016-01-28,4200.0,16.5,22.5,clear
97,Mustard,Hardoi,2016-01-28,4600.0,6.5,22.5,clear
98,Mustard,Madhoganj,2016-01-28,4350.0,3.0,22.5,clear
99,Groundnut,Madhoganj,2016-01-29,4120.0,12.0,23.5,clear
100,Mustard,Hardoi,2016-01-29,4600.0,4.5,23.5,clear
101,Mustard,Madhoganj,2016-01-29,4370.0,2.5,23.5,clear
102,Groundnut,Madhoganj,2016-01-31,4200.0,10.0,25.5,clear
103,Mustard,Madhoganj,2016-01-31,4400.0,2.0,25.5,clear
104,Groundnut,Madhoganj,2016-02-02,4125.0,10.5,21.5,clear
105,Mustard,Hardoi,2016-02-02,4600.0,4.0,21.5,clear
106,Mustard,Madhoganj,2016-02-02,4370.0,4.0,21.5,clear
107,Groundnut,Madhoganj,2016-03-02,4175.0,8.0,29.5,clear
108,Mustard,Hardoi,2016-03-02,4600.0,4.8,29.5,clear
109,Mustard,Madhoganj,2016-03-02,4340.0,6.0,29.5,clear
110,Groundnut,Madhoganj,2016-04-02,4125.0,12.0,38.0,clear
111,Mustard,Hardoi,2016-04-02,4500.0,4.2,38.0,clear
112,Mustard,Madhoganj,2016-04-02,4340.0,4.0,38.0,clear
113,Groundnut,Madhoganj,2016-05-02,4150.0,8.0,42.5,clear
114,Mustard,Hardoi,2016-05-02,4400.0,4.0,42.5,clear
115,Mustard,Madhoganj,2016-05-02,4350.0,2.0,42.5,clear
116,Groundnut,Madhoganj,2016-07-02,4125.0,11.0,30.5,clear
117,Mustard,Madhoganj,2016-07-02,4300.0,3.5,30.5,clear
118,Groundnut,Madhoganj,2016-08-02,4125.0,7.0,31.5,clear
119,Mustard,Hardoi,2016-08-02,4280.0,4.5,31.5,clear
120,Mustard,Madhoganj,2016-08-02,4270.0,4.0,31.5,clear
121,Groundnut,Madhoganj,2016-09-02,4120.0,9.0,31.5,clear
122,Mustard,Hardoi,2016-09-02,4260.0,6.8,31.5,clear
123,Mustard,Madhoganj,2016-09-02,4240.0,3.0,31.5,clear
124,Groundnut,Madhoganj,2016-10-02,4100.0,12.0,30.5,clear
125,Mustard,Madhoganj,2016-10-02,4250.0,4.0,30.5,clear
126,Groundnut,Madhoganj,2016-11-02,4050.0,14.0,19.5,clear
127,Mustard,Hardoi,2016-11-02,4240.0,6.0,19.5,clear
128,Mustard,Madhoganj,2016-11-02,4200.0,5.0,19.5,clear
129,Groundnut,Madhoganj,2016-02-21,4175.0,9.0,26.0,clear
130,Mustard,Madhoganj,2016-02-21,4160.0,3.0,26.0,clear
131,Groundnut,Madhoganj,2016-02-22,4200.0,6.5,28.0,clear
132,Mustard,Hardoi,2016-02-22,4260.0,4.6,28.0,clear
133,Mustard,Madhoganj,2016-02-22,4175.0,2.5,28.0,clear
134,Groundnut,Madhoganj,2016-02-23,4150.0,7.5,27.0,clear
135,Mustard,Hardoi,2016-02-23,4270.0,4.0,27.0,clear
136,Mustard,Madhoganj,2016-02-23,4150.0,5.0,27.0,clear
137,Groundnut,Madhoganj,2016-02-24,4100.0,9.0,28.0,clear
138,Mustard,Madhoganj,2016-02-24,4125.0,3.0,28.0,clear
139,Groundnut,Madhoganj,2016-02-25,4050.0,12.5,28.0,clear
140,Mustard,Madhoganj,2016-02-25,4110.0,5.0,28.0,clear
141,Groundnut,Madhoganj,2016-02-26,4060.0,14.0,27.5,clear
142,Mustard,Madhoganj,2016-02-26,3950.0,6.5,27.5,clear
143,Groundnut,Madhoganj,2016-02-28,4200.0,11.0,28.5,clear
144,Mustard,Madhoganj,2016-02-28,3850.0,7.5,28.5,clear
145,Groundnut,Madhoganj,2016-02-29,4250.0,7.0,29.0,clear
146,Mustard,Madhoganj,2016-02-29,3750.0,11.0,29.0,clear
147,Groundnut,Madhoganj,2016-01-03,4200.0,9.0,13.5,clear
148,Mustard,Hardoi,2016-01-03,3700.0,3.6,13.5,clear
149,Mustard,Madhoganj,2016-01-03,3700.0,9.0,13.5,clear
150,Groundnut,Madhoganj,2016-02-03,4200.0,11.5,21.5,clear
151,Mustard,Hardoi,2016-02-03,3700.0,5.2,21.5,clear
152,Mustard,Madhoganj,2016-02-03,3700.0,11.0,21.5,clear
153,Groundnut,Madhoganj,2016-03-03,4250.0,7.0,31.5,clear
154,Mustard,Hardoi,2016-03-03,3700.0,3.2,31.5,clear
155,Mustard,Madhoganj,2016-03-03,3710.0,14.0,31.5,clear
156,Groundnut,Madhoganj,2016-04-03,4215.0,9.0,38.0,clear
157,Mustard,Hardoi,2016-04-03,4100.0,4.0,38.0,clear
158,Mustard,Madhoganj,2016-04-03,3725.0,9.0,38.0,clear
159,Groundnut,Madhoganj,2016-06-03,4250.0,7.0,42.0,clear
160,Mustard,Madhoganj,2016-06-03,3750.0,8.0,42.0,clear
161,Groundnut,Madhoganj,2016-07-03,4250.0,6.0,32.5,clear
162,Mustard,Hardoi,2016-07-03,4000.0,4.2,32.5,clear
163,Mustard,Madhoganj,2016-07-03,3750.0,11.5,32.5,clear
164,Groundnut,Madhoganj,2016-08-03,4210.0,9.5,32.0,clear
165,Mustard,Hardoi,2016-08-03,4000.0,4.0,32.0,clear
166,Mustard,Madhoganj,2016-08-03,3700.0,14.0,32.0,clear
167,Groundnut,Madhoganj,2016-09-03,4225.0,11.5,30.5,clear
168,Mustard,Hardoi,2016-09-03,3900.0,8.5,30.5,clear
169,Mustard,Madhoganj,2016-09-03,3725.0,10.5,30.5,clear
170,Groundnut,Madhoganj,2016-10-03,4250.0,7.5,33.0,clear
171,Mustard,Hardoi,2016-10-03,3800.0,18.0,33.0,clear
172,Mustard,Madhoganj,2016-10-03,3680.0,12.5,33.0,clear
173,Groundnut,Madhoganj,2016-11-03,4275.0,4.5,27.5,clear
174,Mustard,Hardoi,2016-11-03,3750.0,6.0,27.5,clear
175,Mustard,Madhoganj,2016-11-03,3675.0,13.5,27.5,clear
