,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Jhijhank,2015-11-27,4100.0,16.0,25.4,clear
1,Mustard,Kanpur(Grain),2015-11-27,4450.0,20.0,25.4,clear
2,Mustard,Pukhrayan,2015-11-27,4050.0,1.5,25.4,clear
3,Mustard,Rura,2015-11-27,4120.0,2.8,25.4,clear
4,Mustard,Kanpur(Grain),2015-12-01,3325.0,65.0,18.2,clear
5,Mustard,Rura,2015-12-01,3280.0,2.2,18.2,clear
6,Mustard,Kanpur(Grain),2015-12-02,3345.0,165.0,24.0,clear
7,Mustard,Pukhrayan,2015-12-02,3200.0,3.0,24.0,clear
8,Mustard,Rura,2015-12-02,3270.0,4.0,24.0,clear
9,Mustard,Kanpur(Grain),2015-12-05,3560.0,35.0,22.4,clear
10,Mustard,Pukhrayan,2015-12-05,3340.0,5.0,22.4,clear
11,Mustard,Rura,2015-12-05,3260.0,3.0,22.4,clear
12,Mustard,Kanpur(Grain),2015-12-06,3700.0,35.0,22.4,clear
13,Mustard,Pukhrayan,2015-12-06,3620.0,2.0,22.4,clear
14,Mustard,Rura,2015-12-06,3625.0,2.5,22.4,clear
15,Mustard,Kanpur(Grain),2015-12-08,3850.0,55.0,21.6,clear
16,Mustard,Pukhrayan,2015-12-08,3765.0,3.6,21.6,clear
17,Mustard,Rura,2015-12-08,3780.0,3.0,21.6,clear
18,Mustard,Kanpur(Grain),2015-12-09,3985.0,50.0,21.4,clear
19,Mustard,Pukhrayan,2015-12-09,3850.0,1.0,21.4,clear
20,Mustard,Rura,2015-12-09,3820.0,2.0,21.4,clear
21,Mustard,Kanpur(Grain),2015-12-10,3985.0,55.0,17.6,clear
22,Mustard,Rura,2015-12-10,3830.0,2.6,17.6,clear
23,Mustard,Kanpur(Grain),2015-11-18,4180.0,45.0,25.0,clear
24,Mustard,Pukhrayan,2015-11-18,4070.0,3.0,25.0,clear
25,Mustard,Rura,2015-11-18,4110.0,2.5,25.0,clear
26,Mustard,Kanpur(Grain),2015-11-19,4250.0,40.0,25.0,clear
27,Mustard,Pukhrayan,2015-11-19,4080.0,3.0,25.0,clear
28,Mustard,Rura,2015-11-19,4120.0,2.2,25.0,clear
29,Mustard,Kanpur(Grain),2015-11-20,4225.0,42.0,26.4,clear
30,Mustard,Pukhrayan,2015-11-20,4065.0,3.5,26.4,clear
31,Mustard,Rura,2015-11-20,4120.0,2.2,26.4,clear
32,Mustard,Kanpur(Grain),2015-11-21,4250.0,35.0,25.0,clear
33,Mustard,Pukhrayan,2015-11-21,4070.0,4.0,25.0,clear
34,Mustard,Rura,2015-11-21,4140.0,2.4,25.0,clear
35,Mustard,Kanpur(Grain),2015-11-23,4300.0,32.0,26.6,clear
36,Mustard,Rura,2015-11-23,4150.0,2.2,26.6,clear
37,Mustard,Kanpur(Grain),2015-11-24,4400.0,30.0,25.4,clear
38,Mustard,Rura,2015-11-24,4140.0,2.6,25.4,clear
39,Mustard,Kanpur(Grain),2015-11-25,4365.0,28.0,25.0,clear
40,Mustard,Pukhrayan,2015-11-25,4070.0,3.5,25.0,clear
41,Mustard,Rura,2015-11-25,4130.0,2.0,25.0,clear
42,Mustard,Kanpur(Grain),2015-11-28,4460.0,30.0,24.2,clear
43,Mustard,Rura,2015-11-28,4110.0,2.5,24.2,clear
44,Mustard,Kanpur(Grain),2015-11-30,4475.0,28.0,28.8,clear
45,Mustard,Kanpur(Grain),2015-12-12,4425.0,36.0,14.6,clear
46,Mustard,Rura,2015-12-12,4310.0,2.5,14.6,clear
47,Mustard,Kanpur(Grain),2015-12-14,4485.0,30.0,18.4,clear
48,Mustard,Rura,2015-12-14,4320.0,2.4,18.4,clear
49,Mustard,Kanpur(Grain),2015-12-15,4480.0,40.0,18.6,clear
50,Mustard,Pukhrayan,2015-12-15,4340.0,1.5,18.6,clear
51,Mustard,Rura,2015-12-15,4330.0,2.2,18.6,clear
52,Mustard,Kanpur(Grain),2015-12-16,4450.0,50.0,18.8,clear
53,Mustard,Rura,2015-12-16,4340.0,2.0,18.8,clear
54,Mustard,Kanpur(Grain),2015-12-17,4460.0,70.0,19.0,clear
55,Mustard,Pukhrayan,2015-12-17,4350.0,1.0,19.0,clear
56,Mustard,Rura,2015-12-17,4330.0,2.6,19.0,clear
57,Mustard,Kanpur(Grain),2015-12-18,4450.0,60.0,19.0,clear
58,Mustard,Pukhrayan,2015-12-18,4340.0,1.5,19.0,clear
59,Mustard,Rura,2015-12-18,4350.0,2.5,19.0,clear
60,Mustard,Kanpur(Grain),2015-12-19,4475.0,55.0,19.4,clear
61,Mustard,Pukhrayan,2015-12-19,4320.0,2.0,19.4,clear
62,Mustard,Rura,2015-12-19,4360.0,2.4,19.4,clear
63,Mustard,Kanpur(Grain),2015-12-21,4380.0,50.0,18.4,clear
64,Mustard,Rura,2015-12-21,4350.0,2.8,18.4,clear
65,Mustard,Kanpur(Grain),2015-12-22,4400.0,40.0,18.8,clear
66,Mustard,Pukhrayan,2015-12-22,4330.0,1.5,18.8,clear
67,Mustard,Rura,2015-12-22,4340.0,2.6,18.8,clear
68,Mustard,Kanpur(Grain),2015-12-23,4425.0,38.0,19.0,clear
69,Mustard,Pukhrayan,2015-12-23,4325.0,1.0,19.0,clear
70,Mustard,Rura,2015-12-23,4350.0,2.0,19.0,clear
71,Mustard,Kanpur(Grain),2015-12-24,4415.0,42.0,18.6,clear
72,Mustard,Pukhrayan,2015-12-24,4320.0,1.5,18.6,clear
73,Mustard,Rura,2015-12-24,4340.0,2.2,18.6,clear
74,Mustard,Kanpur(Grain),2015-12-25,4385.0,55.0,18.6,clear
75,Mustard,Pukhrayan,2015-12-25,4315.0,2.0,18.6,clear
76,Mustard,Rura,2015-12-25,4330.0,2.5,18.6,clear
77,Mustard,Kanpur(Grain),2015-12-26,4385.0,45.0,20.2,clear
78,Mustard,Pukhrayan,2015-12-26,4310.0,2.0,20.2,clear
79,Mustard,Rura,2015-12-26,4320.0,2.8,20.2,clear
80,Mustard,Kanpur(Grain),2015-12-29,4350.0,50.0,23.0,clear
81,Mustard,Pukhrayan,2015-12-29,4310.0,1.5,23.0,clear
82,Mustard,Rura,2015-12-29,4310.0,2.5,23.0,clear
83,Mustard,Kanpur(Grain),2015-12-30,4350.0,65.0,23.2,clear
84,Mustard,Pukhrayan,2015-12-30,4320.0,1.0,23.2,clear
85,Mustard,Rura,2015-12-30,4300.0,2.8,23.2,clear
86,Mustard,Kanpur(Grain),2015-12-31,4340.0,70.0,21.8,clear
87,Mustard,Pukhrayan,2015-12-03,3240.0,3.5,20.4,clear
88,Mustard,Rura,2015-12-03,3270.0,3.5,20.4,clear
89,Mustard,Pukhrayan,2015-12-04,3320.0,2.5,22.0,clear
90,Mustard,Pukhrayan,2015-11-29,4060.0,2.5,26.2,clear
91,Mustard,Pukhrayan,2015-12-13,4345.0,1.2,17.6,clear
92,Mustard,Pukhrayan,2015-12-20,4310.0,2.5,19.6,clear
93,Mustard,Pukhrayan,2015-12-27,4310.0,1.0,21.6,clear
94,Mustard,Choubepur,2016-01-06,4015.0,10.0,23.2,clear
95,Mustard,Kanpur(Grain),2016-01-06,4180.0,70.0,23.2,clear
96,Mustard,Pukhrayan,2016-01-06,4070.0,2.0,23.2,clear
97,Mustard,Rura,2016-01-06,3940.0,3.2,23.2,clear
98,Mustard,Varipaal,2016-01-06,4060.0,15.0,23.2,clear
99,Mustard,Choubepur,2016-06-30,4100.0,10.0,37.6,clear
100,Mustard,Kanpur(Grain),2016-06-30,4200.0,70.0,37.6,clear
101,Mustard,Pukhrayan,2016-06-30,4260.0,2.5,37.6,clear
102,Mustard,Choubepur,2016-07-29,4200.0,10.0,29.0,clear
103,Mustard,Kanpur(Grain),2016-07-29,4370.0,70.0,29.0,clear
104,Mustard,Pukhrayan,2016-07-29,4350.0,2.5,29.0,clear
105,Mustard,Rura,2016-07-29,4250.0,2.5,29.0,clear
106,Mustard,Varipaal,2016-07-29,4300.0,25.0,29.0,clear
107,Mustard,Choubepur,2016-08-26,4250.0,4.0,31.4,clear
108,Mustard,Jhijhank,2016-08-26,4290.0,16.5,31.4,clear
109,Mustard,Kanpur(Grain),2016-08-26,4400.0,65.0,31.4,clear
110,Mustard,Pukhrayan,2016-08-26,4350.0,2.0,31.4,clear
111,Mustard,Rura,2016-08-26,4300.0,2.6,31.4,clear
112,Mustard,Uttaripura,2016-08-26,4200.0,20.0,31.4,clear
113,Mustard,Varipaal,2016-08-26,4200.0,30.0,31.4,clear
114,Mustard,Choubepur,2016-10-14,4250.0,3.5,30.0,clear
115,Mustard,Kanpur(Grain),2016-10-14,4370.0,70.0,30.0,clear
116,Mustard,Pukhrayan,2016-10-14,4300.0,2.0,30.0,clear
117,Mustard,Choubepur,2016-10-15,4250.0,2.5,31.4,clear
118,Mustard,Kanpur(Grain),2016-10-15,4350.0,80.0,31.4,clear
119,Mustard,Pukhrayan,2016-10-15,4400.0,1.5,31.4,clear
120,Mustard,Choubepur,2016-10-17,4225.0,4.0,30.6,clear
121,Mustard,Kanpur(Grain),2016-10-17,4330.0,85.0,30.6,clear
122,Mustard,Pukhrayan,2016-10-17,4400.0,1.0,30.6,clear
123,Mustard,Choubepur,2016-10-18,4275.0,4.5,29.6,clear
124,Mustard,Kanpur(Grain),2016-10-18,4350.0,75.0,29.6,clear
125,Mustard,Pukhrayan,2016-10-18,4300.0,2.0,29.6,clear
126,Mustard,Choubepur,2016-10-19,4250.0,5.0,30.8,clear
127,Mustard,Kanpur(Grain),2016-10-19,4365.0,65.0,30.8,clear
128,Mustard,Pukhrayan,2016-10-19,4250.0,2.5,30.8,clear
129,Mustard,Choubepur,2016-10-20,4250.0,3.5,30.6,clear
130,Mustard,Kanpur(Grain),2016-10-20,4375.0,60.0,30.6,clear
131,Mustard,Pukhrayan,2016-10-20,4300.0,2.0,30.6,clear
132,Mustard,Choubepur,2016-10-21,4225.0,4.0,31.6,clear
133,Mustard,Kanpur(Grain),2016-10-21,4360.0,70.0,31.6,clear
134,Mustard,Pukhrayan,2016-10-21,4350.0,1.5,31.6,clear
135,Mustard,Choubepur,2016-10-22,4250.0,3.5,32.0,clear
136,Mustard,Kanpur(Grain),2016-10-22,4350.0,80.0,32.0,clear
137,Mustard,Pukhrayan,2016-10-22,4300.0,2.5,32.0,clear
138,Mustard,Choubepur,2016-10-24,4270.0,5.0,30.2,clear
139,Mustard,Kanpur(Grain),2016-10-24,4375.0,65.0,30.2,clear
140,Mustard,Choubepur,2016-10-25,4300.0,4.5,30.8,clear
141,Mustard,Kanpur(Grain),2016-10-25,4360.0,75.0,30.8,clear
142,Mustard,Pukhrayan,2016-10-25,4280.0,1.5,30.8,clear
143,Mustard,Choubepur,2016-10-26,4325.0,4.0,30.0,clear
144,Mustard,Kanpur(Grain),2016-10-26,4340.0,80.0,30.0,clear
145,Mustard,Pukhrayan,2016-10-26,4250.0,2.0,30.0,clear
146,Mustard,Choubepur,2016-10-27,4320.0,6.0,31.2,clear
147,Mustard,Jhijhank,2016-10-27,4200.0,9.0,31.2,clear
148,Mustard,Kanpur(Grain),2016-10-27,4350.0,90.0,31.2,clear
149,Mustard,Pukhrayan,2016-10-27,4300.0,1.5,31.2,clear
150,Mustard,Choubepur,2016-10-28,4335.0,6.5,31.4,clear
151,Mustard,Kanpur(Grain),2016-10-28,4325.0,100.0,31.4,clear
152,Mustard,Rura,2016-10-28,4210.0,18.0,31.4,clear
153,Mustard,Choubepur,2016-10-29,4325.0,6.0,31.0,clear
154,Mustard,Kanpur(Grain),2016-10-29,4335.0,85.0,31.0,clear
155,Mustard,Pukhrayan,2016-10-29,4350.0,1.0,31.0,clear
156,Mustard,Choubepur,2016-01-11,4300.0,2.5,22.0,clear
157,Mustard,Pukhrayan,2016-01-11,4400.0,2.0,22.0,clear
158,Mustard,Choubepur,2016-02-11,4300.0,4.0,24.0,clear
159,Mustard,Kanpur(Grain),2016-02-11,4365.0,75.0,24.0,clear
160,Mustard,Pukhrayan,2016-02-11,4400.0,1.5,24.0,clear
161,Mustard,Choubepur,2016-03-11,4310.0,3.5,31.2,clear
162,Mustard,Kanpur(Grain),2016-03-11,4350.0,85.0,31.2,clear
163,Mustard,Pukhrayan,2016-03-11,4300.0,2.0,31.2,clear
164,Mustard,Choubepur,2016-04-11,4325.0,5.0,38.0,clear
165,Mustard,Kanpur(Grain),2016-04-11,4340.0,95.0,38.0,clear
166,Mustard,Pukhrayan,2016-04-11,4350.0,1.5,38.0,clear
167,Mustard,Choubepur,2016-05-11,4300.0,3.0,35.4,clear
168,Mustard,Kanpur(Grain),2016-05-11,4350.0,90.0,35.4,clear
169,Mustard,Pukhrayan,2016-05-11,4400.0,1.5,35.4,clear
170,Mustard,Choubepur,2016-07-11,4325.0,4.5,30.4,clear
171,Mustard,Kanpur(Grain),2016-07-11,4320.0,100.0,30.4,clear
172,Mustard,Choubepur,2016-08-11,4320.0,4.0,32.0,clear
173,Mustard,Kanpur(Grain),2016-08-11,4340.0,90.0,32.0,clear
174,Mustard,Pukhrayan,2016-08-11,4350.0,2.0,32.0,clear
175,Mustard,Choubepur,2016-09-11,4335.0,5.0,32.4,clear
176,Mustard,Kanpur(Grain),2016-09-11,4350.0,95.0,32.4,clear
177,Mustard,Pukhrayan,2016-09-11,4400.0,1.5,32.4,clear
178,Mustard,Choubepur,2016-10-11,4300.0,2.0,26.4,clear
179,Mustard,Kanpur(Grain),2016-10-11,4375.0,85.0,26.4,clear
180,Mustard,Pukhrayan,2016-10-11,4380.0,2.0,26.4,clear
181,Mustard,Choubepur,2016-11-11,4300.0,3.5,26.8,clear
182,Mustard,Kanpur(Grain),2016-11-11,4390.0,80.0,26.8,clear
183,Mustard,Pukhrayan,2016-11-11,4400.0,2.0,26.8,clear
184,Mustard,Choubepur,2016-12-11,4320.0,2.5,24.2,clear
185,Mustard,Kanpur(Grain),2016-12-11,4325.0,75.0,24.2,clear
186,Mustard,Pukhrayan,2016-12-11,4300.0,2.5,24.2,clear
187,Mustard,Choubepur,2016-11-14,4315.0,3.0,26.8,clear
188,Mustard,Kanpur(Grain),2016-11-14,4300.0,85.0,26.8,clear
189,Mustard,Choubepur,2016-11-15,4325.0,4.0,26.0,clear
190,Mustard,Kanpur(Grain),2016-11-15,4300.0,65.0,26.0,clear
191,Mustard,Pukhrayan,2016-11-15,4400.0,2.5,26.0,clear
192,Mustard,Choubepur,2016-11-16,4300.0,3.5,18.6,clear
193,Mustard,Kanpur(Grain),2016-11-16,4280.0,50.0,18.6,clear
194,Mustard,Pukhrayan,2016-11-16,4300.0,1.5,18.6,clear
195,Mustard,Choubepur,2016-11-17,4320.0,4.5,25.4,clear
196,Mustard,Kanpur(Grain),2016-11-17,4250.0,40.0,25.4,clear
197,Mustard,Pukhrayan,2016-11-17,4350.0,1.0,25.4,clear
198,Mustard,Choubepur,2016-11-18,4335.0,5.5,24.6,clear
199,Mustard,Choubepur,2016-11-19,4325.0,4.0,25.0,clear
200,Mustard,Kanpur(Grain),2016-11-19,4260.0,15.0,25.0,clear
201,Mustard,Pukhrayan,2016-11-19,4200.0,2.0,25.0,clear
202,Mustard,Choubepur,2016-11-21,4350.0,4.5,25.2,clear
203,Mustard,Kanpur(Grain),2016-11-21,4250.0,30.0,25.2,clear
204,Mustard,Choubepur,2016-11-22,4360.0,3.5,26.4,clear
205,Mustard,Kanpur(Grain),2016-11-22,4275.0,25.0,26.4,clear
206,Mustard,Pukhrayan,2016-11-22,4260.0,1.5,26.4,clear
207,Mustard,Choubepur,2016-11-23,4350.0,4.0,26.0,clear
208,Mustard,Kanpur(Grain),2016-11-23,4300.0,35.0,26.0,clear
209,Mustard,Pukhrayan,2016-11-23,4250.0,2.0,26.0,clear
210,Mustard,Choubepur,2016-11-24,4300.0,4.5,25.2,clear
211,Mustard,Kanpur(Grain),2016-11-24,4250.0,45.0,25.2,clear
212,Mustard,Pukhrayan,2016-11-24,4300.0,1.5,25.2,clear
213,Mustard,Choubepur,2016-11-25,4300.0,5.0,25.4,clear
214,Mustard,Kanpur(Grain),2016-11-25,4300.0,35.0,25.4,clear
215,Mustard,Pukhrayan,2016-11-25,4250.0,2.0,25.4,clear
216,Mustard,Choubepur,2016-11-26,4250.0,3.5,23.2,clear
217,Mustard,Kanpur(Grain),2016-11-26,4325.0,15.0,23.2,clear
218,Mustard,Pukhrayan,2016-11-26,4200.0,2.5,23.2,clear
219,Mustard,Choubepur,2016-11-28,4275.0,4.0,25.0,clear
220,Mustard,Kanpur(Grain),2016-11-28,4350.0,20.0,25.0,clear
221,Mustard,Choubepur,2016-11-29,4300.0,3.5,28.0,clear
222,Mustard,Kanpur(Grain),2016-11-29,4300.0,25.0,28.0,clear
223,Mustard,Pukhrayan,2016-11-29,4200.0,1.0,28.0,clear
224,Mustard,Choubepur,2016-11-30,4280.0,4.5,22.6,clear
225,Mustard,Kanpur(Grain),2016-11-30,4280.0,30.0,22.6,clear
226,Mustard,Pukhrayan,2016-11-30,4200.0,2.0,22.6,clear
227,Mustard,Choubepur,2016-01-12,4275.0,4.0,22.8,clear
228,Mustard,Kanpur(Grain),2016-01-12,4325.0,25.0,22.8,clear
229,Mustard,Pukhrayan,2016-01-12,4250.0,1.0,22.8,clear
230,Mustard,Choubepur,2016-02-12,4280.0,5.0,25.0,clear
231,Mustard,Kanpur(Grain),2016-02-12,4300.0,35.0,25.0,clear
232,Mustard,Pukhrayan,2016-02-12,4200.0,2.0,25.0,clear
233,Mustard,Choubepur,2016-03-12,4300.0,4.5,28.0,clear
234,Mustard,Kanpur(Grain),2016-03-12,4275.0,25.0,28.0,clear
235,Mustard,Pukhrayan,2016-03-12,4200.0,2.5,28.0,clear
236,Mustard,Choubepur,2016-05-12,4320.0,3.0,38.8,clear
237,Mustard,Kanpur(Grain),2016-05-12,4250.0,30.0,38.8,clear
238,Mustard,Choubepur,2016-06-12,4315.0,4.5,40.4,clear
239,Mustard,Kanpur(Grain),2016-06-12,4280.0,35.0,40.4,clear
240,Mustard,Pukhrayan,2016-06-12,4150.0,3.0,40.4,clear
241,Mustard,Choubepur,2016-07-12,4310.0,5.0,30.4,clear
242,Mustard,Kanpur(Grain),2016-07-12,4315.0,40.0,30.4,clear
243,Mustard,Pukhrayan,2016-07-12,4200.0,1.5,30.4,clear
244,Mustard,Choubepur,2016-08-12,4310.0,4.0,31.0,clear
245,Mustard,Choubepur,2016-09-12,4325.0,4.5,33.2,clear
246,Mustard,Kanpur(Grain),2016-09-12,4280.0,45.0,33.2,clear
247,Mustard,Pukhrayan,2016-09-12,4150.0,2.0,33.2,clear
248,Mustard,Choubepur,2016-10-12,4315.0,3.5,31.4,clear
249,Mustard,Kanpur(Grain),2016-10-12,4265.0,55.0,31.4,clear
250,Mustard,Pukhrayan,2016-10-12,4100.0,2.5,31.4,clear
251,Mustard,Choubepur,2016-12-12,4310.0,4.5,22.0,clear
252,Mustard,Kanpur(Grain),2016-12-12,4300.0,50.0,22.0,clear
253,Mustard,Choubepur,2016-12-13,4320.0,4.0,25.2,clear
254,Mustard,Kanpur(Grain),2016-12-13,4325.0,40.0,25.2,clear
255,Mustard,Pukhrayan,2016-12-13,4100.0,2.5,25.2,clear
256,Mustard,Choubepur,2016-12-14,4310.0,3.5,25.8,clear
257,Mustard,Kanpur(Grain),2016-12-14,4200.0,55.0,25.8,clear
258,Mustard,Pukhrayan,2016-12-14,4150.0,1.5,25.8,clear
259,Mustard,Choubepur,2016-12-15,4300.0,2.5,23.2,clear
260,Mustard,Kanpur(Grain),2016-12-15,4175.0,60.0,23.2,clear
261,Mustard,Pukhrayan,2016-12-15,4100.0,2.5,23.2,clear
262,Mustard,Choubepur,2016-12-17,4310.0,3.5,23.0,clear
263,Mustard,Kanpur(Grain),2016-12-17,4150.0,65.0,23.0,clear
264,Mustard,Pukhrayan,2016-12-17,4150.0,2.5,23.0,clear
265,Mustard,Choubepur,2016-12-19,4300.0,4.5,13.2,clear
