,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Lakhimpur,2015-12-07,3630.0,7.0,22.0,clear
1,Mustard,Lakhimpur,2015-12-08,3850.0,5.0,22.0,clear
2,Mustard,Lakhimpur,2015-12-09,3650.0,10.0,9.4,clear
3,Mustard,Lakhimpur,2015-12-12,4010.0,9.0,19.6,clear
4,Mustard,Lakhimpur,2015-12-15,4020.0,8.0,18.0,clear
5,Mustard,Lakhimpur,2015-12-16,4010.0,10.0,18.6,clear
6,Mustard,Lakhimpur,2015-12-18,4000.0,11.0,20.0,clear
7,Mustard,Lakhimpur,2015-12-19,4010.0,10.0,20.4,clear
8,Mustard,Lakhimpur,2015-12-20,4000.0,10.0,19.4,clear
9,Mustard,Lakhimpur,2015-12-22,4010.0,18.0,19.4,clear
10,Mustard,Lakhimpur,2015-12-23,4010.0,18.0,19.0,clear
11,Mustard,Lakhimpur,2015-12-24,4030.0,17.0,19.2,clear
12,Mustard,Lakhimpur,2015-12-25,4035.0,20.0,19.0,clear
13,Mustard,Lakhimpur,2015-12-26,4035.0,20.0,20.0,clear
14,Mustard,Lakhimpur,2015-12-27,4025.0,25.0,8.0,clear
15,Mustard,Lakhimpur,2015-12-29,4035.0,22.0,22.0,clear
16,Mustard,Lakhimpur,2015-12-30,4050.0,18.0,20.0,clear
17,Mustard,Lakhimpur,2015-12-31,4035.0,20.0,22.0,clear
18,Mustard,Golagokarnath,2016-12-22,4360.0,5.0,20.4,clear
19,Mustard,Lakhimpur,2016-12-22,4334.0,7.0,20.4,clear
20,Mustard,Golagokarnath,2016-12-24,4310.0,5.0,22.4,clear
21,Mustard,Lakhimpur,2016-12-24,4440.0,7.5,22.4,clear
22,Mustard,Lakhimpur,2016-01-01,4020.0,22.0,23.0,clear
23,Mustard,Lakhimpur,2016-02-01,4040.0,20.0,22.8,clear
24,Mustard,Lakhimpur,2016-03-01,4100.0,15.0,27.4,clear
25,Mustard,Lakhimpur,2016-05-01,4150.0,10.0,40.0,clear
26,Mustard,Lakhimpur,2016-06-01,4170.0,9.0,38.0,clear
27,Mustard,Lakhimpur,2016-07-01,4160.0,10.0,35.0,clear
28,Mustard,Lakhimpur,2016-08-01,4150.0,11.0,29.4,clear
