,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Bangarmau,2012-03-01,2825.0,3.0,25.0,clear
1,Mustard,Unnao,2012-03-01,2800.0,0.4,25.0,clear
2,Mustard,Bangarmau,2012-01-17,2880.0,2.5,19.0,clear
3,Mustard,Unnao,2012-01-17,2850.0,0.5,19.0,clear
4,Mustard,Bangarmau,2012-01-24,2850.0,3.0,20.0,clear
5,Mustard,Unnao,2012-01-24,2890.0,0.5,20.0,clear
6,Mustard,Bangarmau,2012-10-04,3000.0,0.5,32.4,clear
7,Mustard,Unnao,2012-10-04,3000.0,0.6,32.4,clear
8,Mustard,Bangarmau,2012-11-04,3000.0,0.4,26.0,clear
9,Mustard,Unnao,2012-11-04,3000.0,0.5,26.0,clear
10,Mustard,Bangarmau,2012-04-14,3020.0,0.2,34.0,clear
11,Mustard,Unnao,2012-04-14,3015.0,0.4,34.0,clear
12,Mustard,Bangarmau,2012-04-16,3000.0,0.4,34.2,clear
13,Mustard,Bangarmau,2012-04-17,3000.0,0.5,36.2,clear
14,Mustard,Unnao,2012-04-17,3015.0,0.5,36.2,clear
15,Mustard,Bangarmau,2012-04-18,3000.0,0.4,34.6,clear
16,Mustard,Unnao,2012-04-18,3050.0,0.5,34.6,clear
17,Mustard,Bangarmau,2012-04-20,3000.0,0.5,38.2,clear
18,Mustard,Unnao,2012-04-20,3050.0,0.5,38.2,clear
19,Mustard,Bangarmau,2012-04-21,3000.0,0.3,35.0,clear
20,Mustard,Unnao,2012-04-21,3070.0,0.5,35.0,clear
21,Mustard,Bangarmau,2012-04-22,3050.0,0.4,36.0,clear
22,Mustard,Unnao,2012-04-22,3080.0,0.6,36.0,clear
23,Mustard,Bangarmau,2012-04-23,3050.0,0.8,36.4,clear
24,Mustard,Bangarmau,2012-04-24,3070.0,0.6,37.4,clear
25,Mustard,Unnao,2012-04-24,3080.0,0.5,37.4,clear
26,Mustard,Bangarmau,2012-04-25,3080.0,0.4,36.0,clear
27,Mustard,Unnao,2012-04-25,3090.0,0.5,36.0,clear
28,Mustard,Bangarmau,2012-04-27,3100.0,0.4,36.0,clear
29,Mustard,Unnao,2012-04-27,3100.0,0.5,36.0,clear
30,Mustard,Bangarmau,2012-04-28,3125.0,0.3,35.8,clear
31,Mustard,Bangarmau,2012-04-29,3125.0,0.5,36.2,clear
32,Mustard,Bangarmau,2012-04-30,3150.0,0.3,36.2,clear
33,Mustard,Bangarmau,2012-01-05,3112.5,0.3,17.2,clear
34,Mustard,Unnao,2012-01-05,3150.0,0.4,17.2,clear
35,Mustard,Bangarmau,2012-02-05,3150.0,0.5,22.0,clear
36,Mustard,Unnao,2012-02-05,3150.0,0.5,22.0,clear
37,Mustard,Bangarmau,2012-04-05,3150.0,0.4,34.2,clear
38,Mustard,Unnao,2012-04-05,3160.0,0.4,34.2,clear
39,Mustard,Bangarmau,2012-05-05,3150.0,0.6,34.6,clear
40,Mustard,Unnao,2012-05-05,3175.0,0.6,34.6,clear
41,Mustard,Bangarmau,2012-06-05,3160.0,0.5,39.0,clear
42,Mustard,Unnao,2012-06-05,3175.0,0.5,39.0,clear
43,Mustard,Bangarmau,2012-07-05,3150.0,0.4,31.6,clear
44,Mustard,Bangarmau,2012-09-05,3200.0,0.4,30.6,clear
45,Mustard,Unnao,2012-09-05,3200.0,0.5,30.6,clear
46,Mustard,Bangarmau,2012-11-05,3200.0,0.6,24.2,clear
47,Mustard,Unnao,2012-11-05,3215.0,0.6,24.2,clear
48,Mustard,Bangarmau,2012-12-05,3175.0,0.4,23.0,clear
49,Mustard,Unnao,2012-12-05,3215.0,0.4,23.0,clear
50,Mustard,Bangarmau,2012-05-13,3170.0,0.3,38.0,clear
51,Mustard,Unnao,2012-05-13,3215.0,0.5,38.0,clear
52,Mustard,Bangarmau,2012-05-14,3200.0,0.5,38.6,clear
53,Mustard,Bangarmau,2012-05-16,3250.0,0.5,41.4,clear
54,Mustard,Unnao,2012-05-16,3225.0,0.6,41.4,clear
55,Mustard,Bangarmau,2012-05-18,3275.0,0.4,38.0,clear
56,Mustard,Unnao,2012-05-18,3250.0,0.4,38.0,clear
57,Mustard,Bangarmau,2012-05-19,3275.0,0.5,39.0,clear
58,Mustard,Unnao,2012-05-19,3250.0,0.5,39.0,clear
59,Mustard,Bangarmau,2012-05-20,3270.0,0.4,38.4,clear
60,Mustard,Unnao,2012-05-20,3250.0,0.4,38.4,clear
61,Mustard,Bangarmau,2012-05-22,3250.0,0.5,40.0,clear
62,Mustard,Unnao,2012-05-22,3250.0,0.5,40.0,clear
63,Mustard,Bangarmau,2012-05-23,3250.0,0.4,41.0,clear
64,Mustard,Unnao,2012-05-23,3250.0,3240.0,41.0,clear
65,Mustard,Bangarmau,2012-05-26,3250.0,0.4,41.4,clear
66,Mustard,Unnao,2012-05-26,3250.0,0.5,41.4,clear
67,Mustard,Bangarmau,2012-05-27,3250.0,0.5,40.6,clear
68,Mustard,Bangarmau,2012-05-28,3275.0,0.6,40.8,clear
69,Mustard,Unnao,2012-05-28,3250.0,0.6,40.8,clear
70,Mustard,Bangarmau,2012-02-06,3275.0,0.4,22.0,clear
71,Mustard,Unnao,2012-02-06,3215.0,0.6,22.0,clear
72,Mustard,Bangarmau,2012-03-06,3275.0,0.3,27.2,clear
73,Mustard,Unnao,2012-03-06,3225.0,0.5,27.2,clear
74,Mustard,Bangarmau,2012-04-06,3275.0,0.3,34.4,clear
75,Mustard,Bangarmau,2012-05-06,3250.0,0.4,38.4,clear
76,Mustard,Unnao,2012-05-06,3225.0,0.7,38.4,clear
77,Mustard,Bangarmau,2012-06-06,3215.0,0.5,41.2,clear
